threshold_ge,selected_count,same_ordered_50_as_threshold_200,selected_C1,selected_C3,selected_C7
628,37,0,2,35,0
629,37,0,2,35,0
630,37,0,2,35,0
631,37,0,2,35,0
632,37,0,2,35,0
633,37,0,2,35,0
634,37,0,2,35,0
635,37,0,2,35,0
636,37,0,2,35,0
637,37,0,2,35,0
638,37,0,2,35,0
639,37,0,2,35,0
640,37,0,2,35,0
641,37,0,2,35,0
642,37,0,2,35,0
643,37,0,2,35,0
644,37,0,2,35,0
645,37,0,2,35,0
646,36,0,1,35,0
647,36,0,1,35,0
648,36,0,1,35,0
649,36,0,1,35,0
650,36,0,1,35,0
651,36,0,1,35,0
652,36,0,1,35,0
653,36,0,1,35,0
654,36,0,1,35,0
655,36,0,1,35,0
656,36,0,1,35,0
657,36,0,1,35,0
658,36,0,1,35,0
659,35,0,1,34,0
660,35,0,1,34,0
661,35,0,1,34,0
662,35,0,1,34,0
663,35,0,1,34,0
664,35,0,1,34,0
665,34,0,1,33,0
666,33,0,1,32,0
667,33,0,1,32,0
668,33,0,1,32,0
669,33,0,1,32,0
670,33,0,1,32,0
671,33,0,1,32,0
672,33,0,1,32,0
673,33,0,1,32,0
674,33,0,1,32,0
675,33,0,1,32,0
676,33,0,1,32,0
677,33,0,1,32,0
678,33,0,1,32,0
679,33,0,1,32,0
680,33,0,1,32,0
681,33,0,1,32,0
682,33,0,1,32,0
683,33,0,1,32,0
684,33,0,1,32,0
685,33,0,1,32,0
686,33,0,1,32,0
687,33,0,1,32,0
688,33,0,1,32,0
689,33,0,1,32,0
690,33,0,1,32,0
691,33,0,1,32,0
692,33,0,1,32,0
693,33,0,1,32,0
694,33,0,1,32,0
695,33,0,1,32,0
696,33,0,1,32,0
697,33,0,1,32,0
698,32,0,1,31,0
699,32,0,1,31,0
700,32,0,1,31,0
701,32,0,1,31,0
702,32,0,1,31,0
703,32,0,1,31,0
704,32,0,1,31,0
705,32,0,1,31,0
706,32,0,1,31,0
707,32,0,1,31,0
708,32,0,1,31,0
709,32,0,1,31,0
710,32,0,1,31,0
711,32,0,1,31,0
712,32,0,1,31,0
713,32,0,1,31,0
714,32,0,1,31,0
715,32,0,1,31,0
716,32,0,1,31,0
717,32,0,1,31,0
718,32,0,1,31,0
719,32,0,1,31,0
720,32,0,1,31,0
721,32,0,1,31,0
722,32,0,1,31,0
723,31,0,1,30,0
724,31,0,1,30,0
725,31,0,1,30,0
726,31,0,1,30,0
727,31,0,1,30,0
728,30,0,1,29,0
729,30,0,1,29,0
730,30,0,1,29,0
731,30,0,1,29,0
732,30,0,1,29,0
733,30,0,1,29,0
734,30,0,1,29,0
735,30,0,1,29,0
736,30,0,1,29,0
737,30,0,1,29,0
738,30,0,1,29,0
739,29,0,1,28,0
740,29,0,1,28,0
741,29,0,1,28,0
742,29,0,1,28,0
743,29,0,1,28,0
744,29,0,1,28,0
745,29,0,1,28,0
746,29,0,1,28,0
747,29,0,1,28,0
748,29,0,1,28,0
749,29,0,1,28,0
750,29,0,1,28,0
751,29,0,1,28,0
752,29,0,1,28,0
753,29,0,1,28,0
754,29,0,1,28,0
755,29,0,1,28,0
756,29,0,1,28,0
757,29,0,1,28,0
758,28,0,1,27,0
759,28,0,1,27,0
760,28,0,1,27,0
761,28,0,1,27,0
762,28,0,1,27,0
763,28,0,1,27,0
764,28,0,1,27,0
765,28,0,1,27,0
766,27,0,1,26,0
767,26,0,1,25,0
768,26,0,1,25,0
769,26,0,1,25,0
770,26,0,1,25,0
771,26,0,1,25,0
772,26,0,1,25,0
773,26,0,1,25,0
774,26,0,1,25,0
775,26,0,1,25,0
776,26,0,1,25,0
777,26,0,1,25,0
778,26,0,1,25,0
779,26,0,1,25,0
780,26,0,1,25,0
781,26,0,1,25,0
782,26,0,1,25,0
783,26,0,1,25,0
784,26,0,1,25,0
785,26,0,1,25,0
786,26,0,1,25,0
787,26,0,1,25,0
788,26,0,1,25,0
789,26,0,1,25,0
790,26,0,1,25,0
791,26,0,1,25,0
792,26,0,1,25,0
793,25,0,1,24,0
794,25,0,1,24,0
795,25,0,1,24,0
796,25,0,1,24,0
797,25,0,1,24,0
798,25,0,1,24,0
799,25,0,1,24,0
800,25,0,1,24,0
801,25,0,1,24,0
802,25,0,1,24,0
803,25,0,1,24,0
804,25,0,1,24,0
805,25,0,1,24,0
806,25,0,1,24,0
807,25,0,1,24,0
808,25,0,1,24,0
809,25,0,1,24,0
810,25,0,1,24,0
811,24,0,1,23,0
812,24,0,1,23,0
813,24,0,1,23,0
814,24,0,1,23,0
815,24,0,1,23,0
816,24,0,1,23,0
817,24,0,1,23,0
818,24,0,1,23,0
819,24,0,1,23,0
820,24,0,1,23,0
821,24,0,1,23,0
822,24,0,1,23,0
823,24,0,1,23,0
824,24,0,1,23,0
825,24,0,1,23,0
826,24,0,1,23,0
827,24,0,1,23,0
828,23,0,1,22,0
829,23,0,1,22,0
830,23,0,1,22,0
831,23,0,1,22,0
832,23,0,1,22,0
833,23,0,1,22,0
834,23,0,1,22,0
835,23,0,1,22,0
836,23,0,1,22,0
837,23,0,1,22,0
838,23,0,1,22,0
839,23,0,1,22,0
840,23,0,1,22,0
841,23,0,1,22,0
842,23,0,1,22,0
843,23,0,1,22,0
844,23,0,1,22,0
845,23,0,1,22,0
846,23,0,1,22,0
847,23,0,1,22,0
848,23,0,1,22,0
849,23,0,1,22,0
850,23,0,1,22,0
851,23,0,1,22,0
852,23,0,1,22,0
853,23,0,1,22,0
854,23,0,1,22,0
855,23,0,1,22,0
856,23,0,1,22,0
857,23,0,1,22,0
858,23,0,1,22,0
859,23,0,1,22,0
860,23,0,1,22,0
861,23,0,1,22,0
862,23,0,1,22,0
863,23,0,1,22,0
864,23,0,1,22,0
865,23,0,1,22,0
866,23,0,1,22,0
867,23,0,1,22,0
868,23,0,1,22,0
869,23,0,1,22,0
870,23,0,1,22,0
871,23,0,1,22,0
872,23,0,1,22,0
873,23,0,1,22,0
874,23,0,1,22,0
875,23,0,1,22,0
876,23,0,1,22,0
877,23,0,1,22,0
878,23,0,1,22,0
879,23,0,1,22,0
880,23,0,1,22,0
881,23,0,1,22,0
882,23,0,1,22,0
883,23,0,1,22,0
884,23,0,1,22,0
885,23,0,1,22,0
886,23,0,1,22,0
887,23,0,1,22,0
888,23,0,1,22,0
889,23,0,1,22,0
890,23,0,1,22,0
891,23,0,1,22,0
892,23,0,1,22,0
893,23,0,1,22,0
894,23,0,1,22,0
895,23,0,1,22,0
896,23,0,1,22,0
897,23,0,1,22,0
898,23,0,1,22,0
899,23,0,1,22,0
900,23,0,1,22,0
901,23,0,1,22,0
902,23,0,1,22,0
903,23,0,1,22,0
904,23,0,1,22,0
905,23,0,1,22,0
906,23,0,1,22,0
907,23,0,1,22,0
908,23,0,1,22,0
909,23,0,1,22,0
910,23,0,1,22,0
911,23,0,1,22,0
912,23,0,1,22,0
913,23,0,1,22,0
914,23,0,1,22,0
915,23,0,1,22,0
916,23,0,1,22,0
917,23,0,1,22,0
918,23,0,1,22,0
919,22,0,1,21,0
920,21,0,1,20,0
921,21,0,1,20,0
922,21,0,1,20,0
923,21,0,1,20,0
924,21,0,1,20,0
925,20,0,1,19,0
926,20,0,1,19,0
927,20,0,1,19,0
928,20,0,1,19,0
929,20,0,1,19,0
930,20,0,1,19,0
931,20,0,1,19,0
932,20,0,1,19,0
933,20,0,1,19,0
934,20,0,1,19,0
935,20,0,1,19,0
936,20,0,1,19,0
937,20,0,1,19,0
938,20,0,1,19,0
939,20,0,1,19,0
940,20,0,1,19,0
941,20,0,1,19,0
942,20,0,1,19,0
943,20,0,1,19,0
944,20,0,1,19,0
945,20,0,1,19,0
946,20,0,1,19,0
947,20,0,1,19,0
948,20,0,1,19,0
949,19,0,0,19,0
950,19,0,0,19,0
951,19,0,0,19,0
952,19,0,0,19,0
953,18,0,0,18,0
954,18,0,0,18,0
955,18,0,0,18,0
956,18,0,0,18,0
957,18,0,0,18,0
958,18,0,0,18,0
959,18,0,0,18,0
960,18,0,0,18,0
961,18,0,0,18,0
962,18,0,0,18,0
963,18,0,0,18,0
964,18,0,0,18,0
965,18,0,0,18,0
966,18,0,0,18,0
967,18,0,0,18,0
968,18,0,0,18,0
969,18,0,0,18,0
970,18,0,0,18,0
971,18,0,0,18,0
972,18,0,0,18,0
973,17,0,0,17,0
974,17,0,0,17,0
975,17,0,0,17,0
976,17,0,0,17,0
977,17,0,0,17,0
978,17,0,0,17,0
979,17,0,0,17,0
980,17,0,0,17,0
981,17,0,0,17,0
982,17,0,0,17,0
983,17,0,0,17,0
984,17,0,0,17,0
985,17,0,0,17,0
986,17,0,0,17,0
987,17,0,0,17,0
988,17,0,0,17,0
989,17,0,0,17,0
990,17,0,0,17,0
991,17,0,0,17,0
992,17,0,0,17,0
993,17,0,0,17,0
994,17,0,0,17,0
995,17,0,0,17,0
996,17,0,0,17,0
997,17,0,0,17,0
998,17,0,0,17,0
999,17,0,0,17,0
1000,17,0,0,17,0
