label_column,GO_ID,GO_name,namespace,python2_hash_signed_64,python2_hash_low15,simulated_full_dict_slot,simulated_full_dict_target_rank,exact_position_match
93,GO:0010628,positive regulation of gene expression,biological_process,3176576191060175507,27283,27283,88,0
94,GO:0044767,single-organism developmental process,biological_process,7177354825397653968,20944,20944,64,0
95,GO:0003824,catalytic activity,molecular_function,-7827205014053720879,27857,27857,91,0
96,GO:0006950,response to stress,biological_process,5619527059747830994,31954,27885,92,0
97,GO:0071704,organic substance metabolic process,biological_process,-7384284145643065935,28081,28081,93,0
98,GO:0019222,regulation of metabolic process,biological_process,-8270136882588376058,9222,9222,30,0
99,GO:0031982,vesicle,cellular_component,-6709305545844134363,28197,28197,94,0
100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,6177348825383653989,21093,21093,69,0
101,GO:0010646,regulation of cell communication,biological_process,3176576191062175515,28443,28443,95,0
102,GO:0044425,membrane part,cellular_component,7177351825375654009,28793,28793,98,0
103,GO:0009893,positive regulation of metabolic process,biological_process,-1827183014122721147,28805,28805,101,0
104,GO:0009891,positive regulation of biosynthetic process,biological_process,-1827183014122721145,28807,28807,102,0
105,GO:0050896,response to stimulus,biological_process,-1265598042970000662,29418,29418,103,0
106,GO:0005515,protein binding,molecular_function,4619512059594830710,29558,29558,104,0
107,GO:0006996,organelle organization,biological_process,5619527059743831008,29664,29664,105,0
108,GO:0044446,intracellular organelle part,cellular_component,7177351825377654000,29936,29936,106,0
109,GO:0044444,cytoplasmic part,cellular_component,7177351825377654002,29938,29938,107,0
110,GO:0044428,nuclear part,cellular_component,7177351825375654004,28788,28788,96,0
111,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,-6709311545854134393,30599,30599,109,0
112,GO:0031326,regulation of cellular biosynthetic process,biological_process,-6709311545854134391,30601,30601,110,0
113,GO:0031325,positive regulation of cellular metabolic process,biological_process,-6709311545854134390,30602,30602,111,0
114,GO:0031324,negative regulation of cellular metabolic process,biological_process,-6709311545854134389,30603,30603,112,0
115,GO:0031323,regulation of cellular metabolic process,biological_process,-6709311545854134388,30604,30604,113,0
116,GO:0005575,cellular_component,cellular_component,4619512059596830704,30704,30704,114,0
117,GO:0044424,intracellular part,cellular_component,7177351825375654008,28792,28792,97,0
118,GO:0044464,cell part,cellular_component,7177351825379653996,31084,31084,115,0
119,GO:0043229,intracellular organelle,cellular_component,6177348825384653970,5266,31597,118,0
120,GO:0051252,regulation of RNA metabolic process,biological_process,-2265585042859000469,32107,32107,119,0
