tissue	node_count	edge_count	loop_count	directed_arc_count_loop_once	directed_arc_count_loop_twice	meets_raw_15000	meets_raw_35000	graphsage_selected	graphsage_index	graphsage_split
thalamus	2345	33167	1016	65318	66334	1	0	0		
thymocyte	1343	16210	690	31730	32420	1	0	0		
thyroid_gland	2268	33006	1020	64992	66012	1	0	0		
tonsil	1673	20111	795	39427	40222	1	0	0		
tooth	1097	9953	584	19322	19906	0	0	0		
trachea	1901	24776	894	48658	49552	1	0	0		
trophoblast	1004	9990	509	19471	19980	0	0	0		
umbilical_cord	1875	23120	866	45374	46240	1	0	0		
umbilical_vein_endothelial_cell	1396	14212	687	27737	28424	0	0	0		
urinary_bladder	1652	20224	778	39670	40448	1	0	0		
uroepithelium	948	9021	488	17554	18042	0	0	0		
uterine_cervix	1432	15873	740	31006	31746	1	0	0		
uterine_endometrium	1892	24424	891	47957	48848	1	0	0		
uterus	2469	35646	1104	70188	71292	1	1	0		
vascular_endothelial_cell	1619	17983	771	35195	35966	1	0	0		
vascular_endothelium	1745	20420	811	40029	40840	1	0	0		
vermiform_appendix	1625	18711	790	36632	37422	1	0	0		
