tissue,node_count,edge_count,loop_count,directed_arc_count_loop_once,directed_arc_count_loop_twice,meets_raw_15000,meets_raw_35000,graphsage_selected,graphsage_index,graphsage_split,hierarchy_node,hierarchy_layer_type
culture_condition_cd8_cell,908,7763,513,15013,15526,0,0,0,,,CultureCondition:Cd8+Cell,leaf_layer
dendritic_cell,1416,14452,699,28205,28904,0,0,0,,,DendriticCell,leaf_layer
dentate_gyrus,715,5406,386,10426,10812,0,0,0,,,DentateGyrus,leaf_layer
diencephalon,2422,34845,1045,68645,69690,1,0,0,,,Diencephalon,internal_hierarchy_layer
duodenum,1343,15373,686,30060,30746,1,0,0,,,Duodenum,leaf_layer
ear,829,6463,406,12520,12926,0,0,0,,,Ear,internal_hierarchy_layer
embryo,2224,30165,999,59331,60330,1,0,0,,,Embryo,leaf_layer
eosinophil,1303,13157,638,25676,26314,0,0,0,,,Eosinophil,leaf_layer
epidermis,2075,27614,945,54283,55228,1,0,0,,,Epidermis,internal_hierarchy_layer
esophagus,1657,20556,832,40280,41112,1,0,0,,,Esophagus,leaf_layer
eye,2333,30993,1062,60924,61986,1,0,1,16,train,Eye,internal_hierarchy_layer
fetus,3477,53703,1416,105990,107406,1,1,0,,,Fetus,leaf_layer
forebrain,2664,39671,1139,78203,79342,1,1,1,17,train,Forebrain,leaf_layer
frontal_lobe,1952,24651,906,48396,49302,1,0,0,,,FrontalLobe,leaf_layer
gastrointestinal_tract,3037,46956,1287,92625,93912,1,1,1,20,train,GastrointestinalTract,internal_hierarchy_layer
glia,1170,12256,596,23916,24512,0,0,0,,,Glia,leaf_layer
granulocyte,2148,28527,994,56060,57054,1,0,0,,,Granulocyte,internal_hierarchy_layer
hair_follicle,1481,17045,728,33362,34090,1,0,0,,,HairFollicle,leaf_layer
heart,3210,50061,1342,98780,100122,1,1,1,21,validation,Heart,leaf_layer
hematopoietic_stem_cell,2633,38419,1184,75654,76838,1,1,0,,,HematopoieticStemCell,leaf_layer
hepatocyte,1037,10089,558,19620,20178,0,0,0,,,Hepatocyte,leaf_layer
hippocampus,2512,37207,1085,73329,74414,1,1,0,,,Hippocampus,internal_hierarchy_layer
hypophysis,1842,23706,878,46534,47412,1,0,0,,,Hypophysis,leaf_layer
hypothalamus,1275,13398,640,26156,26796,0,0,0,,,Hypothalamus,leaf_layer
ileum,922,7953,479,15427,15906,0,0,0,,,Ileum,leaf_layer
intestine,3003,46712,1272,92152,93424,1,1,0,,,Intestine,internal_hierarchy_layer
jejunum,946,8184,506,15862,16368,0,0,0,,,Jejunum,leaf_layer
keratinocyte,1892,24520,869,48171,49040,1,0,0,,,Keratinocyte,leaf_layer
kidney,3304,52126,1385,102867,104252,1,1,1,22,validation,Kidney,internal_hierarchy_layer
large_intestine,2829,43964,1204,86724,87928,1,1,1,18,train,LargeIntestine,internal_hierarchy_layer
lens,656,4795,372,9218,9590,0,0,0,,,Lens,leaf_layer
leukocyte,3130,51088,1362,100814,102176,1,1,0,,,Leukocyte,internal_hierarchy_layer
liver,3180,48409,1328,95490,96818,1,1,1,19,train,Liver,internal_hierarchy_layer
locus_ceruleus,553,3474,311,6637,6948,0,0,0,,,LocusCeruleus,leaf_layer
lung,3214,51666,1342,101990,103332,1,1,1,23,test,Lung,leaf_layer
lymph_node,2382,35459,1073,69845,70918,1,1,0,,,LymphNode,leaf_layer
lymphocyte,2548,39276,1152,77400,78552,1,1,0,,,Lymphocyte,internal_hierarchy_layer
macrophage,2050,26792,969,52615,53584,1,0,0,,,Macrophage,leaf_layer
mammary_epithelium,1171,12152,611,23693,24304,0,0,0,,,MammaryEpithelium,leaf_layer
mammary_gland,2208,30205,996,59414,60410,1,0,0,,,MammaryGland,leaf_layer
mast_cell,1021,9538,523,18553,19076,0,0,0,,,MastCell,leaf_layer
medulla_oblongata,1828,22571,869,44273,45142,1,0,0,,,MedullaOblongata,leaf_layer
megakaryocyte,1902,24562,890,48234,49124,1,0,0,,,Megakaryocyte,internal_hierarchy_layer
midbrain,2310,31665,1001,62329,63330,1,0,1,24,test,Midbrain,leaf_layer
monocyte,2341,32032,1078,62986,64064,1,0,0,,,Monocyte,internal_hierarchy_layer
mononuclear_phagocyte,2341,32032,1078,62986,64064,1,0,0,,,MononuclearPhagocyte,leaf_layer
muscle,2356,33473,1060,65886,66946,1,0,0,,,Muscle,leaf_layer
myometrium,1397,15169,667,29671,30338,1,0,0,,,Myometrium,leaf_layer
natural_killer_cell,865,7476,480,14472,14952,0,0,0,,,NaturalKillerCell,leaf_layer
nephron,2153,28932,969,56895,57864,1,0,0,,,Nephron,internal_hierarchy_layer
nervous_system,3548,56021,1466,110576,112042,1,1,0,,,NervousSystem,internal_hierarchy_layer
neuron,1138,11964,585,23343,23928,0,0,0,,,Neuron,leaf_layer
neutrophil,2025,26340,949,51731,52680,1,0,0,,,Neutrophil,leaf_layer
nucleus_accumbens,1060,10414,543,20285,20828,0,0,0,,,NucleusAccumbens,leaf_layer
occipital_lobe,1845,22768,868,44668,45536,1,0,0,,,OccipitalLobe,internal_hierarchy_layer
occipital_pole,1313,14140,644,27636,28280,0,0,0,,,OccipitalPole,leaf_layer
osteoblast,1123,11830,599,23061,23660,0,0,0,,,Osteoblast,leaf_layer
ovarian_follicle,923,8685,463,16907,17370,0,0,0,,,OvarianFollicle,leaf_layer
ovary,2864,44150,1201,87099,88300,1,1,0,,,Ovary,internal_hierarchy_layer
oviduct,1377,15522,679,30365,31044,1,0,0,,,Oviduct,leaf_layer
pancreas,3043,47402,1275,93529,94804,1,1,0,,,Pancreas,leaf_layer
pancreatic_islet,1233,13009,651,25367,26018,0,0,0,,,PancreaticIslet,leaf_layer
parietal_lobe,754,6702,409,12995,13404,0,0,0,,,ParietalLobe,leaf_layer
peripheral_nervous_system,1118,11849,597,23101,23698,0,0,0,,,PeripheralNervousSystem,leaf_layer
placenta,3135,48212,1327,95097,96424,1,1,0,,,Placenta,internal_hierarchy_layer
podocyte,1273,13255,590,25920,26510,0,0,0,,,Podocyte,leaf_layer
pons,810,7594,438,14750,15188,0,0,0,,,Pons,leaf_layer
prostate_gland,2697,41514,1172,81856,83028,1,1,0,,,ProstateGland,leaf_layer
renal_glomerulus,1910,24585,886,48284,49170,1,0,0,,,RenalGlomerulus,leaf_layer
renal_tubule,1467,15206,682,29730,30412,1,0,0,,,RenalTubule,leaf_layer
retina,1877,23153,890,45416,46306,1,0,0,,,Retina,leaf_layer
salivary_gland,1949,25364,926,49802,50728,1,0,0,,,SalivaryGland,leaf_layer
serum,1898,22530,879,44181,45060,1,0,0,,,Serum,leaf_layer
skeletal_muscle,2936,46055,1212,90898,92110,1,1,0,,,SkeletalMuscle,leaf_layer
skin,2532,38176,1141,75211,76352,1,1,0,,,Skin,leaf_layer
skin_fibroblast,1365,14382,696,28068,28764,0,0,0,,,SkinFibroblast,leaf_layer
small_intestine,2678,40123,1146,79100,80246,1,1,0,,,SmallIntestine,internal_hierarchy_layer
smooth_muscle,1855,22841,879,44803,45682,1,0,0,,,SmoothMuscle,leaf_layer
spermatid,1380,15580,644,30516,31160,1,0,0,,,Spermatid,leaf_layer
spermatocyte,1445,17000,672,33328,34000,1,0,0,,,Spermatocyte,internal_hierarchy_layer
spermatogonium,1445,17000,672,33328,34000,1,0,0,,,Spermatogonium,leaf_layer
spinal_cord,2478,34900,1068,68732,69800,1,0,0,,,SpinalCord,leaf_layer
spleen,2939,45605,1247,89963,91210,1,1,0,,,Spleen,internal_hierarchy_layer
stomach,2187,28342,967,55717,56684,1,0,0,,,Stomach,leaf_layer
substantia_nigra,2308,31654,1000,62308,63308,1,0,0,,,SubstantiaNigra,leaf_layer
subthalamic_nucleus,2151,29709,949,58469,59418,1,0,0,,,SubthalamicNucleus,leaf_layer
t_lymphocyte,2208,33281,1038,65524,66562,1,0,0,,,T-Lymphocyte,internal_hierarchy_layer
tear_gland,1561,17186,754,33618,34372,1,0,0,,,TearGland,leaf_layer
telencephalon,2634,39065,1129,77001,78130,1,1,0,,,Telencephalon,internal_hierarchy_layer
temporal_lobe,2570,38281,1106,75456,76562,1,1,0,,,TemporalLobe,leaf_layer
testis,3028,48758,1251,96265,97516,1,1,0,,,Testis,leaf_layer
thalamus,2345,33167,1016,65318,66334,1,0,0,,,Thalamus,leaf_layer
thymocyte,1343,16210,690,31730,32420,1,0,0,,,Thymocyte,leaf_layer
thyroid_gland,2268,33006,1020,64992,66012,1,0,0,,,ThyroidGland,leaf_layer
tonsil,1673,20111,795,39427,40222,1,0,0,,,Tonsil,leaf_layer
tooth,1097,9953,584,19322,19906,0,0,0,,,Tooth,leaf_layer
trachea,1901,24776,894,48658,49552,1,0,0,,,Trachea,leaf_layer
trophoblast,1004,9990,509,19471,19980,0,0,0,,,Trophoblast,leaf_layer
umbilical_cord,1875,23120,866,45374,46240,1,0,0,,,UmbilicalCord,leaf_layer
umbilical_vein_endothelial_cell,1396,14212,687,27737,28424,0,0,0,,,UmbilicalVeinEndothelialCell,leaf_layer
urinary_bladder,1652,20224,778,39670,40448,1,0,0,,,UrinaryBladder,leaf_layer
uroepithelium,948,9021,488,17554,18042,0,0,0,,,Uroepithelium,leaf_layer
uterine_cervix,1432,15873,740,31006,31746,1,0,0,,,UterineCervix,leaf_layer
uterine_endometrium,1892,24424,891,47957,48848,1,0,0,,,UterineEndometrium,leaf_layer
uterus,2469,35646,1104,70188,71292,1,1,0,,,Uterus,internal_hierarchy_layer
vascular_endothelial_cell,1619,17983,771,35195,35966,1,0,0,,,VascularEndothelialCell,leaf_layer
vascular_endothelium,1745,20420,811,40029,40840,1,0,0,,,VascularEndothelium,leaf_layer
vermiform_appendix,1625,18711,790,36632,37422,1,0,0,,,VermiformAppendix,leaf_layer
