column,observed_assigned_GO,predicted_at_position,exact_position,observed_term_predicted_rank,rank_displacement,GO_name,namespace
37,GO:0009892,GO:0065007,0,31,-6,negative regulation of metabolic process,biological_process
38,GO:0080090,GO:0065009,0,32,-6,regulation of primary metabolic process,biological_process
39,GO:0006464,GO:0065008,0,33,-6,cellular protein modification process,biological_process
40,GO:0006807,GO:0008150,0,34,-6,nitrogen compound metabolic process,biological_process
41,GO:0032502,GO:0005886,0,36,-5,developmental process,biological_process
42,GO:0065009,GO:0032991,0,38,-4,regulation of molecular function,biological_process
43,GO:0065008,GO:0009889,0,39,-4,regulation of biological quality,biological_process
44,GO:0005886,GO:0044238,0,41,-3,plasma membrane,cellular_component
45,GO:0009889,GO:0044237,0,43,-2,regulation of biosynthetic process,biological_process
46,GO:0044238,GO:1903561,0,44,-2,primary metabolic process,biological_process
47,GO:0044237,GO:2001141,0,45,-2,cellular metabolic process,biological_process
48,GO:1903561,GO:0051246,0,46,-2,extracellular vesicle,cellular_component
49,GO:0051246,GO:0048584,0,48,-1,regulation of protein metabolic process,biological_process
50,GO:0048523,GO:0060255,0,61,11,negative regulation of cellular process,biological_process
51,GO:0048583,GO:0023051,0,87,36,regulation of response to stimulus,biological_process
52,GO:0048522,GO:0051234,0,62,10,positive regulation of cellular process,biological_process
53,GO:0060255,GO:2000112,0,50,-3,regulation of macromolecule metabolic process,biological_process
54,GO:0023051,GO:0050793,0,51,-3,regulation of signaling,biological_process
55,GO:2000112,GO:0050794,0,53,-2,regulation of cellular macromolecule biosynthetic process,biological_process
56,GO:0050793,GO:1902578,0,54,-2,regulation of developmental process,biological_process
57,GO:0031399,GO:0031399,1,57,0,regulation of protein modification process,biological_process
58,GO:0043933,GO:0043933,1,58,0,macromolecular complex subunit organization,biological_process
59,GO:0006355,GO:0006355,1,59,0,"regulation of transcription, DNA-templated",biological_process
60,GO:0048518,GO:1903506,0,15,-45,positive regulation of biological process,biological_process
61,GO:0051234,GO:0048523,0,52,-9,establishment of localization,biological_process
62,GO:0032879,GO:0048522,0,63,1,regulation of localization,biological_process
63,GO:0036211,GO:0032879,0,64,1,protein modification process,biological_process
64,GO:0051716,GO:0036211,0,65,1,cellular response to stimulus,biological_process
65,GO:0044765,GO:0051716,0,67,2,single-organism transport,biological_process
66,GO:0044763,GO:0044767,0,68,2,single-organism cellular process,biological_process
67,GO:0016020,GO:0044765,0,69,2,membrane,cellular_component
68,GO:0044422,GO:0044763,0,99,31,organelle part,cellular_component
69,GO:0043234,GO:0016020,0,70,1,protein complex,cellular_component
70,GO:0043230,GO:0043234,0,71,1,extracellular organelle,cellular_component
71,GO:0043232,GO:0043230,0,73,2,intracellular non-membrane-bounded organelle,cellular_component
72,GO:0051254,GO:0043231,0,120,48,positive regulation of RNA metabolic process,biological_process
73,GO:0051171,GO:0043232,0,74,1,regulation of nitrogen compound metabolic process,biological_process
74,GO:0051173,GO:0051171,0,75,1,positive regulation of nitrogen compound metabolic process,biological_process
75,GO:0051179,GO:0051173,0,3,-72,localization,biological_process
76,GO:0016043,GO:0016043,1,76,0,cellular component organization,biological_process
77,GO:0034641,GO:0034641,1,77,0,cellular nitrogen compound metabolic process,biological_process
78,GO:0010556,GO:0019222,0,26,-52,regulation of macromolecule biosynthetic process,biological_process
79,GO:2001141,GO:0005488,0,47,-32,regulation of RNA biosynthetic process,biological_process
80,GO:0044267,GO:0019219,0,114,34,cellular protein metabolic process,biological_process
81,GO:0005488,GO:0007165,0,79,-2,binding,molecular_function
82,GO:0019219,GO:0016740,0,80,-2,regulation of nucleobase-containing compound metabolic process,biological_process
83,GO:0007165,GO:0044822,0,81,-2,signal transduction,biological_process
84,GO:0016740,GO:0010604,0,82,-2,transferase activity,molecular_function
85,GO:0044699,GO:0010468,0,116,31,single-organism process,biological_process
86,GO:0044822,GO:0010605,0,83,-3,poly(A) RNA binding,molecular_function
87,GO:0010604,GO:0048583,0,84,-3,positive regulation of macromolecule metabolic process,biological_process
88,GO:0010468,GO:0019538,0,85,-3,regulation of gene expression,biological_process
89,GO:0010605,GO:0010628,0,86,-3,negative regulation of macromolecule metabolic process,biological_process
90,GO:0048584,GO:0006810,0,49,-41,positive regulation of response to stimulus,biological_process
91,GO:0019538,GO:0003824,0,88,-3,protein metabolic process,biological_process
92,GO:0044260,GO:0071704,0,115,23,cellular macromolecule metabolic process,biological_process
93,GO:0010628,GO:0031982,0,89,-4,positive regulation of gene expression,biological_process
94,GO:0044767,GO:0010646,0,66,-28,single-organism developmental process,biological_process
95,GO:0003824,GO:0044428,0,91,-4,catalytic activity,molecular_function
96,GO:0006950,GO:0044424,0,118,22,response to stress,biological_process
97,GO:0071704,GO:0044425,0,92,-5,organic substance metabolic process,biological_process
98,GO:0019222,GO:0044421,0,78,-20,regulation of metabolic process,biological_process
99,GO:0031982,GO:0044422,0,93,-6,vesicle,cellular_component
100,GO:0043231,GO:0009893,0,72,-28,intracellular membrane-bounded organelle,cellular_component
101,GO:0010646,GO:0009891,0,94,-7,regulation of cell communication,biological_process
102,GO:0044425,GO:0050896,0,97,-5,membrane part,cellular_component
103,GO:0009893,GO:0005515,0,100,-3,positive regulation of metabolic process,biological_process
104,GO:0009891,GO:0006996,0,101,-3,positive regulation of biosynthetic process,biological_process
105,GO:0050896,GO:0044446,0,102,-3,response to stimulus,biological_process
106,GO:0005515,GO:0044444,0,103,-3,protein binding,molecular_function
107,GO:0006996,GO:0031328,0,104,-3,organelle organization,biological_process
108,GO:0044446,GO:0031326,0,105,-3,intracellular organelle part,cellular_component
109,GO:0044444,GO:0031325,0,106,-3,cytoplasmic part,cellular_component
110,GO:0044428,GO:0031324,0,95,-15,nuclear part,cellular_component
111,GO:0031328,GO:0031323,0,107,-4,positive regulation of cellular biosynthetic process,biological_process
112,GO:0031326,GO:0005575,0,108,-4,regulation of cellular biosynthetic process,biological_process
113,GO:0031325,GO:0044464,0,109,-4,positive regulation of cellular metabolic process,biological_process
114,GO:0031324,GO:0044267,0,110,-4,negative regulation of cellular metabolic process,biological_process
115,GO:0031323,GO:0044260,0,111,-4,regulation of cellular metabolic process,biological_process
116,GO:0005575,GO:0044699,0,112,-4,cellular_component,cellular_component
117,GO:0044424,GO:0043229,0,96,-21,intracellular part,cellular_component
118,GO:0044464,GO:0006950,0,113,-5,cell part,cellular_component
119,GO:0043229,GO:0051252,0,117,-2,intracellular organelle,cellular_component
120,GO:0051252,GO:0051254,0,119,-1,regulation of RNA metabolic process,biological_process
