label_column,selected_GO_ID,selected_GO_name,selected_namespace,selected_term_is_exact,exact_GO_term_count,exact_GO_IDs,exact_GO_names,observed_positive_genes
79,GO:2001141,regulation of RNA biosynthetic process,biological_process,1,1,GO:2001141,regulation of RNA biosynthetic process,900
80,GO:0044267,cellular protein metabolic process,biological_process,1,1,GO:0044267,cellular protein metabolic process,758
81,GO:0005488,binding,molecular_function,1,1,GO:0005488,binding,2035
82,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,1,1,GO:0019219,regulation of nucleobase-containing compound metabolic process,1103
83,GO:0007165,signal transduction,biological_process,1,1,GO:0007165,signal transduction,785
84,GO:0016740,transferase activity,molecular_function,1,1,GO:0016740,transferase activity,582
85,GO:0044699,single-organism process,biological_process,1,1,GO:0044699,single-organism process,2406
86,GO:0044822,poly(A) RNA binding,molecular_function,1,1,GO:0044822,poly(A) RNA binding,339
87,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,1,1,GO:0010604,positive regulation of macromolecule metabolic process,1132
88,GO:0010468,regulation of gene expression,biological_process,1,1,GO:0010468,regulation of gene expression,1108
89,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,1,1,GO:0010605,negative regulation of macromolecule metabolic process,766
90,GO:0048584,positive regulation of response to stimulus,biological_process,1,1,GO:0048584,positive regulation of response to stimulus,702
91,GO:0019538,protein metabolic process,biological_process,1,1,GO:0019538,protein metabolic process,913
92,GO:0044260,cellular macromolecule metabolic process,biological_process,1,1,GO:0044260,cellular macromolecule metabolic process,1174
93,GO:0010628,positive regulation of gene expression,biological_process,1,1,GO:0010628,positive regulation of gene expression,725
94,GO:0044767,single-organism developmental process,biological_process,1,1,GO:0044767,single-organism developmental process,864
95,GO:0003824,catalytic activity,molecular_function,1,1,GO:0003824,catalytic activity,1149
96,GO:0006950,response to stress,biological_process,1,1,GO:0006950,response to stress,658
97,GO:0071704,organic substance metabolic process,biological_process,1,1,GO:0071704,organic substance metabolic process,1577
98,GO:0019222,regulation of metabolic process,biological_process,1,1,GO:0019222,regulation of metabolic process,1741
99,GO:0031982,vesicle,cellular_component,1,1,GO:0031982,vesicle,1042
100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,1,1,GO:0043231,intracellular membrane-bounded organelle,1893
101,GO:0010646,regulation of cell communication,biological_process,1,1,GO:0010646,regulation of cell communication,977
102,GO:0044425,membrane part,cellular_component,1,1,GO:0044425,membrane part,726
103,GO:0009893,positive regulation of metabolic process,biological_process,1,1,GO:0009893,positive regulation of metabolic process,1207
104,GO:0009891,positive regulation of biosynthetic process,biological_process,1,1,GO:0009891,positive regulation of biosynthetic process,774
105,GO:0050896,response to stimulus,biological_process,1,1,GO:0050896,response to stimulus,1170
106,GO:0005515,protein binding,molecular_function,1,1,GO:0005515,protein binding,1153
107,GO:0006996,organelle organization,biological_process,1,1,GO:0006996,organelle organization,695
108,GO:0044446,intracellular organelle part,cellular_component,1,1,GO:0044446,intracellular organelle part,1697
109,GO:0044444,cytoplasmic part,cellular_component,1,1,GO:0044444,cytoplasmic part,1389
110,GO:0044428,nuclear part,cellular_component,1,1,GO:0044428,nuclear part,1149
111,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,1,1,GO:0031328,positive regulation of cellular biosynthetic process,761
112,GO:0031326,regulation of cellular biosynthetic process,biological_process,1,1,GO:0031326,regulation of cellular biosynthetic process,1108
113,GO:0031325,positive regulation of cellular metabolic process,biological_process,1,1,GO:0031325,positive regulation of cellular metabolic process,1155
114,GO:0031324,negative regulation of cellular metabolic process,biological_process,1,1,GO:0031324,negative regulation of cellular metabolic process,777
115,GO:0031323,regulation of cellular metabolic process,biological_process,1,1,GO:0031323,regulation of cellular metabolic process,1663
116,GO:0005575,cellular_component,cellular_component,1,1,GO:0005575,cellular_component,3612
117,GO:0044424,intracellular part,cellular_component,1,1,GO:0044424,intracellular part,2929
118,GO:0044464,cell part,cellular_component,1,1,GO:0044464,cell part,3252
119,GO:0043229,intracellular organelle,cellular_component,1,1,GO:0043229,intracellular organelle,2101
120,GO:0051252,regulation of RNA metabolic process,biological_process,1,1,GO:0051252,regulation of RNA metabolic process,959
