file,GeneID,predicted_positive_selected_columns,predicted_positive_selected_count,observed_GraphSAGE_positive_columns,observed_positive_count,mismatch_count
GO_annotations-9606-inferred-expev.tsv,3988,1|12|25|26|48|70|95|99|116,9,1|12|18|25|26|48|70|95|99|116,10,1
GO_annotations-9606-inferred-expev.tsv,8564,1|2|3|4|6|12|19|25|26|28|32|40|46|47|48|66|70|81|85|95|96|97|99|105|116,25,1|2|3|4|6|12|18|19|25|26|28|32|40|46|47|48|66|67|68|70|81|85|95|96|97|99|105|108|109|116|117|118,32,7
GO_annotations-9606-inferred-expev.tsv,27201,0|12|21|28|30|32|64|66|83|85|105,11,0|12|21|30|32|83,6,5
GO_annotations-9606-inferred-expev.tsv,30061,12|17|28|30|31|32|43|44|61|65|66|67|75|81|85|106|116,17,12|17|28|30|31|32|43|44|61|65|66|67|75|85|102|116|118,17,4
GO_annotations-9606-inferred-expev.tsv,51166,2|4|12|19|28|32|40|46|47|66|81|84|85|95|97|106,16,2|4|12|19|28|32|40|46|47|66|84|85|95|97,14,2
GO_annotations-9606-inferred-expev.tsv,51312,,0,,0,0
GO_annotations-9606-inferred-expev.tsv,55471,7|12|23|25|26|28|32|58|76|81|100|106|107|116|119,15,18|23|25|26|28|32|58|76|100|109|116|117|118|119,14,9
GO_annotations-9606-inferred-expev.tsv,55801,0|7|11|12|13|14|15|21|22|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|72|73|74|78|79|81|82|87|88|90|93|98|101|103|104|106|111|112|113|115|116|120,48,0|11|12|13|14|15|18|21|22|29|30|32|34|38|45|49|50|51|52|53|54|55|57|59|60|62|72|73|74|78|79|81|82|87|88|90|93|98|101|103|104|106|109|111|112|113|115|116|117|118|120,51,5
GO_annotations-9606-inferred-expev.tsv,56994,2|12|19|28|32|40|46|47|66|77|84|85|95|97,14,2|12|19|28|32|40|46|47|66|77|84|85|95|97,14,0
GO_annotations-9606-inferred-expev.tsv,79017,0|1|7|12|21|23|25|26|28|30|32|48|64|66|70|76|81|83|84|85|95|99|105|106|107|116,26,1|12|18|23|25|26|28|32|48|70|76|81|84|95|99|106|107|109|116|117|118,21,13
GO_annotations-9606-inferred-expev.tsv,121599,,0,,0,0
