graph_index,tissue,WL_color,row_count,rows,predicted_GeneIDs_in_row_order,candidate_GeneIDs,candidate_set_exact,predicted_GeneIDs_unique
14,brain,13,2,24933|24934,2693|2692,2692|2693,1,1
14,brain,59,2,25326|26495,150290|2591,2591|150290,1,1
14,brain,103,2,25397|25780,55568|137964,55568|137964,1,1
14,brain,108,4,26686|26811|27758|27816,51312|56994|84803|3988,3988|51312|56994|84803,1,1
14,brain,22,2,25861|25866,4889|4886,4886|4889,1,1
14,brain,131,2,26316|27773,51166|8564,8564|51166,1,1
14,brain,50,2,26373|27927,9480|22865,9480|22865,1,1
14,brain,71,2,26426|27275,29881|84870,29881|84870,1,1
14,brain,2278,2,27764|27769,8362|8368,8362|8368,1,1
15,colon,89,4,28065|28395|28905|30351,8609|79017|2537|55471,2537|8609|55471|79017,1,1
15,colon,0,7,28281|28311|28581|29644|30700|30835|30844,200958|9048|6375|51378|3762|54977|10316,3762|6375|9048|10316|51378|54977|200958,1,1
15,colon,56,2,28113|30771,1136|55500,1136|55500,1,1
15,colon,86,2,28209|28225,8763|6578,6578|8763,1,1
15,colon,54,2,28309|29013,10800|8611,8611|10800,1,1
15,colon,47,2,28679|29614,150290|2591,2591|150290,1,1
15,colon,85,2,28738|29034,55568|137964,55568|137964,1,1
15,colon,83,2,29042|29517,3110|114805,3110|114805,1,1
15,colon,1787,2,30634|30639,8362|8368,8362|8368,1,1
16,eye,77,6,30868|31146|31549|31678|32753|33091,8609|79017|2537|4321|55471|2780,2537|2780|4321|8609|55471|79017,1,1
16,eye,92,2,30922|33076,6376|9263,6376|9263,1,1
16,eye,0,4,31075|32168|32387|32807,9048|51378|10316|1437,1437|9048|10316|51378,1,1
16,eye,25,2,32042|32819,2542|79053,2542|79053,1,1
17,forebrain,79,4,33204|33332|33519|34597,8609|10242|79017|55471,8609|10242|55471|79017,1,1
17,forebrain,0,4,33436|34347|34933|35708,9048|51378|10316|3762,3762|9048|10316|51378,1,1
17,forebrain,80,4,33227|34908|35637|35682,84869|56994|84803|3988,3988|56994|84803|84869,1,1
17,forebrain,98,2,33267|35721,6376|9263,6376|9263,1,1
17,forebrain,2,2,33483|35391,2693|181,181|2693,1,1
17,forebrain,40,2,33781|34669,150290|2591,2591|150290,1,1
17,forebrain,1629,3,35642|35644|35647,8362|8364|8368,8362|8364|8368,1,1
18,large_intestine,89,4,35869|36204|36491|36718,8609|79017|55471|2537,2537|8609|55471|79017,1,1
18,large_intestine,0,7,36087|36118|36392|37458|38524|38661|38670,200958|9048|6375|51378|3762|54977|10316,3762|6375|9048|10316|51378|54977|200958,1,1
18,large_intestine,56,2,35918|38596,1136|55500,1136|55500,1,1
18,large_intestine,80,2,35980|37628,64321|1015,1015|64321,1,1
18,large_intestine,86,2,36015|36031,8763|6578,6578|8763,1,1
18,large_intestine,54,2,36116|36826,10800|8611,8611|10800,1,1
18,large_intestine,47,2,36490|37428,150290|2591,2591|150290,1,1
18,large_intestine,85,2,36550|36847,55568|137964,55568|137964,1,1
18,large_intestine,83,2,36855|37331,3110|114805,3110|114805,1,1
18,large_intestine,1804,2,38457|38462,8362|8368,8362|8368,1,1
19,liver,97,6,38698|39068|39284|39382|39651|41348,8609|79017|10242|55471|2537|30061,2537|8609|10242|30061|55471|79017,1,1
19,liver,95,2,38864|38880,8763|6578,6578|8763,1,1
19,liver,60,2,38970|39777,10800|8611,8611|10800,1,1
19,liver,0,8,38972|39109|39450|39670|39914|40491|41689|41840,9048|112744|10316|56898|8547|51378|3762|54977,3762|8547|9048|10316|51378|54977|56898|112744,1,1
19,liver,774,2,39090|39091,1544|1545,1544|1545,1,1
19,liver,52,2,39381|40458,150290|2591,2591|150290,1,1
19,liver,96,2,39448|39799,55568|137964,55568|137964,1,1
19,liver,530,2,39919|40351,7363|54490,7363|54490,1,1
19,liver,57,2,40242|40393,84870|29881,29881|84870,1,1
19,liver,112,2,40278|41622,51166|8564,8564|51166,1,1
19,liver,37,2,40332|41753,9480|22865,9480|22865,1,1
19,liver,2018,2,41614|41619,8362|8368,8362|8368,1,1
20,gastrointestinal_tract,95,6,41879|42028|42156|42236|42541|42789,8609|10242|30061|79017|55471|2537,2537|8609|10242|30061|55471|79017,1,1
20,gastrointestinal_tract,109,2,41895|43654,51289|57107,51289|57107,1,1
20,gastrointestinal_tract,61,2,41934|44808,1136|55500,1136|55500,1,1
20,gastrointestinal_tract,87,2,42000|43759,64321|1015,1015|64321,1,1
20,gastrointestinal_tract,92,2,42038|42054,8763|6578,6578|8763,1,1
20,gastrointestinal_tract,0,9,42111|42142|42436|42813|43580|43945|44732|44876|44885,200958|9048|6375|56898|51378|112744|3762|54977|10316,3762|6375|9048|10316|51378|54977|56898|112744|200958,1,1
20,gastrointestinal_tract,59,3,42140|42253|42904,10800|123606|8611,8611|10800|123606,1,1
20,gastrointestinal_tract,52,2,42540|43547,150290|2591,2591|150290,1,1
20,gastrointestinal_tract,91,2,42604|42926,55568|137964,55568|137964,1,1
20,gastrointestinal_tract,89,2,42934|43443,3110|114805,3110|114805,1,1
20,gastrointestinal_tract,610,2,43043|43450,7363|54490,7363|54490,1,1
20,gastrointestinal_tract,57,2,43355|43485,84870|29881,29881|84870,1,1
20,gastrointestinal_tract,1978,2,44660|44665,8362|8368,8362|8368,1,1
21,heart,101,5,44916|45070|45292|45882|47510,8609|10242|79017|2537|55471,2537|8609|10242|55471|79017,1,1
21,heart,123,2,44996|47952,6376|9263,6376|9263,1,1
21,heart,99,2,45081|45100,8763|6578,6578|8763,1,1
21,heart,56,2,45191|46012,10800|8611,8611|10800,1,1
21,heart,0,4,45193|45685|46727|48084,9048|10316|51378|54977,9048|10316|51378|54977,1,1
21,heart,53,2,45618|46706,150290|2591,2591|150290,1,1
21,heart,97,2,45683|46036,55568|137964,55568|137964,1,1
21,heart,1,3,46513|47248|47867,51166|953|8564,953|8564|51166,1,1
21,heart,57,2,46626|47417,29881|84870,29881|84870,1,1
21,heart,52,2,46832|47541,57502|2905,2905|57502,1,1
21,heart,2105,2,47857|47862,8362|8368,8362|8368,1,1
22,kidney,96,6,48126|48514|48848|49177|49447|50883,8609|79017|55471|3248|10242|30061,3248|8609|10242|30061|55471|79017,1,1
22,kidney,0,5,48409|48734|48746|51384|51395,9048|6375|122042|54977|10316,6375|9048|10316|54977|122042,1,1
22,kidney,59,2,48407|49265,10800|8611,8611|10800,1,1
22,kidney,49,2,48847|49958,150290|2591,2591|150290,1,1
22,kidney,92,2,48921|49288,55568|137964,55568|137964,1,1
22,kidney,97,3,49896|50139|50256,3988|51312|56994,3988|51312|56994,1,1
22,kidney,1,3,49780|50529|51153,51166|953|8564,953|8564|51166,1,1
22,kidney,57,2,49891|50701,29881|84870,29881|84870,1,1
22,kidney,2150,2,51145|51150,8362|8368,8362|8368,1,1
23,lung,90,3,51430|51809|54022,8609|79017|55471,8609|55471|79017,1,1
23,lung,57,2,51494|54529,1136|55500,1136|55500,1,1
23,lung,0,9,51675|51705|51849|52021|52193|52649|53226|53335|54602,200958|9048|112744|6375|10316|8547|51378|2028|54977,2028|6375|8547|9048|10316|51378|54977|112744|200958,1,1
23,lung,52,3,51703|51828|52514,10800|123606|8611,8611|10800|123606,1,1
23,lung,47,2,52127|53191,150290|2591,2591|150290,1,1
23,lung,86,2,52191|52537,55568|137964,55568|137964,1,1
23,lung,91,4,53436|53478|54363|54419,8323|56994|84803|3988,3988|8323|56994|84803,1,1
23,lung,518,2,52655|53081,7363|54490,7363|54490,1,1
23,lung,51,2,53120|53930,29881|84870,29881|84870,1,1
23,lung,61,2,53637|54266,285671|85413,85413|285671,1,1
23,lung,2037,2,54368|54373,8362|8368,8362|8368,1,1
24,midbrain,70,5,54640|54758|54925|55330|55850,8609|10242|79017|2537|55471,2537|8609|10242|55471|79017,1,1
24,midbrain,86,3,54653|55131|55990,51289|1395|57107,1395|51289|57107,1,1
24,midbrain,85,2,54699|56821,6376|9263,6376|9263,1,1
24,midbrain,0,5,54852|55820|55936|56135|56811,9048|7903|51378|10316|3762,3762|7903|9048|10316|51378,1,1
24,midbrain,39,2,55120|56302,9990|57493,9990|57493,1,1
24,midbrain,161,2,55126|56710,50485|246243,50485|246243,1,1
24,midbrain,33,2,55149|55973,150290|2591,2591|150290,1,1
24,midbrain,43,2,56277|56869,51738|55500,51738|55500,1,1
24,midbrain,1430,3,56757|56759|56762,8362|8364|8368,8362|8364|8368,1,1
