tissue,node_count,edge_count,selected_by_graphsage,graphsage_graph_index_1based,graphsage_split,meets_15000_edge_threshold,meets_35000_edge_threshold,tar_member,edge_count_rank_desc
cecum,1634,18741,0,,,1,0,bio-tissue-networks/cecum.edgelist,88
vermiform_appendix,1625,18711,0,,,1,0,bio-tissue-networks/vermiform_appendix.edgelist,89
vascular_endothelial_cell,1619,17983,0,,,1,0,bio-tissue-networks/vascular_endothelial_cell.edgelist,90
tear_gland,1561,17186,0,,,1,0,bio-tissue-networks/tear_gland.edgelist,91
hair_follicle,1481,17045,0,,,1,0,bio-tissue-networks/hair_follicle.edgelist,92
spermatocyte,1445,17000,0,,,1,0,bio-tissue-networks/spermatocyte.edgelist,93
spermatogonium,1445,17000,0,,,1,0,bio-tissue-networks/spermatogonium.edgelist,94
adipose_tissue,1554,16912,1,1,train,1,0,bio-tissue-networks/adipose_tissue.edgelist,95
chondrocyte,1426,16651,0,,,1,0,bio-tissue-networks/chondrocyte.edgelist,96
cornea,1467,16627,0,,,1,0,bio-tissue-networks/cornea.edgelist,97
thymocyte,1343,16210,0,,,1,0,bio-tissue-networks/thymocyte.edgelist,98
uterine_cervix,1432,15873,0,,,1,0,bio-tissue-networks/uterine_cervix.edgelist,99
spermatid,1380,15580,0,,,1,0,bio-tissue-networks/spermatid.edgelist,100
oviduct,1377,15522,0,,,1,0,bio-tissue-networks/oviduct.edgelist,101
adrenal_cortex,1388,15517,1,2,train,1,0,bio-tissue-networks/adrenal_cortex.edgelist,102
duodenum,1343,15373,0,,,1,0,bio-tissue-networks/duodenum.edgelist,103
renal_tubule,1467,15206,0,,,1,0,bio-tissue-networks/renal_tubule.edgelist,104
myometrium,1397,15169,0,,,1,0,bio-tissue-networks/myometrium.edgelist,105
dendritic_cell,1416,14452,0,,,0,0,bio-tissue-networks/dendritic_cell.edgelist,106
skin_fibroblast,1365,14382,0,,,0,0,bio-tissue-networks/skin_fibroblast.edgelist,107
umbilical_vein_endothelial_cell,1396,14212,0,,,0,0,bio-tissue-networks/umbilical_vein_endothelial_cell.edgelist,108
occipital_pole,1313,14140,0,,,0,0,bio-tissue-networks/occipital_pole.edgelist,109
hypothalamus,1275,13398,0,,,0,0,bio-tissue-networks/hypothalamus.edgelist,110
podocyte,1273,13255,0,,,0,0,bio-tissue-networks/podocyte.edgelist,111
eosinophil,1303,13157,0,,,0,0,bio-tissue-networks/eosinophil.edgelist,112
pancreatic_islet,1233,13009,0,,,0,0,bio-tissue-networks/pancreatic_islet.edgelist,113
glia,1170,12256,0,,,0,0,bio-tissue-networks/glia.edgelist,114
mammary_epithelium,1171,12152,0,,,0,0,bio-tissue-networks/mammary_epithelium.edgelist,115
neuron,1138,11964,0,,,0,0,bio-tissue-networks/neuron.edgelist,116
peripheral_nervous_system,1118,11849,0,,,0,0,bio-tissue-networks/peripheral_nervous_system.edgelist,117
cardiac_muscle,1148,11837,0,,,0,0,bio-tissue-networks/cardiac_muscle.edgelist,118
osteoblast,1123,11830,0,,,0,0,bio-tissue-networks/osteoblast.edgelist,119
bronchus,1182,11312,0,,,0,0,bio-tissue-networks/bronchus.edgelist,120
bronchial_epithelial_cell,1125,10758,0,,,0,0,bio-tissue-networks/bronchial_epithelial_cell.edgelist,121
nucleus_accumbens,1060,10414,0,,,0,0,bio-tissue-networks/nucleus_accumbens.edgelist,122
hepatocyte,1037,10089,0,,,0,0,bio-tissue-networks/hepatocyte.edgelist,123
trophoblast,1004,9990,0,,,0,0,bio-tissue-networks/trophoblast.edgelist,124
tooth,1097,9953,0,,,0,0,bio-tissue-networks/tooth.edgelist,125
astrocyte,1029,9635,1,6,train,0,0,bio-tissue-networks/astrocyte.edgelist,126
cerebellar_cortex,1048,9629,0,,,0,0,bio-tissue-networks/cerebellar_cortex.edgelist,127
mast_cell,1021,9538,0,,,0,0,bio-tissue-networks/mast_cell.edgelist,128
uroepithelium,948,9021,0,,,0,0,bio-tissue-networks/uroepithelium.edgelist,129
ovarian_follicle,923,8685,0,,,0,0,bio-tissue-networks/ovarian_follicle.edgelist,130
jejunum,946,8184,0,,,0,0,bio-tissue-networks/jejunum.edgelist,131
ileum,922,7953,0,,,0,0,bio-tissue-networks/ileum.edgelist,132
culture_condition_cd8_cell,908,7763,0,,,0,0,bio-tissue-networks/culture_condition_cd8_cell.edgelist,133
pons,810,7594,0,,,0,0,bio-tissue-networks/pons.edgelist,134
natural_killer_cell,865,7476,0,,,0,0,bio-tissue-networks/natural_killer_cell.edgelist,135
corpus_luteum,786,6924,0,,,0,0,bio-tissue-networks/corpus_luteum.edgelist,136
parietal_lobe,754,6702,0,,,0,0,bio-tissue-networks/parietal_lobe.edgelist,137
ear,829,6463,0,,,0,0,bio-tissue-networks/ear.edgelist,138
dentate_gyrus,715,5406,0,,,0,0,bio-tissue-networks/dentate_gyrus.edgelist,139
choroid,650,4829,0,,,0,0,bio-tissue-networks/choroid.edgelist,140
lens,656,4795,0,,,0,0,bio-tissue-networks/lens.edgelist,141
basophil,602,4193,1,9,train,0,0,bio-tissue-networks/basophil.edgelist,142
locus_ceruleus,553,3474,0,,,0,0,bio-tissue-networks/locus_ceruleus.edgelist,143
cochlea,262,784,0,,,0,0,bio-tissue-networks/cochlea.edgelist,144
