label_column,observed_positive_genes,best_direct_GOA_GO_ID,best_direct_GOA_mismatch,best_direct_GOA_agreement,best_direct_GOA_false_positives,best_direct_GOA_false_negatives,best_MSigDB_C5BP_GO_ID,best_MSigDB_C5BP_term_name,best_MSigDB_C5BP_mismatch,best_MSigDB_C5BP_agreement,same_GO_ID
44,550,GO:0002028,544,0.872539831302718,1,543,GO:0048148,GO_BEHAVIORAL_RESPONSE_TO_COCAINE,542,0.873008434864105,False
45,1124,GO:0045944,746,0.8252108716026242,13,733,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,521,0.8779287722586692,False
46,1486,GO:0006468,1349,0.6839268978444236,17,1332,GO:0044248,GO_CELLULAR_CATABOLIC_PROCESS,1205,0.7176663542642925,False
47,1522,GO:0006468,1385,0.6754920337394564,17,1368,GO:0044248,GO_CELLULAR_CATABOLIC_PROCESS,1217,0.71485473289597,False
48,948,GO:0002576,924,0.7835051546391752,18,906,GO:0002576,GO_PLATELET_DEGRANULATION,924,0.7835051546391752,True
49,882,GO:0001934,813,0.8095126522961574,1,812,GO:0031399,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,515,0.8793345829428304,False
50,1378,GO:0045892,1145,0.7317244611059044,4,1141,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,899,0.7893626991565136,False
51,1164,GO:0043123,1053,0.7532802249297095,4,1049,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,714,0.8327085285848173,False
52,1731,GO:0045944,1345,0.6848641049671977,9,1336,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1036,0.7572633552014996,False
53,1635,GO:0045944,1247,0.7078256794751641,8,1239,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,983,0.7696813495782568,False
54,957,GO:0043123,848,0.8013120899718837,5,843,GO:0010647,GO_POSITIVE_REGULATION_OF_CELL_COMMUNICATION,625,0.8535613870665417,False
55,1017,GO:0045944,639,0.8502811621368322,13,626,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,570,0.866447985004686,False
56,698,GO:0045766,649,0.8479381443298969,1,648,GO:2000026,GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,482,0.887066541705717,False
57,624,GO:0001934,555,0.8699625117150891,1,554,GO:0031399,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,341,0.9201030927835052,False
58,604,GO:0043966,568,0.8669165885660731,0,568,GO:0016568,GO_CHROMATIN_MODIFICATION,469,0.8901124648547329,False
59,892,GO:0045944,514,0.8795688847235239,13,501,GO:0006357,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,478,0.8880037488284911,False
60,1829,GO:0045944,1443,0.6619025304592314,9,1434,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1108,0.7403936269915652,False
61,668,GO:0006886,642,0.8495782567947516,7,635,GO:0045184,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,534,0.8748828491096532,False
62,796,GO:0030335,724,0.8303655107778819,9,715,GO:0060341,GO_REGULATION_OF_CELLULAR_LOCALIZATION,545,0.8723055295220243,False
63,742,GO:0006468,607,0.8577788191190253,18,589,GO:0018193,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,581,0.8638706654170571,False
64,762,GO:0006974,668,0.8434864104967198,6,662,GO:0033554,GO_CELLULAR_RESPONSE_TO_STRESS,605,0.8582474226804124,False
65,536,GO:0031623,511,0.8802717900656045,0,511,GO:0007034,GO_VACUOLAR_TRANSPORT,467,0.89058106841612,False
66,2043,GO:0045944,1957,0.5414714151827553,159,1798,GO:0006928,GO_MOVEMENT_OF_CELL_OR_SUBCELLULAR_COMPONENT,1750,0.5899718837863168,False
67,1291,GO:0001649,1278,0.7005623242736645,14,1264,GO:0061024,GO_MEMBRANE_ORGANIZATION,1216,0.7150890346766635,False
68,1737,GO:0045944,1665,0.6098875351452671,166,1499,GO:0051276,GO_CHROMOSOME_ORGANIZATION,1431,0.6647141518275539,False
69,1080,GO:0043966,1048,0.7544517338331771,2,1046,GO:0051276,GO_CHROMOSOME_ORGANIZATION,998,0.7661668228678538,False
70,948,GO:0002576,924,0.7835051546391752,18,906,GO:0002576,GO_PLATELET_DEGRANULATION,924,0.7835051546391752,True
71,597,GO:0051297,583,0.8634020618556701,0,583,GO:0031023,GO_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,561,0.8685567010309279,False
72,653,GO:0045944,281,0.9341611996251171,16,265,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,349,0.9182286785379569,False
73,1159,GO:0045944,779,0.8174789128397376,12,767,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,638,0.8505154639175257,False
74,773,GO:0045944,399,0.9065135895032802,15,384,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,360,0.915651358950328,False
75,808,GO:0006886,782,0.816776007497657,7,775,GO:0008104,GO_PROTEIN_LOCALIZATION,557,0.869493908153702,False
76,1225,GO:0098779,1187,0.721883786316776,1,1186,GO:0071822,GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,980,0.7703842549203375,False
77,547,GO:0006302,514,0.8795688847235239,0,514,GO:0090305,GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS,481,0.8873008434864105,False
78,1054,GO:0045944,676,0.8416119962511714,13,663,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,555,0.8699625117150891,False
79,900,GO:0045944,522,0.8776944704779757,13,509,GO:0006357,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,482,0.887066541705717,False
80,758,GO:0006468,623,0.8540299906279287,18,605,GO:0018193,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,597,0.8601218369259607,False
81,2035,GO:0045944,1791,0.5803655107778819,80,1711,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,1731,0.5944236176194939,False
82,1103,GO:0045944,723,0.8305998125585754,12,711,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,624,0.8537956888472352,False
83,785,GO:0035556,737,0.8273195876288659,27,710,GO:0007167,GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,715,0.8324742268041238,False
84,582,GO:0006468,487,0.8858950328022492,38,449,GO:0046777,GO_PROTEIN_AUTOPHOSPHORYLATION,471,0.8896438612933458,False
85,2406,GO:0045944,2238,0.47563261480787256,118,2120,GO:0008104,GO_PROTEIN_LOCALIZATION,2003,0.5306935332708529,False
86,339,GO:0000398,295,0.9308809746954076,12,283,GO:0016071,GO_MRNA_METABOLIC_PROCESS,285,0.933223992502343,False
87,1132,GO:0045944,758,0.8223992502343018,15,743,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,584,0.8631677600749765,False
88,1108,GO:0045944,724,0.8303655107778819,10,714,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,536,0.8744142455482662,False
89,766,GO:0045892,531,0.8755857544517338,3,528,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,445,0.8957357075913777,False
90,702,GO:0043123,591,0.8615276476101219,4,587,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,418,0.9020618556701031,False
91,913,GO:0006468,776,0.8181818181818181,17,759,GO:0006508,GO_PROTEOLYSIS,700,0.8359887535145267,False
92,1174,GO:0006468,1039,0.756560449859419,18,1021,GO:0018193,GO_PEPTIDYL_AMINO_ACID_MODIFICATION,971,0.7724929709465792,False
93,725,GO:0045944,353,0.9172914714151827,16,337,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,265,0.9379100281162137,False
94,864,GO:0001525,815,0.8090440487347703,5,810,GO:0048646,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,727,0.8296626054358013,False
95,1149,GO:0006468,1044,0.7553889409559513,33,1011,GO:0046777,GO_PROTEIN_AUTOPHOSPHORYLATION,1038,0.7567947516401125,False
96,658,GO:0006974,562,0.8683223992502342,5,557,GO:0033554,GO_CELLULAR_RESPONSE_TO_STRESS,533,0.8751171508903468,False
97,1577,GO:0006468,1440,0.662605435801312,17,1423,GO:0044248,GO_CELLULAR_CATABOLIC_PROCESS,1266,0.7033739456419869,False
98,1741,GO:0045944,1349,0.6839268978444236,6,1343,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,1014,0.7624179943767573,False
99,1042,GO:0002576,1014,0.7624179943767573,16,998,GO:0002576,GO_PLATELET_DEGRANULATION,1012,0.7628865979381443,True
100,1893,GO:0045944,1757,0.588331771321462,134,1623,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,1690,0.6040299906279287,False
101,977,GO:0043123,868,0.7966260543580131,5,863,GO:0010647,GO_POSITIVE_REGULATION_OF_CELL_COMMUNICATION,615,0.8559044048734771,False
102,726,GO:0006120,714,0.8327085285848173,0,714,GO:0098660,GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT,695,0.8371602624179943,False
103,1207,GO:0045944,829,0.805763823805061,13,816,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,584,0.8631677600749765,False
104,774,GO:0045944,402,0.9058106841611996,16,386,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,265,0.9379100281162137,False
105,1170,GO:0006974,1072,0.7488284910965324,4,1068,GO:0033554,GO_CELLULAR_RESPONSE_TO_STRESS,915,0.785613870665417,False
106,1153,GO:0030335,1135,0.7340674789128397,36,1099,GO:0030029,GO_ACTIN_FILAMENT_BASED_PROCESS,1118,0.7380506091846297,False
107,695,GO:0043966,659,0.8455951265229615,0,659,GO:0016569,GO_COVALENT_CHROMATIN_MODIFICATION,572,0.865979381443299,False
108,1697,GO:0045944,1625,0.6192596063730085,166,1459,GO:0051276,GO_CHROMOSOME_ORGANIZATION,1391,0.6740862230552952,False
109,1389,GO:0016236,1363,0.6806466729147141,6,1357,GO:0045184,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,1265,0.7036082474226804,False
110,1149,GO:0000398,1095,0.743439550140581,7,1088,GO:0051276,GO_CHROMOSOME_ORGANIZATION,935,0.7809278350515464,False
111,761,GO:0045944,389,0.9088566073102156,16,373,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,278,0.9348641049671977,False
112,1108,GO:0045944,730,0.8289597000937208,13,717,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,525,0.876991565135895,False
113,1155,GO:0045944,777,0.8179475164011246,13,764,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,556,0.8697282099343955,False
114,777,GO:0045892,544,0.872539831302718,4,540,GO:0051172,GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS,436,0.8978444236176195,False
115,1663,GO:0045944,1275,0.7012652296157451,8,1267,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,968,0.7731958762886598,False
116,3612,GO:0045944,3268,0.23430178069353325,30,3238,GO:0048584,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,2816,0.3402061855670103,False
117,2929,GO:0045944,2657,0.37746016869728205,66,2591,GO:0010628,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,2381,0.4421274601686973,False
118,3252,GO:0045944,2938,0.3116213683223993,45,2893,GO:0009891,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,2585,0.39432989690721654,False
119,2101,GO:0045944,1945,0.5442830365510778,124,1821,GO:0007049,GO_CELL_CYCLE,1815,0.5747422680412371,False
120,959,GO:0045944,581,0.8638706654170571,13,568,GO:0006357,GO_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER,537,0.8741799437675726,False
