simulated_rank,GO_ID,GO_name,observed_column_under_best_assignment,simulated_slot
75,GO:0034641,cellular nitrogen compound metabolic process,77,22290
76,GO:0010556,regulation of macromolecule biosynthetic process,78,22771
77,GO:2001141,regulation of RNA biosynthetic process,79,24075
78,GO:0005488,binding,81,24725
79,GO:0019219,regulation of nucleobase-containing compound metabolic process,82,25032
80,GO:0007165,signal transduction,83,25109
81,GO:0016740,transferase activity,84,25138
82,GO:0044699,single-organism process,85,25269
83,GO:0044822,poly(A) RNA binding,86,25418
84,GO:0010605,negative regulation of macromolecule metabolic process,89,26148
85,GO:0010604,positive regulation of macromolecule metabolic process,87,26149
86,GO:0048583,regulation of response to stimulus,51,26697
87,GO:0019538,protein metabolic process,91,26728
88,GO:0010628,positive regulation of gene expression,93,27283
89,GO:0044763,single-organism cellular process,66,27385
90,GO:0006810,transport,17,27851
91,GO:0003824,catalytic activity,95,27857
92,GO:0006950,response to stress,96,27885
93,GO:0071704,organic substance metabolic process,97,28081
94,GO:0031982,vesicle,99,28197
95,GO:0010646,regulation of cell communication,101,28443
96,GO:0044428,nuclear part,110,28788
97,GO:0044424,intracellular part,117,28792
98,GO:0044425,membrane part,102,28793
99,GO:0044421,extracellular region part,18,28797
100,GO:0044422,organelle part,68,28798
101,GO:0009893,positive regulation of metabolic process,103,28805
102,GO:0009891,positive regulation of biosynthetic process,104,28807
103,GO:0050896,response to stimulus,105,29418
104,GO:0005515,protein binding,106,29558
105,GO:0006996,organelle organization,107,29664
106,GO:0044446,intracellular organelle part,108,29936
107,GO:0044444,cytoplasmic part,109,29938
108,GO:0060255,regulation of macromolecule metabolic process,53,30129
109,GO:0031328,positive regulation of cellular biosynthetic process,111,30599
110,GO:0031326,regulation of cellular biosynthetic process,112,30601
111,GO:0031325,positive regulation of cellular metabolic process,113,30602
112,GO:0031324,negative regulation of cellular metabolic process,114,30603
113,GO:0031323,regulation of cellular metabolic process,115,30604
114,GO:0005575,cellular_component,116,30704
115,GO:0044464,cell part,118,31084
116,GO:0044267,cellular protein metabolic process,80,31393
117,GO:0044260,cellular macromolecule metabolic process,92,31398
118,GO:0043229,intracellular organelle,119,31597
119,GO:0051252,regulation of RNA metabolic process,120,32107
120,GO:0051254,positive regulation of RNA metabolic process,72,32109
