GeneID,mapped_graphsage_row_count,graph_instance_count,unique_tissue_count,tissues,train_instance_count,valid_instance_count,test_instance_count,mean_instance_degree,median_instance_degree,max_instance_degree,min_instance_degree,total_instance_degree,feature_nonzero_counts,feature_nonzero_count_consistent,positive_label_count,all_zero_label_vector
81,19,19,19,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,15,2,2,56.578947368421055,57.0,72,39,1075,1,1,62,0
86,18,18,18,adrenal_cortex|adrenal_gland|amygdala|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,14,2,2,55.44444444444444,57.5,62,43,998,0,1,50,0
87,22,22,22,adipose_tissue|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,57.77272727272727,59.5,76,27,1271,0,1,35,0
88,1,1,1,brain,1,0,0,42.0,42.0,42,42,42,0,1,38,0
89,2,2,2,brain|lung,1,0,1,15.0,15.0,16,14,30,2,1,41,0
90,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,27.875,27.0,37,15,669,1,1,77,0
91,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,23.695652173913043,24.0,29,18,545,1,1,67,0
92,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,10.434782608695652,10.0,16,8,240,3,1,57,0
93,1,1,1,brain,1,0,0,17.0,17.0,17,17,17,0,1,48,0
94,3,3,3,heart|kidney|lung,0,2,1,17.0,17.0,17,17,51,0,1,80,0
100,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,10.458333333333334,10.5,17,2,251,1,1,38,0
102,23,23,23,adipose_tissue|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,9.434782608695652,9.0,13,3,217,1,1,54,0
107,9,9,9,blood|brain|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,6,2,1,4.444444444444445,4.0,5,4,40,0,1,35,0
111,8,8,8,brain|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,5,2,1,9.5,9.0,11,9,76,0,1,34,0
113,11,11,11,blood|blood_plasma|blood_platelet|brain|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,8,2,1,5.454545454545454,5.0,6,5,60,0,1,30,0
118,20,20,20,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,30.65,32.0,43,18,613,0,1,39,0
119,6,6,6,amygdala|basal_ganglion|blood|brain|forebrain|lung,5,0,1,13.666666666666666,13.5,17,11,82,0,1,31,0
123,4,4,4,adipose_tissue|adrenal_cortex|adrenal_gland|lung,3,0,1,1.75,2.0,2,1,7,0,1,9,0
127,2,2,2,gastrointestinal_tract|liver,2,0,0,5.0,5.0,5,5,10,0,1,16,0
128,20,20,20,adipose_tissue|adrenal_gland|aorta|artery|astrocyte|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,17,2,1,12.95,13.0,16,6,259,0,1,13,0
130,2,2,2,gastrointestinal_tract|liver,2,0,0,6.0,6.0,6,6,12,0,1,17,0
131,1,1,1,gastrointestinal_tract,1,0,0,6.0,6.0,6,6,6,0,1,15,0
133,13,13,13,adrenal_cortex|adrenal_gland|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|lung,10,2,1,4.076923076923077,4.0,5,3,53,2,1,49,0
134,9,9,9,adipose_tissue|amygdala|basal_ganglion|blood|brain|forebrain|heart|kidney|midbrain,6,2,1,3.4444444444444446,3.0,5,3,31,0,1,0,1
135,17,17,17,amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,13,2,2,7.647058823529412,7.0,10,7,130,1,1,26,0
136,6,6,6,blood|brain|colon|forebrain|gastrointestinal_tract|large_intestine,6,0,0,3.3333333333333335,3.5,4,2,20,0,1,0,1
142,9,9,9,blood|brain|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,6,2,1,143.33333333333334,143.0,153,136,1290,0,1,72,0
146,3,3,3,brain|forebrain|heart,2,1,0,8.666666666666666,9.0,9,8,26,0,1,0,1
147,3,3,3,kidney|liver|lung,1,1,1,6.666666666666667,7.0,7,6,20,1,1,36,0
148,5,5,5,brain|forebrain|heart|kidney|liver,3,2,0,4.8,4.0,7,4,24,2,1,53,0
150,4,4,4,adrenal_gland|brain|gastrointestinal_tract|kidney,3,1,0,15.0,15.0,17,13,60,0,1,49,0
151,2,2,2,brain|kidney,1,1,0,4.5,4.5,5,4,9,0,1,28,0
152,5,5,5,gastrointestinal_tract|heart|kidney|liver|lung,2,2,1,4.6,4.0,6,4,23,0,1,34,0
153,2,2,2,adipose_tissue|heart,1,1,0,8.5,8.5,9,8,17,0,1,37,0
154,3,3,3,blood|heart|lung,1,1,1,116.66666666666667,116.0,118,116,350,4,1,47,0
155,6,6,6,adipose_tissue|brain|colon|gastrointestinal_tract|heart|large_intestine,5,1,0,5.166666666666667,5.0,6,4,31,0,1,36,0
156,19,19,19,adipose_tissue|adrenal_cortex|adrenal_gland|aorta|artery|basal_ganglion|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,15,2,2,36.21052631578947,36.0,47,26,688,3,1,46,0
158,21,21,21,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,16.238095238095237,16.0,23,9,341,1,1,17,0
166,20,20,20,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|artery|basal_ganglion|blood|blood_plasma|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,59.4,58.5,78,39,1188,1,1,42,0
176,1,1,1,blood,1,0,0,4.0,4.0,4,4,4,2,1,0,1
177,4,4,4,blood|brain|heart|lung,2,1,1,9.25,9.0,10,9,37,2,1,41,0
181,7,7,7,adrenal_gland|basal_ganglion|blood|blood_plasma|brain|kidney|lung,5,1,1,2.0,2.0,4,1,14,0,1,22,0
182,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,6.25,6.5,8,4,150,1,1,51,0
183,9,9,9,adipose_tissue|adrenal_gland|blood|blood_plasma|brain|eye|heart|kidney|liver,7,2,0,11.88888888888889,12.0,15,8,107,0,1,63,0
185,11,11,11,adrenal_gland|blood|brain|colon|eye|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,8,2,1,20.0,21.0,22,18,220,0,1,29,0
186,4,4,4,adrenal_gland|brain|kidney|lung,2,1,1,6.0,6.0,6,6,24,0,1,27,0
189,2,2,2,kidney|liver,1,1,0,6.0,6.0,6,6,12,0,1,29,0
190,5,5,5,adrenal_cortex|adrenal_gland|brain|forebrain|liver,5,0,0,8.0,8.0,9,7,40,0,1,62,0
196,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,30.958333333333332,32.5,36,13,743,0,1,68,0
197,7,7,7,blood|blood_plasma|bone|eye|heart|kidney|liver,5,2,0,7.142857142857143,7.0,8,7,50,0,1,22,0
199,9,9,9,blood|brain|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,6,2,1,2.0,2.0,2,2,18,1,1,36,0
207,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,191.52173913043478,197.0,234,116,4405,1,1,95,0
208,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,67.125,69.0,86,28,1611,1,1,58,0
210,21,21,21,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,6.619047619047619,7.0,7,4,139,0,1,27,0
212,1,1,1,blood,1,0,0,3.0,3.0,3,3,3,1,1,36,0
214,2,2,2,blood|brain,2,0,0,5.0,5.0,6,4,10,2,1,16,0
216,2,2,2,blood|eye,2,0,0,6.5,6.5,8,5,13,2,1,10,0
220,16,16,16,adrenal_gland|amygdala|basal_ganglion|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,12,2,2,5.0,5.0,8,2,80,0,1,28,0
223,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,7.391304347826087,8.0,13,4,170,0,1,20,0
226,14,14,14,adipose_tissue|adrenal_gland|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,11,2,1,55.92857142857143,57.5,67,36,783,1,1,46,0
229,4,4,4,blood|blood_plasma|kidney|liver,3,1,0,15.0,15.5,16,13,60,0,1,34,0
238,2,2,2,brain|gastrointestinal_tract,2,0,0,58.0,58.0,60,56,116,1,1,28,0
239,20,20,20,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,4.75,4.5,7,4,95,2,1,39,0
240,16,16,16,adipose_tissue|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,13,2,1,10.6875,11.0,14,5,171,0,1,21,0
241,7,7,7,basal_ganglion|blood|brain|forebrain|gastrointestinal_tract|large_intestine|lung,6,0,1,4.714285714285714,5.0,5,4,33,0,1,26,0
249,4,4,4,blood|bone|kidney|liver,3,1,0,5.0,5.0,5,5,20,1,1,19,0
267,21,21,21,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,46.285714285714285,48.0,53,27,972,1,1,39,0
273,3,3,3,adrenal_gland|brain|eye,3,0,0,20.333333333333332,20.0,24,17,61,0,1,5,0
283,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,4.666666666666667,4.5,6,3,112,1,1,65,0
284,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,3.4583333333333335,3.0,6,3,83,2,1,56,0
285,2,2,2,brain|kidney,1,1,0,6.5,6.5,7,6,13,2,1,15,0
286,3,3,3,blood|heart|liver,2,1,0,9.333333333333334,8.0,12,8,28,0,1,23,0
287,1,1,1,brain,1,0,0,11.0,11.0,11,11,11,2,1,39,0
288,2,2,2,brain|forebrain,2,0,0,14.0,14.0,16,12,28,2,1,51,0
291,16,16,16,adrenal_gland|amygdala|basal_ganglion|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,12,2,2,36.25,37.0,39,31,580,0,1,15,0
301,22,22,22,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|artery|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,61.77272727272727,63.0,84,18,1359,0,1,72,0
302,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,75.33333333333333,76.5,102,26,1808,0,1,64,0
306,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,5.625,6.0,7,3,135,0,1,65,0
309,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,38.608695652173914,39.0,53,19,888,0,1,31,0
310,18,18,18,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|brain|eye|forebrain|gastrointestinal_tract|heart|kidney|liver|lung|midbrain,14,2,2,39.77777777777778,39.0,53,26,716,1,1,39,0
311,21,21,21,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,16.523809523809526,17.0,19,11,347,1,1,38,0
317,6,6,6,brain|colon|gastrointestinal_tract|kidney|large_intestine|lung,4,1,1,18.5,18.5,19,18,111,0,1,34,0
320,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,10.956521739130435,10.0,15,10,252,2,1,0,1
321,1,1,1,brain,1,0,0,10.0,10.0,10,10,10,0,1,0,1
322,6,6,6,basal_ganglion|blood|brain|forebrain|gastrointestinal_tract|kidney,5,1,0,49.5,50.5,52,45,297,1,1,74,0
323,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,10.083333333333334,10.0,14,5,242,2,1,36,0
324,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,97.41666666666667,102.0,123,29,2338,0,1,58,0
328,20,20,20,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,51.9,51.5,67,32,1038,1,1,66,0
329,22,22,22,adipose_tissue|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,18,2,2,60.90909090909091,59.5,75,41,1340,0,1,50,0
330,5,5,5,brain|heart|kidney|liver|lung,2,2,1,56.4,57.0,58,55,282,1,1,32,0
331,20,20,20,adipose_tissue|adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,71.15,69.5,85,46,1423,0,1,43,0
332,4,4,4,colon|gastrointestinal_tract|large_intestine|lung,3,0,1,24.5,24.0,26,24,98,1,1,54,0
333,3,3,3,blood|brain|forebrain,3,0,0,26.666666666666668,28.0,29,23,80,0,1,25,0
334,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,25.391304347826086,25.0,33,21,584,0,1,14,0
335,6,6,6,blood|blood_plasma|gastrointestinal_tract|heart|liver|lung,4,1,1,41.166666666666664,41.0,48,34,247,0,1,68,0
336,6,6,6,blood|blood_plasma|eye|gastrointestinal_tract|liver|lung,5,0,1,11.0,11.0,12,9,66,1,1,69,0
337,11,11,11,adrenal_gland|blood|blood_plasma|brain|eye|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,8,2,1,4.2727272727272725,4.0,5,4,47,0,1,59,0
338,3,3,3,blood|blood_plasma|liver,3,0,0,25.666666666666668,25.0,29,23,77,0,1,50,0
341,11,11,11,adrenal_gland|blood|blood_plasma|brain|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,8,2,1,3.0,3.0,4,2,33,1,1,45,0
344,2,2,2,blood|liver,2,0,0,1.0,1.0,1,1,2,1,1,41,0
345,3,3,3,blood|blood_plasma|lung,2,0,1,6.333333333333333,6.0,7,6,19,0,1,50,0
348,24,24,24,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|basophil|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,20,2,2,22.75,23.0,35,9,546,1,1,76,0
350,8,8,8,blood|blood_plasma|colon|eye|gastrointestinal_tract|large_intestine|liver|lung,7,0,1,18.25,17.5,23,16,146,0,1,42,0
351,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,417.4782608695652,406.0,589,200,9602,1,1,83,0
355,1,1,1,liver,1,0,0,61.0,61.0,61,61,61,0,1,33,0
356,1,1,1,blood,1,0,0,52.0,52.0,52,52,52,0,1,63,0
357,4,4,4,brain|eye|kidney|lung,2,1,1,7.0,7.0,7,7,28,0,1,32,0
358,11,11,11,adrenal_cortex|adrenal_gland|blood|brain|eye|forebrain|gastrointestinal_tract|heart|kidney|liver|lung,8,2,1,17.09090909090909,17.0,21,9,188,1,1,69,0
359,6,6,6,blood|brain|heart|kidney|liver|lung,3,2,1,4.0,4.0,4,4,24,1,1,24,0
360,7,7,7,blood|colon|gastrointestinal_tract|kidney|large_intestine|liver|lung,5,1,1,1.5714285714285714,1.0,3,1,11,0,1,21,0
361,7,7,7,brain|eye|gastrointestinal_tract|heart|kidney|liver|lung,4,2,1,6.714285714285714,7.0,7,6,47,0,1,16,0
362,2,2,2,eye|lung,1,0,1,5.5,5.5,6,5,11,1,1,23,0
366,4,4,4,blood|gastrointestinal_tract|liver|lung,3,0,1,2.0,2.0,2,2,8,0,1,19,0
367,9,9,9,adrenal_cortex|adrenal_gland|colon|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,6,2,1,174.55555555555554,183.0,190,127,1571,0,1,77,0
369,16,16,16,adipose_tissue|adrenal_cortex|adrenal_gland|basal_ganglion|blood|blood_plasma|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung,13,2,1,45.625,47.0,52,30,730,1,1,25,0
373,20,20,20,adrenal_gland|amygdala|aorta|artery|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,16,2,2,59.8,60.5,76,41,1196,0,1,33,0
374,2,2,2,brain|lung,1,0,1,7.5,7.5,8,7,15,2,1,28,0
382,23,23,23,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|aorta|artery|astrocyte|basal_ganglion|blood|blood_plasma|blood_platelet|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,19,2,2,43.26086956521739,45.0,56,22,995,3,1,42,0
384,21,21,21,adipose_tissue|adrenal_cortex|adrenal_gland|amygdala|artery|astrocyte|basal_ganglion|blood|blood_plasma|bone|brain|colon|eye|forebrain|gastrointestinal_tract|heart|kidney|large_intestine|liver|lung|midbrain,17,2,2,1.0,1.0,1,1,21,0,1,2,0
