UniProtKB_accession,field,release158_value,release159_value
Q9UI43,DB_Object_Synonyms,MRM2_HUMAN|FTSJ2|FJH1|MRM2,MRM2_HUMAN|MRM2|FJH1|FTSJ2
Q9Y3A2,DB_Object_Symbol,UTP11L,UTP11
Q9Y3A2,DB_Object_Synonyms,UTP11_HUMAN|UTP11L|CGI-94|HDCMB12P,UTP11_HUMAN|UTP11|UTP11L|CGI-94|HDCMB12P
Q9Y4I5,DB_Object_Symbol,MTL5,TESMIN
Q9Y4I5,DB_Object_Synonyms,MTL5_HUMAN|MTL5,MTL5_HUMAN|TESMIN|MTL5
Q9Y6H3,DB_Object_Symbol,XRCC6BP1,ATP23
Q9Y6H3,DB_Object_Synonyms,ATP23_HUMAN|XRCC6BP1|KUB3,ATP23_HUMAN|ATP23|KUB3|XRCC6BP1
U3KPV4,DB_Object_Name,Protein A3GALT2,"Alpha-1,3-galactosyltransferase 2"
U3KPV4,DB_Object_Synonyms,U3KPV4_HUMAN|A3GALT2,A3LT2_HUMAN|A3GALT2|A3GALT2P|IGBS3S
U3KPV4,Properties,db_subset=TrEMBL,db_subset=Swiss-Prot
P0C852,object_presence,present,absent
P0DMU6,object_presence,present,absent
Q5QP74,object_presence,present,absent
