graph_index_1based	tissue	split	ohmnet_member	ohmnet_member_sha256	node_count	edge_count	evidence_status	evidence_reference
15	colon	train	bio-tissue-networks/colon.edgelist	13ddea4c98054c90f8bdfee5768e40d0ced828094d0ee1f9d375a6826405e497	2807	43854	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
16	eye	train	bio-tissue-networks/eye.edgelist	632f6b38ddd6b9c2f81b0830b692920c2345b3cef56585b10a65da651e02fe8a	2333	30993	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
17	forebrain	train	bio-tissue-networks/forebrain.edgelist	cf409dbf9808df53cbce4f09960d65575c651feb862cecb03c07c0a767e262e3	2664	39671	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
18	large_intestine	train	bio-tissue-networks/large_intestine.edgelist	7266969cca5504bbf0055c86ad65f8fcadba0caadf255c31f9ec5fa0f5fbe829	2829	43964	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
19	liver	train	bio-tissue-networks/liver.edgelist	43d52bd76ba82f6ec03408b9867b5d5f1752651dd10e07c8608c3af190743beb	3180	48409	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
20	gastrointestinal_tract	train	bio-tissue-networks/gastrointestinal_tract.edgelist	f068fe74e1149f1e5e6d133685cbef632bc298a5e7bbe00c1f6acfb77bfc7bd3	3037	46956	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
21	heart	validation	bio-tissue-networks/heart.edgelist	cc6e12801646d36f26e282dac40bef61ae65dafb05eea1e347ef8b2467b49519	3210	50061	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
22	kidney	validation	bio-tissue-networks/kidney.edgelist	c168e215ff186ed056fd6cf153944a1f2c3f4812bcac3fa679b88627ab07d344	3304	52126	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
23	lung	test	bio-tissue-networks/lung.edgelist	9b38404b36707172cffddbd2fbfdd3dcc24a3132c20faf41c5b001234d8c6678	3214	51666	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
24	midbrain	test	bio-tissue-networks/midbrain.edgelist	fe4a9e3dbb0ad030d93ae5d8e060026f379e85f2890cd7b4bb77f5d1ece18e4b	2310	31665	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
