column_index_0based	collection	source_file	source_row_1based	canonical_name	historical_alias	membership_sha256	source_unique_entrez_count	expected_positive_rows	all_zero_after_projection	evidence_status	evidence_reference
30	C3	c3.all.v6.1.entrez.gmt	2	AAAYRNCTG_UNKNOWN		c93bc6bbab33654b65e6720d6be57f7294244ac627d080bf79b1ce40004fea16	374	1771	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
31	C3	c3.all.v6.1.entrez.gmt	3	MYOD_01		2ad792f7956625af6f076cf985ab64c39c61a0c229dda6d5441915f898681907	265	1164	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
32	C3	c3.all.v6.1.entrez.gmt	4	E47_01		ad2e32e4467666d865c09bc4aeb1ae74d3ad3beb9e2ba506592d770747a9ec5c	253	1405	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
33	C3	c3.all.v6.1.entrez.gmt	5	CMYB_01		fc5edfffe8b325265f9004d042a4bb4fb6ded6b3fd3c58c12c754594c71061f9	249	1387	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
34	C3	c3.all.v6.1.entrez.gmt	6	AP4_01		184ecb1d27626371e104b03d742e12a18dc23ad7a61d4bb7696077a0e87edb79	262	1209	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
35	C3	c3.all.v6.1.entrez.gmt	7	AACTTT_UNKNOWN	AAAYWAACM_HFH4_01	31d4723cefaf528436136ef4ad8cdafb940e267a6fa4b6c8d6107396634fb404	1890	9002	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
36	C3	c3.all.v6.1.entrez.gmt	9	ELK1_01		871c4c1aa4d676baea8c85609d54aec3be4324cca59064466195ef842393b480	269	1432	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
37	C3	c3.all.v6.1.entrez.gmt	10	SP1_01		2e48fad6eda6ca03f877b4d143affe646621c43ec1914e49ffcb3a16fcc70d01	237	1335	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
38	C3	c3.all.v6.1.entrez.gmt	12	ATF_01		e47441fa39ca99fec7dcca9c6c40cf7d8c61f428b3b02cbcc36a11e90699de8e	259	1278	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
39	C3	c3.all.v6.1.entrez.gmt	15	ELK1_02		6570b24a451e52c9ea44202dbf12024ee3524b46fbfdbd524ee4920488e5e357	248	1087	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
40	C3	c3.all.v6.1.entrez.gmt	16	RSRFC4_01		4894bb2e2fad6485051a829693297d786e39255591ab5aa1c14528177ca06e8a	245	933	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
41	C3	c3.all.v6.1.entrez.gmt	17	CETS1P54_01		f7933b1289b3d6a72c3ddc5c3ba91307ed7128faa336a04875387383709a4508	258	1310	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
42	C3	c3.all.v6.1.entrez.gmt	19	P300_01		c016a222ab879b71a655ebadf941a98dc2795ba61459d82ce4a06b636a00e309	249	1411	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
43	C3	c3.all.v6.1.entrez.gmt	20	NFE2_01		52ff5e8635965b905767a9e1676a9fe0ef1c3b3b3ecd6757c6e2dd0f1e6c2234	272	1324	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
44	C3	c3.all.v6.1.entrez.gmt	21	CREB_01		e50eea112d7a704ba2430fd727184888e729e679e48f98650db829a9b2207115	262	1185	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
45	C3	c3.all.v6.1.entrez.gmt	23	CREBP1CJUN_01		e0ff0350181adca2ec812d5b108d6186036a5e99fcf116c1387fd1d76b16b3fe	259	1160	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
46	C3	c3.all.v6.1.entrez.gmt	24	SOX5_01		9be9820db38f5a841752bcbda431ed73516df5c653103392843f3955b215f315	265	1349	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
47	C3	c3.all.v6.1.entrez.gmt	25	E4BP4_01		e843887a22e4c244df1ef7c43a57e3eaf20c8a12d25adf71f2cf6423b1898762	223	1076	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
48	C3	c3.all.v6.1.entrez.gmt	26	E2F_02		7fafbf9ca84e47fe3d253d1022f6bde3206e553dc7957671e477f20c3eb24365	235	1247	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
49	C3	c3.all.v6.1.entrez.gmt	27	NFKAPPAB65_01		4d02f8afecba55d9874cb575296d918e145d686b2becc90a0222d5093f443e4a	237	1233	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
