column_index	go_id	namespace	duplicate_vector_group	identity_status	evidence_reference
26	GO:0043226	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
27	GO:0005634	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
28	GO:0009987	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
29	GO:0010557	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
30	GO:0065007	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
31	GO:1902578	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
32	GO:0008150	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
33	GO:0042221	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
34	GO:0032268	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
35	GO:0032991	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
36	GO:0051128	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
37	GO:0009892	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
38	GO:0080090	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
39	GO:0006464	biological_process	GO:0006464|GO:0036211	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
40	GO:0006807	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
41	GO:0032502	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
42	GO:0065009	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
43	GO:0065008	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
44	GO:0005886	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
45	GO:0009889	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
46	GO:0044238	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
47	GO:0044237	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
48	GO:1903561	cellular_component	GO:0043230|GO:1903561	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
49	GO:0051246	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
50	GO:0048523	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
51	GO:0048583	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
52	GO:0048522	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
53	GO:0060255	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
54	GO:0023051	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
55	GO:2000112	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
56	GO:0050793	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
57	GO:0031399	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
58	GO:0043933	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
59	GO:0006355	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
60	GO:0048518	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
61	GO:0051234	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
62	GO:0032879	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
63	GO:0036211	biological_process	GO:0006464|GO:0036211	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
64	GO:0051716	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
65	GO:0044765	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
66	GO:0044763	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
67	GO:0016020	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
68	GO:0044422	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
69	GO:0043234	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
70	GO:0043230	cellular_component	GO:0043230|GO:1903561	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
71	GO:0043232	cellular_component	GO:0043228|GO:0043232	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
72	GO:0051254	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
73	GO:0051171	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
74	GO:0051173	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
75	GO:0051179	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
76	GO:0016043	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
77	GO:0034641	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
78	GO:0010556	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
79	GO:2001141	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
80	GO:0044267	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
81	GO:0005488	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
82	GO:0019219	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
83	GO:0007165	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
84	GO:0016740	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
85	GO:0044699	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
86	GO:0044822	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
87	GO:0010604	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
88	GO:0010468	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
89	GO:0010605	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
90	GO:0048584	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
91	GO:0019538	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
92	GO:0044260	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
93	GO:0010628	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
94	GO:0044767	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
95	GO:0003824	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
96	GO:0006950	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
97	GO:0071704	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
98	GO:0019222	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
99	GO:0031982	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
100	GO:0043231	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
101	GO:0010646	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
102	GO:0044425	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
103	GO:0009893	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
104	GO:0009891	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
105	GO:0050896	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
106	GO:0005515	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
107	GO:0006996	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
108	GO:0044446	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
109	GO:0044444	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
110	GO:0044428	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
111	GO:0031328	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
112	GO:0031326	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
113	GO:0031325	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
114	GO:0031324	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
115	GO:0031323	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
116	GO:0005575	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
117	GO:0044424	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
118	GO:0044464	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
119	GO:0043229	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
120	GO:0051252	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
