label_column,inferred_GO_ID,inferred_GO_name,namespace,observed_positive_genes,exact_candidate_count_for_vector,all_exact_GO_ID_candidates,identity_basis,identity_confidence
19,GO:0008152,metabolic process,biological_process,1657,1,GO:0008152,unique exact membership vector,exact from membership
20,GO:0005654,nucleoplasm,cellular_component,692,1,GO:0005654,unique exact membership vector,exact from membership
21,GO:0050794,regulation of cellular process,biological_process,2534,1,GO:0050794,unique exact membership vector,exact from membership
22,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,893,1,GO:1903506,unique exact membership vector,exact from membership
23,GO:0071840,cellular component organization or biogenesis,biological_process,1227,1,GO:0071840,unique exact membership vector,exact from membership
24,GO:0043228,non-membrane-bounded organelle,cellular_component,597,2,GO:0043228|GO:0043232,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
25,GO:0043227,membrane-bounded organelle,cellular_component,2437,1,GO:0043227,unique exact membership vector,exact from membership
26,GO:0043226,organelle,cellular_component,2603,1,GO:0043226,unique exact membership vector,exact from membership
27,GO:0005634,nucleus,cellular_component,1208,1,GO:0005634,unique exact membership vector,exact from membership
28,GO:0009987,cellular process,biological_process,2816,1,GO:0009987,unique exact membership vector,exact from membership
29,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,721,1,GO:0010557,unique exact membership vector,exact from membership
30,GO:0065007,biological regulation,biological_process,2793,1,GO:0065007,unique exact membership vector,exact from membership
31,GO:1902578,single-organism localization,biological_process,613,1,GO:1902578,unique exact membership vector,exact from membership
32,GO:0008150,biological_process,biological_process,3696,1,GO:0008150,unique exact membership vector,exact from membership
33,GO:0042221,response to chemical,biological_process,657,1,GO:0042221,unique exact membership vector,exact from membership
34,GO:0032268,regulation of cellular protein metabolic process,biological_process,819,1,GO:0032268,unique exact membership vector,exact from membership
35,GO:0032991,macromolecular complex,cellular_component,1253,1,GO:0032991,unique exact membership vector,exact from membership
36,GO:0051128,regulation of cellular component organization,biological_process,746,1,GO:0051128,unique exact membership vector,exact from membership
37,GO:0009892,negative regulation of metabolic process,biological_process,819,1,GO:0009892,unique exact membership vector,exact from membership
38,GO:0080090,regulation of primary metabolic process,biological_process,1626,1,GO:0080090,unique exact membership vector,exact from membership
39,GO:0006464,cellular protein modification process,biological_process,742,2,GO:0006464|GO:0036211,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
40,GO:0006807,nitrogen compound metabolic process,biological_process,599,1,GO:0006807,unique exact membership vector,exact from membership
41,GO:0032502,developmental process,biological_process,900,1,GO:0032502,unique exact membership vector,exact from membership
42,GO:0065009,regulation of molecular function,biological_process,794,1,GO:0065009,unique exact membership vector,exact from membership
43,GO:0065008,regulation of biological quality,biological_process,880,1,GO:0065008,unique exact membership vector,exact from membership
44,GO:0005886,plasma membrane,cellular_component,550,1,GO:0005886,unique exact membership vector,exact from membership
45,GO:0009889,regulation of biosynthetic process,biological_process,1124,1,GO:0009889,unique exact membership vector,exact from membership
46,GO:0044238,primary metabolic process,biological_process,1486,1,GO:0044238,unique exact membership vector,exact from membership
47,GO:0044237,cellular metabolic process,biological_process,1522,1,GO:0044237,unique exact membership vector,exact from membership
48,GO:1903561,extracellular vesicle,cellular_component,948,2,GO:0043230|GO:1903561,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
49,GO:0051246,regulation of protein metabolic process,biological_process,882,1,GO:0051246,unique exact membership vector,exact from membership
50,GO:0048523,negative regulation of cellular process,biological_process,1378,1,GO:0048523,unique exact membership vector,exact from membership
51,GO:0048583,regulation of response to stimulus,biological_process,1164,1,GO:0048583,unique exact membership vector,exact from membership
52,GO:0048522,positive regulation of cellular process,biological_process,1731,1,GO:0048522,unique exact membership vector,exact from membership
53,GO:0060255,regulation of macromolecule metabolic process,biological_process,1635,1,GO:0060255,unique exact membership vector,exact from membership
54,GO:0023051,regulation of signaling,biological_process,957,1,GO:0023051,unique exact membership vector,exact from membership
55,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,1017,1,GO:2000112,unique exact membership vector,exact from membership
56,GO:0050793,regulation of developmental process,biological_process,698,1,GO:0050793,unique exact membership vector,exact from membership
57,GO:0031399,regulation of protein modification process,biological_process,624,1,GO:0031399,unique exact membership vector,exact from membership
58,GO:0043933,macromolecular complex subunit organization,biological_process,604,1,GO:0043933,unique exact membership vector,exact from membership
59,GO:0006355,"regulation of transcription, DNA-templated",biological_process,892,1,GO:0006355,unique exact membership vector,exact from membership
60,GO:0048518,positive regulation of biological process,biological_process,1829,1,GO:0048518,unique exact membership vector,exact from membership
61,GO:0051234,establishment of localization,biological_process,668,1,GO:0051234,unique exact membership vector,exact from membership
62,GO:0032879,regulation of localization,biological_process,796,1,GO:0032879,unique exact membership vector,exact from membership
63,GO:0036211,protein modification process,biological_process,742,2,GO:0006464|GO:0036211,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
64,GO:0051716,cellular response to stimulus,biological_process,762,1,GO:0051716,unique exact membership vector,exact from membership
65,GO:0044765,single-organism transport,biological_process,536,1,GO:0044765,unique exact membership vector,exact from membership
66,GO:0044763,single-organism cellular process,biological_process,2043,1,GO:0044763,unique exact membership vector,exact from membership
67,GO:0016020,membrane,cellular_component,1291,1,GO:0016020,unique exact membership vector,exact from membership
68,GO:0044422,organelle part,cellular_component,1737,1,GO:0044422,unique exact membership vector,exact from membership
69,GO:0043234,protein complex,cellular_component,1080,1,GO:0043234,unique exact membership vector,exact from membership
70,GO:0043230,extracellular organelle,cellular_component,948,2,GO:0043230|GO:1903561,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
71,GO:0043232,intracellular non-membrane-bounded organelle,cellular_component,597,2,GO:0043228|GO:0043232,legacy CPython2 dictionary-order disambiguation,strongly supported; pending original code/source list
72,GO:0051254,positive regulation of RNA metabolic process,biological_process,653,1,GO:0051254,unique exact membership vector,exact from membership
73,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,1159,1,GO:0051171,unique exact membership vector,exact from membership
74,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,773,1,GO:0051173,unique exact membership vector,exact from membership
75,GO:0051179,localization,biological_process,808,1,GO:0051179,unique exact membership vector,exact from membership
76,GO:0016043,cellular component organization,biological_process,1225,1,GO:0016043,unique exact membership vector,exact from membership
77,GO:0034641,cellular nitrogen compound metabolic process,biological_process,547,1,GO:0034641,unique exact membership vector,exact from membership
78,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,1054,1,GO:0010556,unique exact membership vector,exact from membership
79,GO:2001141,regulation of RNA biosynthetic process,biological_process,900,1,GO:2001141,unique exact membership vector,exact from membership
80,GO:0044267,cellular protein metabolic process,biological_process,758,1,GO:0044267,unique exact membership vector,exact from membership
81,GO:0005488,binding,molecular_function,2035,1,GO:0005488,unique exact membership vector,exact from membership
82,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,1103,1,GO:0019219,unique exact membership vector,exact from membership
83,GO:0007165,signal transduction,biological_process,785,1,GO:0007165,unique exact membership vector,exact from membership
84,GO:0016740,transferase activity,molecular_function,582,1,GO:0016740,unique exact membership vector,exact from membership
85,GO:0044699,single-organism process,biological_process,2406,1,GO:0044699,unique exact membership vector,exact from membership
86,GO:0044822,poly(A) RNA binding,molecular_function,339,1,GO:0044822,unique exact membership vector,exact from membership
87,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,1132,1,GO:0010604,unique exact membership vector,exact from membership
88,GO:0010468,regulation of gene expression,biological_process,1108,1,GO:0010468,unique exact membership vector,exact from membership
89,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,766,1,GO:0010605,unique exact membership vector,exact from membership
90,GO:0048584,positive regulation of response to stimulus,biological_process,702,1,GO:0048584,unique exact membership vector,exact from membership
91,GO:0019538,protein metabolic process,biological_process,913,1,GO:0019538,unique exact membership vector,exact from membership
92,GO:0044260,cellular macromolecule metabolic process,biological_process,1174,1,GO:0044260,unique exact membership vector,exact from membership
93,GO:0010628,positive regulation of gene expression,biological_process,725,1,GO:0010628,unique exact membership vector,exact from membership
94,GO:0044767,single-organism developmental process,biological_process,864,1,GO:0044767,unique exact membership vector,exact from membership
95,GO:0003824,catalytic activity,molecular_function,1149,1,GO:0003824,unique exact membership vector,exact from membership
96,GO:0006950,response to stress,biological_process,658,1,GO:0006950,unique exact membership vector,exact from membership
97,GO:0071704,organic substance metabolic process,biological_process,1577,1,GO:0071704,unique exact membership vector,exact from membership
98,GO:0019222,regulation of metabolic process,biological_process,1741,1,GO:0019222,unique exact membership vector,exact from membership
99,GO:0031982,vesicle,cellular_component,1042,1,GO:0031982,unique exact membership vector,exact from membership
100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,1893,1,GO:0043231,unique exact membership vector,exact from membership
101,GO:0010646,regulation of cell communication,biological_process,977,1,GO:0010646,unique exact membership vector,exact from membership
102,GO:0044425,membrane part,cellular_component,726,1,GO:0044425,unique exact membership vector,exact from membership
103,GO:0009893,positive regulation of metabolic process,biological_process,1207,1,GO:0009893,unique exact membership vector,exact from membership
104,GO:0009891,positive regulation of biosynthetic process,biological_process,774,1,GO:0009891,unique exact membership vector,exact from membership
105,GO:0050896,response to stimulus,biological_process,1170,1,GO:0050896,unique exact membership vector,exact from membership
106,GO:0005515,protein binding,molecular_function,1153,1,GO:0005515,unique exact membership vector,exact from membership
107,GO:0006996,organelle organization,biological_process,695,1,GO:0006996,unique exact membership vector,exact from membership
108,GO:0044446,intracellular organelle part,cellular_component,1697,1,GO:0044446,unique exact membership vector,exact from membership
109,GO:0044444,cytoplasmic part,cellular_component,1389,1,GO:0044444,unique exact membership vector,exact from membership
110,GO:0044428,nuclear part,cellular_component,1149,1,GO:0044428,unique exact membership vector,exact from membership
111,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,761,1,GO:0031328,unique exact membership vector,exact from membership
112,GO:0031326,regulation of cellular biosynthetic process,biological_process,1108,1,GO:0031326,unique exact membership vector,exact from membership
113,GO:0031325,positive regulation of cellular metabolic process,biological_process,1155,1,GO:0031325,unique exact membership vector,exact from membership
114,GO:0031324,negative regulation of cellular metabolic process,biological_process,777,1,GO:0031324,unique exact membership vector,exact from membership
115,GO:0031323,regulation of cellular metabolic process,biological_process,1663,1,GO:0031323,unique exact membership vector,exact from membership
116,GO:0005575,cellular_component,cellular_component,3612,1,GO:0005575,unique exact membership vector,exact from membership
117,GO:0044424,intracellular part,cellular_component,2929,1,GO:0044424,unique exact membership vector,exact from membership
118,GO:0044464,cell part,cellular_component,3252,1,GO:0044464,unique exact membership vector,exact from membership
119,GO:0043229,intracellular organelle,cellular_component,2101,1,GO:0043229,unique exact membership vector,exact from membership
120,GO:0051252,regulation of RNA metabolic process,biological_process,959,1,GO:0051252,unique exact membership vector,exact from membership
