label_column,GO_ID,GO_name,namespace,min_is_a_depth_from_namespace_root,max_is_a_depth_from_namespace_root,depth_span,ancestor_count_including_self,descendant_count_including_self,observed_positive_genes,all_relation_predicted_positive_genes,all_relation_false_positives,default_relation_predicted_positive_genes,default_relation_false_positives,false_positives_eliminated_by_excluding_qualified_relations,all_relation_exact,default_relation_exact,direct_positive_genes_all_relations,direct_positive_genes_default_relations,predicted_information_content_bits_default
15,GO:0048519,negative regulation of biological process,biological_process,3,3,0,4,3303,1450,1450,0,1450,0,0,1,1,0,0,1.557507275922128
16,GO:0003723,RNA binding,molecular_function,4,4,0,6,174,395,402,7,395,0,7,0,1,52,50,3.4336356177599594
17,GO:0006810,transport,biological_process,3,3,0,4,1604,610,610,0,610,0,0,1,1,6,6,2.8066790283741763
18,GO:0044421,extracellular region part,cellular_component,1,1,0,2,165,1117,1118,1,1117,0,1,0,1,0,0,1.9339309903411102
19,GO:0008152,metabolic process,biological_process,1,1,0,2,6426,1657,1657,0,1657,0,0,1,1,2,2,1.364986573602973
20,GO:0005654,nucleoplasm,cellular_component,4,5,1,7,1,692,693,1,693,1,0,0,0,693,693,2.622632918687211
21,GO:0050794,regulation of cellular process,biological_process,3,3,0,4,8341,2534,2534,0,2534,0,0,1,1,1,1,0.7521436516836155
22,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,7,8,1,16,509,893,893,0,893,0,0,1,1,1,1,2.256828095703202
23,GO:0071840,cellular component organization or biogenesis,biological_process,1,1,0,2,1740,1227,1227,0,1227,0,0,1,1,0,0,1.7984249271615198
24,GO:0043228,non-membrane-bounded organelle,cellular_component,2,2,0,3,131,597,618,21,597,0,21,0,1,0,0,2.83775733955962
25,GO:0043227,membrane-bounded organelle,cellular_component,2,2,0,3,213,2437,2445,8,2438,1,7,0,0,0,0,0.807862050204213
26,GO:0043226,organelle,cellular_component,1,1,0,2,369,2603,2613,10,2604,1,9,0,0,0,0,0.7128307276587894
27,GO:0005634,nucleus,cellular_component,4,5,1,8,21,1208,1210,2,1209,1,1,0,0,1210,1209,1.8197459315753013
28,GO:0009987,cellular process,biological_process,1,1,0,2,10959,2816,2816,0,2816,0,0,1,1,3,3,0.5999128421871277
29,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,6,6,0,12,291,721,721,0,721,0,0,1,1,0,0,2.5654890115836024
30,GO:0065007,biological regulation,biological_process,1,1,0,2,12284,2793,2793,0,2793,0,0,1,1,0,0,0.6117446025444749
31,GO:1902578,single-organism localization,biological_process,2,2,0,4,1662,613,613,0,613,0,0,1,1,0,0,2.7996011971336436
32,GO:0008150,biological_process,biological_process,0,0,0,1,28678,3696,3696,0,3696,0,0,1,1,0,0,0.20759541940836734
33,GO:0042221,response to chemical,biological_process,2,2,0,3,980,657,657,0,657,0,0,1,1,0,0,2.6995949005020954
34,GO:0032268,regulation of cellular protein metabolic process,biological_process,5,6,1,10,779,819,819,0,819,0,0,1,1,1,1,2.381624819183416
35,GO:0032991,macromolecular complex,cellular_component,1,1,0,2,2062,1253,1332,79,1253,0,79,0,1,0,0,1.7681737615025646
36,GO:0051128,regulation of cellular component organization,biological_process,4,4,0,5,1232,746,746,0,746,0,0,1,1,0,0,2.516312640569187
37,GO:0009892,negative regulation of metabolic process,biological_process,4,4,0,6,1026,819,819,0,819,0,0,1,1,0,0,2.381624819183416
38,GO:0080090,regulation of primary metabolic process,biological_process,4,4,0,5,2569,1626,1626,0,1626,0,0,1,1,0,0,1.3922329187493974
39,GO:0006464,cellular protein modification process,biological_process,5,6,1,13,912,742,742,0,742,0,0,1,1,3,3,2.5240690842036217
40,GO:0006807,nitrogen compound metabolic process,biological_process,2,2,0,3,2818,599,599,0,599,0,0,1,1,0,0,2.8329322680356395
41,GO:0032502,developmental process,biological_process,1,1,0,2,3396,900,900,0,900,0,0,1,1,1,1,2.2455632696073877
42,GO:0065009,regulation of molecular function,biological_process,2,2,0,3,980,794,794,0,794,0,0,1,1,0,0,2.426349263681467
43,GO:0065008,regulation of biological quality,biological_process,2,2,0,3,2297,880,880,0,880,0,0,1,1,0,0,2.277984747299765
44,GO:0005886,plasma membrane,cellular_component,2,2,0,4,4,550,565,15,550,0,15,0,1,556,541,2.956056652412403
45,GO:0009889,regulation of biosynthetic process,biological_process,4,4,0,5,1601,1124,1124,0,1124,0,0,1,1,0,0,1.9249181406034988
46,GO:0044238,primary metabolic process,biological_process,2,2,0,3,4260,1486,1486,0,1486,0,0,1,1,0,0,1.5221260602858286
47,GO:0044237,cellular metabolic process,biological_process,2,2,0,4,5639,1522,1522,0,1522,0,0,1,1,1,1,1.4875918173208795
48,GO:0043230,extracellular organelle,cellular_component,2,2,0,4,15,948,948,0,948,0,0,1,1,0,0,2.170601211926166
49,GO:0051246,regulation of protein metabolic process,biological_process,5,5,0,7,1038,882,882,0,882,0,0,1,1,0,0,2.274709615266904
50,GO:0048523,negative regulation of cellular process,biological_process,4,4,0,6,2413,1378,1378,0,1378,0,0,1,1,0,0,1.6309842881201337
51,GO:0048583,regulation of response to stimulus,biological_process,3,3,0,4,2463,1164,1164,0,1164,0,0,1,1,0,0,1.8744691179161412
52,GO:0048522,positive regulation of cellular process,biological_process,4,4,0,6,2380,1731,1731,0,1731,0,0,1,1,0,0,1.3019544514577863
53,GO:0060255,regulation of macromolecule metabolic process,biological_process,4,4,0,5,2184,1635,1635,0,1635,0,0,1,1,0,0,1.3842695404389802
54,GO:0023051,regulation of signaling,biological_process,3,3,0,4,1434,957,957,0,957,0,0,1,1,0,0,2.1569693463383994
55,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,6,6,0,11,797,1017,1017,0,1017,0,0,1,1,0,0,2.0692404969669247
56,GO:0050793,regulation of developmental process,biological_process,3,3,0,4,1870,698,698,0,698,0,0,1,1,0,0,2.6122612346147727
57,GO:0031399,regulation of protein modification process,biological_process,6,7,1,11,490,624,624,0,624,0,0,1,1,0,0,2.773942241962177
58,GO:0043933,macromolecular complex subunit organization,biological_process,3,3,0,5,596,604,604,0,604,0,0,1,1,0,0,2.820939721499346
59,GO:0006355,"regulation of transcription, DNA-templated",biological_process,6,9,3,19,500,892,892,0,892,0,0,1,1,78,78,2.2584445609041204
60,GO:0048518,positive regulation of biological process,biological_process,3,3,0,4,3372,1829,1829,0,1829,0,0,1,1,0,0,1.2225051010757084
61,GO:0051234,establishment of localization,biological_process,2,2,0,3,1711,668,668,0,668,0,0,1,1,0,0,2.6756401683503728
62,GO:0032879,regulation of localization,biological_process,3,3,0,4,1680,796,796,0,796,0,0,1,1,0,0,2.4227198402807764
63,GO:0006464,cellular protein modification process,biological_process,5,6,1,13,912,742,742,0,742,0,0,1,1,3,3,2.5240690842036217
64,GO:0051716,cellular response to stimulus,biological_process,2,2,0,4,776,762,762,0,762,0,0,1,1,4,4,2.485697273331103
65,GO:0044765,single-organism transport,biological_process,3,4,1,7,1500,536,536,0,536,0,0,1,1,0,0,2.9932552703666526
66,GO:0044763,single-organism cellular process,biological_process,2,2,0,4,7246,2043,2043,0,2043,0,0,1,1,0,0,1.0628709720911975
67,GO:0016020,membrane,cellular_component,1,1,0,2,198,1291,1309,18,1291,0,18,0,1,567,564,1.725071175517234
68,GO:0044422,organelle part,cellular_component,1,1,0,2,1497,1737,1780,43,1738,1,42,0,0,0,0,1.2961320940100247
69,GO:0043234,protein complex,cellular_component,2,2,0,3,1867,1080,1165,85,1080,0,85,0,1,154,154,1.982528863773594
70,GO:0043230,extracellular organelle,cellular_component,2,2,0,4,15,948,948,0,948,0,0,1,1,0,0,2.170601211926166
71,GO:0043228,non-membrane-bounded organelle,cellular_component,2,2,0,3,131,597,618,21,597,0,21,0,1,0,0,2.83775733955962
72,GO:0051254,positive regulation of RNA metabolic process,biological_process,6,7,1,19,194,653,653,0,653,0,0,1,1,0,0,2.708405279277994
73,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,4,4,0,5,1449,1159,1159,0,1159,0,0,1,1,0,0,1.880679609817953
74,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,5,5,0,8,440,773,773,0,773,0,0,1,1,0,0,2.465019856899578
75,GO:0051179,localization,biological_process,1,1,0,2,2095,808,808,0,808,0,0,1,1,0,0,2.40113297807263
76,GO:0016043,cellular component organization,biological_process,2,2,0,4,1709,1225,1225,0,1225,0,0,1,1,0,0,1.800778426934492
77,GO:0034641,cellular nitrogen compound metabolic process,biological_process,3,3,0,6,2136,547,547,0,547,0,0,1,1,0,0,2.963947438031868
78,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,5,5,0,7,1012,1054,1054,0,1054,0,0,1,1,0,0,2.0176853091872102
79,GO:2001141,regulation of RNA biosynthetic process,biological_process,6,7,1,15,528,900,900,0,900,0,0,1,1,3,3,2.2455632696073877
80,GO:0044267,cellular protein metabolic process,biological_process,4,5,1,10,945,758,758,0,758,0,0,1,1,0,0,2.4932904226533332
81,GO:0005488,binding,molecular_function,1,1,0,2,1832,2035,2073,38,2035,0,38,0,1,0,0,1.0685313816708155
82,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,5,5,0,9,995,1103,1103,0,1103,0,0,1,1,0,0,1.9521273852330423
83,GO:0007165,signal transduction,biological_process,4,4,0,5,712,785,785,0,785,0,0,1,1,40,40,2.4427956170454355
84,GO:0016740,transferase activity,molecular_function,2,2,0,3,2120,582,637,55,582,0,55,0,1,3,3,2.8744691179161412
85,GO:0044699,single-organism process,biological_process,1,1,0,2,10884,2406,2406,0,2406,0,0,1,1,0,0,0.8269235336483485
86,GO:0044822,poly(A) RNA binding,molecular_function,5,5,0,7,10,339,339,0,339,0,0,1,1,328,328,3.654202997688081
87,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,5,5,0,8,666,1132,1132,0,1132,0,0,1,1,0,0,1.9146862179925428
88,GO:0010468,regulation of gene expression,biological_process,5,5,0,6,826,1108,1108,0,1108,0,0,1,1,27,27,1.9456022947752365
89,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,5,5,0,8,647,766,766,0,766,0,0,1,1,0,0,2.4781438788994676
90,GO:0048584,positive regulation of response to stimulus,biological_process,4,4,0,6,809,702,702,0,702,0,0,1,1,0,0,2.6040172405198643
91,GO:0019538,protein metabolic process,biological_process,3,4,1,6,1186,913,913,0,913,0,0,1,1,2,2,2.224873410840203
92,GO:0044260,cellular macromolecule metabolic process,biological_process,3,4,1,7,2109,1174,1174,0,1174,0,0,1,1,0,0,1.8621277677143728
93,GO:0010628,positive regulation of gene expression,biological_process,6,6,0,10,232,725,725,0,725,0,0,1,1,111,111,2.557507275922128
94,GO:0044767,single-organism developmental process,biological_process,2,2,0,4,2945,864,864,0,864,0,0,1,1,0,0,2.3044569586609565
95,GO:0003824,catalytic activity,molecular_function,1,1,0,2,6730,1149,1253,104,1149,0,104,0,1,2,2,1.8931813781783116
96,GO:0006950,response to stress,biological_process,2,2,0,3,490,658,658,0,658,0,0,1,1,10,10,2.6974006870891833
97,GO:0071704,organic substance metabolic process,biological_process,2,2,0,3,6111,1577,1577,0,1577,0,0,1,1,0,0,1.4363775160339147
98,GO:0019222,regulation of metabolic process,biological_process,3,3,0,4,3351,1741,1741,0,1741,0,0,1,1,0,0,1.2936439731733238
99,GO:0031982,vesicle,cellular_component,3,3,0,4,91,1042,1046,4,1042,0,4,0,1,45,43,2.0342048985459167
100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,3,4,1,7,193,1893,1907,14,1894,1,13,0,0,186,186,1.17212384535604
101,GO:0010646,regulation of cell communication,biological_process,4,4,0,5,1490,977,977,0,977,0,0,1,1,0,0,2.1271297088560397
102,GO:0044425,membrane part,cellular_component,1,1,0,2,818,726,759,33,726,0,33,0,1,0,0,2.555518722828674
103,GO:0009893,positive regulation of metabolic process,biological_process,4,4,0,6,1060,1207,1207,0,1207,0,0,1,1,0,0,1.8221345000694036
104,GO:0009891,positive regulation of biosynthetic process,biological_process,5,5,0,8,488,774,774,0,774,0,0,1,1,0,0,2.4631547046800146
105,GO:0050896,response to stimulus,biological_process,1,1,0,2,2191,1170,1170,0,1170,0,0,1,1,0,0,1.867051646353658
106,GO:0005515,protein binding,molecular_function,2,2,0,3,990,1153,1182,29,1153,0,29,0,1,0,0,1.8881676631726532
107,GO:0006996,organelle organization,biological_process,3,3,0,5,703,695,695,0,695,0,0,1,1,0,0,2.6184752932135553
108,GO:0044446,intracellular organelle part,cellular_component,2,3,1,5,1382,1697,1740,43,1698,1,42,0,0,0,0,1.3297237172713863
109,GO:0044444,cytoplasmic part,cellular_component,3,3,0,4,1161,1389,1413,24,1389,0,24,0,1,0,0,1.6195135768430324
110,GO:0044428,nuclear part,cellular_component,3,4,1,6,480,1149,1180,31,1150,1,30,0,0,0,0,1.8919263149926873
111,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,6,6,0,14,451,761,761,0,761,0,0,1,1,1,1,2.4875918173208795
112,GO:0031326,regulation of cellular biosynthetic process,biological_process,5,5,0,8,1481,1108,1108,0,1108,0,0,1,1,0,0,1.9456022947752365
113,GO:0031325,positive regulation of cellular metabolic process,biological_process,5,5,0,10,955,1155,1155,0,1155,0,0,1,1,0,0,1.8856673245210052
114,GO:0031324,negative regulation of cellular metabolic process,biological_process,5,5,0,10,892,777,777,0,777,0,0,1,1,1,1,2.4575736724167148
115,GO:0031323,regulation of cellular metabolic process,biological_process,4,4,0,6,2942,1663,1663,0,1663,0,0,1,1,0,0,1.359772007537156
116,GO:0005575,cellular_component,cellular_component,0,0,0,1,3905,3612,3624,12,3613,1,11,0,0,0,0,0.24036292139198162
117,GO:0044424,intracellular part,cellular_component,2,2,0,3,2288,2929,2944,15,2930,1,14,0,0,0,0,0.5426595115148147
118,GO:0044464,cell part,cellular_component,1,1,0,2,3118,3252,3263,11,3253,1,10,0,0,0,0,0.391789353783293
119,GO:0043229,intracellular organelle,cellular_component,2,3,1,5,319,2101,2121,20,2102,1,19,0,0,1,1,1.0217975068622465
120,GO:0051252,regulation of RNA metabolic process,biological_process,5,6,1,11,635,959,959,0,959,0,0,1,1,0,0,2.153957455806294
