label_column,GO_ID,GO_name,namespace,observed_positive_genes,predicted_positive_genes,false_positives,false_negatives,mismatches,agreement
31,GO:1902578,single-organism localization,biological_process,613,613,0,0,0,1.0
32,GO:0008150,biological_process,biological_process,3696,3696,0,0,0,1.0
33,GO:0042221,response to chemical,biological_process,657,657,0,0,0,1.0
34,GO:0032268,regulation of cellular protein metabolic process,biological_process,819,819,0,0,0,1.0
35,GO:0032991,macromolecular complex,cellular_component,1253,1253,0,0,0,1.0
36,GO:0051128,regulation of cellular component organization,biological_process,746,746,0,0,0,1.0
37,GO:0009892,negative regulation of metabolic process,biological_process,819,819,0,0,0,1.0
38,GO:0080090,regulation of primary metabolic process,biological_process,1626,1626,0,0,0,1.0
39,GO:0006464,cellular protein modification process,biological_process,742,742,0,0,0,1.0
40,GO:0006807,nitrogen compound metabolic process,biological_process,599,599,0,0,0,1.0
41,GO:0032502,developmental process,biological_process,900,900,0,0,0,1.0
42,GO:0065009,regulation of molecular function,biological_process,794,794,0,0,0,1.0
43,GO:0065008,regulation of biological quality,biological_process,880,880,0,0,0,1.0
44,GO:0005886,plasma membrane,cellular_component,550,550,0,0,0,1.0
45,GO:0009889,regulation of biosynthetic process,biological_process,1124,1124,0,0,0,1.0
46,GO:0044238,primary metabolic process,biological_process,1486,1486,0,0,0,1.0
47,GO:0044237,cellular metabolic process,biological_process,1522,1522,0,0,0,1.0
48,GO:0043230,extracellular organelle,cellular_component,948,948,0,0,0,1.0
49,GO:0051246,regulation of protein metabolic process,biological_process,882,882,0,0,0,1.0
50,GO:0048523,negative regulation of cellular process,biological_process,1378,1378,0,0,0,1.0
51,GO:0048583,regulation of response to stimulus,biological_process,1164,1164,0,0,0,1.0
52,GO:0048522,positive regulation of cellular process,biological_process,1731,1731,0,0,0,1.0
53,GO:0060255,regulation of macromolecule metabolic process,biological_process,1635,1635,0,0,0,1.0
54,GO:0023051,regulation of signaling,biological_process,957,957,0,0,0,1.0
55,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,1017,1017,0,0,0,1.0
56,GO:0050793,regulation of developmental process,biological_process,698,698,0,0,0,1.0
57,GO:0031399,regulation of protein modification process,biological_process,624,624,0,0,0,1.0
58,GO:0043933,macromolecular complex subunit organization,biological_process,604,604,0,0,0,1.0
59,GO:0006355,"regulation of transcription, DNA-templated",biological_process,892,892,0,0,0,1.0
60,GO:0048518,positive regulation of biological process,biological_process,1829,1829,0,0,0,1.0
61,GO:0051234,establishment of localization,biological_process,668,668,0,0,0,1.0
62,GO:0032879,regulation of localization,biological_process,796,796,0,0,0,1.0
63,GO:0006464,cellular protein modification process,biological_process,742,742,0,0,0,1.0
64,GO:0051716,cellular response to stimulus,biological_process,762,762,0,0,0,1.0
65,GO:0044765,single-organism transport,biological_process,536,536,0,0,0,1.0
66,GO:0044763,single-organism cellular process,biological_process,2043,2043,0,0,0,1.0
67,GO:0016020,membrane,cellular_component,1291,1291,0,0,0,1.0
68,GO:0044422,organelle part,cellular_component,1737,1737,0,0,0,1.0
69,GO:0043234,protein complex,cellular_component,1080,1080,0,0,0,1.0
70,GO:0043230,extracellular organelle,cellular_component,948,948,0,0,0,1.0
71,GO:0043228,non-membrane-bounded organelle,cellular_component,597,597,0,0,0,1.0
72,GO:0051254,positive regulation of RNA metabolic process,biological_process,653,653,0,0,0,1.0
73,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,1159,1159,0,0,0,1.0
74,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,773,773,0,0,0,1.0
75,GO:0051179,localization,biological_process,808,808,0,0,0,1.0
76,GO:0016043,cellular component organization,biological_process,1225,1225,0,0,0,1.0
77,GO:0034641,cellular nitrogen compound metabolic process,biological_process,547,547,0,0,0,1.0
78,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,1054,1054,0,0,0,1.0
79,GO:2001141,regulation of RNA biosynthetic process,biological_process,900,900,0,0,0,1.0
80,GO:0044267,cellular protein metabolic process,biological_process,758,758,0,0,0,1.0
81,GO:0005488,binding,molecular_function,2035,2035,0,0,0,1.0
82,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,1103,1103,0,0,0,1.0
83,GO:0007165,signal transduction,biological_process,785,785,0,0,0,1.0
84,GO:0016740,transferase activity,molecular_function,582,582,0,0,0,1.0
85,GO:0044699,single-organism process,biological_process,2406,2406,0,0,0,1.0
86,GO:0044822,poly(A) RNA binding,molecular_function,339,339,0,0,0,1.0
87,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,1132,1132,0,0,0,1.0
88,GO:0010468,regulation of gene expression,biological_process,1108,1108,0,0,0,1.0
89,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,766,766,0,0,0,1.0
90,GO:0048584,positive regulation of response to stimulus,biological_process,702,702,0,0,0,1.0
91,GO:0019538,protein metabolic process,biological_process,913,913,0,0,0,1.0
92,GO:0044260,cellular macromolecule metabolic process,biological_process,1174,1174,0,0,0,1.0
93,GO:0010628,positive regulation of gene expression,biological_process,725,725,0,0,0,1.0
94,GO:0044767,single-organism developmental process,biological_process,864,864,0,0,0,1.0
95,GO:0003824,catalytic activity,molecular_function,1149,1149,0,0,0,1.0
96,GO:0006950,response to stress,biological_process,658,658,0,0,0,1.0
97,GO:0071704,organic substance metabolic process,biological_process,1577,1577,0,0,0,1.0
98,GO:0019222,regulation of metabolic process,biological_process,1741,1741,0,0,0,1.0
99,GO:0031982,vesicle,cellular_component,1042,1042,0,0,0,1.0
100,GO:0043231,intracellular membrane-bounded organelle,cellular_component,1893,1893,0,0,0,1.0
101,GO:0010646,regulation of cell communication,biological_process,977,977,0,0,0,1.0
102,GO:0044425,membrane part,cellular_component,726,726,0,0,0,1.0
103,GO:0009893,positive regulation of metabolic process,biological_process,1207,1207,0,0,0,1.0
104,GO:0009891,positive regulation of biosynthetic process,biological_process,774,774,0,0,0,1.0
105,GO:0050896,response to stimulus,biological_process,1170,1170,0,0,0,1.0
106,GO:0005515,protein binding,molecular_function,1153,1153,0,0,0,1.0
107,GO:0006996,organelle organization,biological_process,695,695,0,0,0,1.0
108,GO:0044446,intracellular organelle part,cellular_component,1697,1697,0,0,0,1.0
109,GO:0044444,cytoplasmic part,cellular_component,1389,1389,0,0,0,1.0
110,GO:0044428,nuclear part,cellular_component,1149,1149,0,0,0,1.0
111,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,761,761,0,0,0,1.0
112,GO:0031326,regulation of cellular biosynthetic process,biological_process,1108,1108,0,0,0,1.0
113,GO:0031325,positive regulation of cellular metabolic process,biological_process,1155,1155,0,0,0,1.0
114,GO:0031324,negative regulation of cellular metabolic process,biological_process,777,777,0,0,0,1.0
115,GO:0031323,regulation of cellular metabolic process,biological_process,1663,1663,0,0,0,1.0
116,GO:0005575,cellular_component,cellular_component,3612,3612,0,0,0,1.0
117,GO:0044424,intracellular part,cellular_component,2929,2929,0,0,0,1.0
118,GO:0044464,cell part,cellular_component,3252,3252,0,0,0,1.0
119,GO:0043229,intracellular organelle,cellular_component,2101,2101,0,0,0,1.0
120,GO:0051252,regulation of RNA metabolic process,biological_process,959,959,0,0,0,1.0
