version,GO_ID,GO_name,namespace,present_in_C5,C5_set_names,C5_orders,C5_full_member_counts,C5_graph_member_counts,GOA_exact_graph_member_count,direct_C5_vs_exact_GOA_mismatches,direct_C5_exact
5.1,GO:0009891,positive regulation of biosynthetic process,biological_process,0,,,,,774,,0
5.1,GO:0009892,negative regulation of metabolic process,biological_process,1,NEGATIVE_REGULATION_OF_METABOLIC_PROCESS,840,262,173,819,706,0
5.1,GO:0009893,positive regulation of metabolic process,biological_process,1,POSITIVE_REGULATION_OF_METABOLIC_PROCESS,666,236,178,1207,1049,0
5.1,GO:0009966,regulation of signal transduction,biological_process,1,REGULATION_OF_SIGNAL_TRANSDUCTION,473,222,176,890,736,0
5.1,GO:0009987,cellular process,biological_process,0,,,,,2816,,0
5.1,GO:0010468,regulation of gene expression,biological_process,1,REGULATION_OF_GENE_EXPRESSION,612,673,411,1108,893,0
5.1,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,0,,,,,1054,,0
5.1,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,0,,,,,721,,0
5.1,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,0,,,,,1132,,0
5.1,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,0,,,,,766,,0
5.1,GO:0010628,positive regulation of gene expression,biological_process,0,,,,,725,,0
5.1,GO:0010646,regulation of cell communication,biological_process,0,,,,,977,,0
5.1,GO:0016020,membrane,cellular_component,1,MEMBRANE,58,1994,809,1291,1150,0
5.1,GO:0016043,cellular component organization,biological_process,0,,,,,1225,,0
5.1,GO:0016740,transferase activity,molecular_function,0,,,,,582,,0
5.1,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,1,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,885,618,380,1103,859,0
5.1,GO:0019222,regulation of metabolic process,biological_process,1,REGULATION_OF_METABOLIC_PROCESS,853,799,509,1741,1402,0
5.1,GO:0019538,protein metabolic process,biological_process,1,PROTEIN_METABOLIC_PROCESS,778,1231,672,913,833,0
5.1,GO:0023051,regulation of signaling,biological_process,0,,,,,957,,0
5.1,GO:0031323,regulation of cellular metabolic process,biological_process,1,REGULATION_OF_CELLULAR_METABOLIC_PROCESS,600,787,500,1663,1337,0
5.1,GO:0031324,negative regulation of cellular metabolic process,biological_process,1,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,262,259,171,777,670,0
5.1,GO:0031325,positive regulation of cellular metabolic process,biological_process,1,POSITIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,821,229,174,1155,999,0
5.1,GO:0031326,regulation of cellular biosynthetic process,biological_process,0,,,,,1108,,0
5.1,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,0,,,,,761,,0
5.1,GO:0031399,regulation of protein modification process,biological_process,1,REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,424,44,37,624,591,0
5.1,GO:0031982,vesicle,cellular_component,1,VESICLE,73,124,58,1042,1008,0
5.1,GO:0032268,regulation of cellular protein metabolic process,biological_process,1,REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,979,162,120,819,803,0
5.1,GO:0032502,developmental process,biological_process,0,,,,,900,,0
5.1,GO:0032879,regulation of localization,biological_process,0,,,,,796,,0
5.1,GO:0032991,macromolecular complex,cellular_component,1,MACROMOLECULAR_COMPLEX,182,945,470,1253,993,0
5.1,GO:0034641,cellular nitrogen compound metabolic process,biological_process,0,,,,,547,,0
5.1,GO:0036211,protein modification process,biological_process,0,,,,,742,,0
5.1,GO:0042221,response to chemical,biological_process,1,RESPONSE_TO_CHEMICAL_STIMULUS,609,314,186,657,665,0
5.1,GO:0043170,macromolecule metabolic process,biological_process,0,,,,,1284,,0
5.1,GO:0043226,organelle,cellular_component,0,,,,,2603,,0
5.1,GO:0043227,membrane-bounded organelle,cellular_component,0,,,,,2437,,0
5.1,GO:0043228,non-membrane-bounded organelle,cellular_component,1,NON_MEMBRANE_BOUND_ORGANELLE,70,631,272,597,567,0
5.1,GO:0043229,intracellular organelle,cellular_component,0,,,,,2101,,0
5.1,GO:0043230,extracellular organelle,cellular_component,0,,,,,948,,0
5.1,GO:0043231,intracellular membrane-bounded organelle,cellular_component,0,,,,,1893,,0
5.1,GO:0043232,intracellular non-membrane-bounded organelle,cellular_component,1,INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE,176,631,272,597,567,0
5.1,GO:0043234,protein complex,cellular_component,1,PROTEIN_COMPLEX,204,816,436,1080,858,0
5.1,GO:0043412,macromolecule modification,biological_process,1,BIOPOLYMER_MODIFICATION,723,650,375,757,608,0
5.1,GO:0043933,macromolecular complex subunit organization,biological_process,0,,,,,604,,0
5.1,GO:0044237,cellular metabolic process,biological_process,0,,,,,1522,,0
5.1,GO:0044238,primary metabolic process,biological_process,0,,,,,1486,,0
5.1,GO:0044260,cellular macromolecule metabolic process,biological_process,1,CELLULAR_MACROMOLECULE_METABOLIC_PROCESS,934,1131,606,1174,1090,0
5.1,GO:0044267,cellular protein metabolic process,biological_process,1,CELLULAR_PROTEIN_METABOLIC_PROCESS,678,1117,599,758,743,0
5.1,GO:0044421,extracellular region part,cellular_component,1,EXTRACELLULAR_REGION_PART,107,338,148,1117,1039,0
5.1,GO:0044422,organelle part,cellular_component,1,ORGANELLE_PART,2,1197,549,1737,1324,0
5.1,GO:0044424,intracellular part,cellular_component,0,,,,,2929,,0
5.1,GO:0044425,membrane part,cellular_component,1,MEMBRANE_PART,49,1670,656,726,684,0
5.1,GO:0044428,nuclear part,cellular_component,1,NUCLEAR_PART,60,579,277,1149,926,0
5.1,GO:0044444,cytoplasmic part,cellular_component,1,CYTOPLASMIC_PART,41,1383,583,1389,970,0
5.1,GO:0044446,intracellular organelle part,cellular_component,1,INTRACELLULAR_ORGANELLE_PART,181,1192,548,1697,1297,0
5.1,GO:0044464,cell part,cellular_component,0,,,,,3252,,0
5.1,GO:0044699,single-organism process,biological_process,0,,,,,2406,,0
5.1,GO:0044710,single-organism metabolic process,biological_process,0,,,,,820,,0
5.1,GO:0044763,single-organism cellular process,biological_process,0,,,,,2043,,0
5.1,GO:0044765,single-organism transport,biological_process,0,,,,,536,,0
5.1,GO:0044767,single-organism developmental process,biological_process,0,,,,,864,,0
5.1,GO:0044822,poly(A) RNA binding,molecular_function,0,,,,,339,,0
5.1,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,1,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,406,154,117,748,639,0
5.1,GO:0048518,positive regulation of biological process,biological_process,1,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,824,709,521,1829,1412,0
5.1,GO:0048519,negative regulation of biological process,biological_process,1,NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS,962,677,453,1450,1165,0
5.1,GO:0048522,positive regulation of cellular process,biological_process,1,POSITIVE_REGULATION_OF_CELLULAR_PROCESS,940,668,493,1731,1352,0
5.1,GO:0048523,negative regulation of cellular process,biological_process,1,NEGATIVE_REGULATION_OF_CELLULAR_PROCESS,484,646,430,1378,1116,0
5.1,GO:0048583,regulation of response to stimulus,biological_process,1,REGULATION_OF_RESPONSE_TO_STIMULUS,727,59,48,1164,1124,0
5.1,GO:0048584,positive regulation of response to stimulus,biological_process,1,POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,265,41,36,702,672,0
5.1,GO:0050789,regulation of biological process,biological_process,0,,,,,2647,,0
5.1,GO:0050793,regulation of developmental process,biological_process,1,REGULATION_OF_DEVELOPMENTAL_PROCESS,491,440,344,698,772,0
5.1,GO:0050794,regulation of cellular process,biological_process,0,,,,,2534,,0
5.1,GO:0050896,response to stimulus,biological_process,0,,,,,1170,,0
5.1,GO:0051128,regulation of cellular component organization,biological_process,1,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,525,125,87,746,713,0
5.1,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,0,,,,,1159,,0
5.1,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,0,,,,,773,,0
5.1,GO:0051179,localization,biological_process,0,,,,,808,,0
5.1,GO:0051234,establishment of localization,biological_process,1,ESTABLISHMENT_OF_LOCALIZATION,299,870,412,668,588,0
5.1,GO:0051239,regulation of multicellular organismal process,biological_process,1,REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,975,151,103,845,812,0
5.1,GO:0051246,regulation of protein metabolic process,biological_process,1,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,472,173,130,882,818,0
5.1,GO:0051252,regulation of RNA metabolic process,biological_process,1,REGULATION_OF_RNA_METABOLIC_PROCESS,927,471,273,959,794,0
5.1,GO:0051254,positive regulation of RNA metabolic process,biological_process,1,POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS,414,120,94,653,565,0
5.1,GO:0051716,cellular response to stimulus,biological_process,1,CELLULAR_RESPONSE_TO_STIMULUS,698,19,15,762,749,0
5.1,GO:0060255,regulation of macromolecule metabolic process,biological_process,0,,,,,1635,,0
5.1,GO:0065007,biological regulation,biological_process,0,,,,,2793,,0
5.1,GO:0065008,regulation of biological quality,biological_process,1,REGULATION_OF_BIOLOGICAL_QUALITY,234,419,281,880,789,0
5.1,GO:0065009,regulation of molecular function,biological_process,1,REGULATION_OF_MOLECULAR_FUNCTION,342,324,220,794,686,0
5.1,GO:0070062,extracellular exosome,cellular_component,0,,,,,943,,0
5.1,GO:0071704,organic substance metabolic process,biological_process,0,,,,,1577,,0
5.1,GO:0071840,cellular component organization or biogenesis,biological_process,0,,,,,1227,,0
5.1,GO:0080090,regulation of primary metabolic process,biological_process,0,,,,,1626,,0
5.1,GO:0097159,organic cyclic compound binding,molecular_function,0,,,,,961,,0
5.1,GO:1901360,organic cyclic compound metabolic process,biological_process,0,,,,,542,,0
5.1,GO:1901363,heterocyclic compound binding,molecular_function,0,,,,,935,,0
5.1,GO:1902578,single-organism localization,biological_process,0,,,,,613,,0
5.1,GO:1902589,single-organism organelle organization,biological_process,0,,,,,556,,0
5.1,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,0,,,,,893,,0
5.1,GO:1903561,extracellular vesicle,cellular_component,0,,,,,948,,0
5.1,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,0,,,,,1017,,0
5.1,GO:2001141,regulation of RNA biosynthetic process,biological_process,0,,,,,900,,0
5.2,GO:0003674,molecular_function,molecular_function,0,,,,,2905,,0
5.2,GO:0003676,nucleic acid binding,molecular_function,0,,,,,749,,0
5.2,GO:0003723,RNA binding,molecular_function,1,GO_RNA_BINDING|RNA_BINDING,17983|18786,1598|259,465|90,395,70,0
5.2,GO:0003824,catalytic activity,molecular_function,0,,,,,1149,,0
5.2,GO:0005488,binding,molecular_function,0,,,,,2035,,0
5.2,GO:0005515,protein binding,molecular_function,0,,,,,1153,,0
5.2,GO:0005575,cellular_component,cellular_component,0,,,,,3612,,0
5.2,GO:0005634,nucleus,cellular_component,0,,,,,1208,,0
5.2,GO:0005654,nucleoplasm,cellular_component,0,,,,,692,,0
5.2,GO:0005737,cytoplasm,cellular_component,0,,,,,1307,,0
5.2,GO:0005886,plasma membrane,cellular_component,1,PLASMA_MEMBRANE,18175,1426,579,550,685,0
5.2,GO:0006355,"regulation of transcription, DNA-templated",biological_process,0,,,,,892,,0
5.2,GO:0006464,cellular protein modification process,biological_process,0,,,,,742,,0
5.2,GO:0006807,nitrogen compound metabolic process,biological_process,1,NITROGEN_COMPOUND_METABOLIC_PROCESS,18373,155,49,599,582,0
5.2,GO:0006810,transport,biological_process,0,,,,,610,,0
5.2,GO:0006950,response to stress,biological_process,1,RESPONSE_TO_STRESS,18417,508,335,658,599,0
5.2,GO:0006996,organelle organization,biological_process,1,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,18283,473,311,695,604,0
5.2,GO:0007165,signal transduction,biological_process,0,,,,,785,,0
5.2,GO:0008150,biological_process,biological_process,0,,,,,3696,,0
5.2,GO:0008152,metabolic process,biological_process,0,,,,,1657,,0
5.2,GO:0009889,regulation of biosynthetic process,biological_process,0,,,,,1124,,0
5.2,GO:0009891,positive regulation of biosynthetic process,biological_process,1,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,12777,1805,1031,774,265,0
5.2,GO:0009892,negative regulation of metabolic process,biological_process,0,,,,,819,,0
5.2,GO:0009893,positive regulation of metabolic process,biological_process,0,,,,,1207,,0
5.2,GO:0009966,regulation of signal transduction,biological_process,0,,,,,890,,0
5.2,GO:0009987,cellular process,biological_process,0,,,,,2816,,0
5.2,GO:0010468,regulation of gene expression,biological_process,0,,,,,1108,,0
5.2,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,0,,,,,1054,,0
5.2,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,0,,,,,721,,0
5.2,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,0,,,,,1132,,0
5.2,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,0,,,,,766,,0
5.2,GO:0010628,positive regulation of gene expression,biological_process,1,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,13030,1733,984,725,265,0
5.2,GO:0010646,regulation of cell communication,biological_process,0,,,,,977,,0
5.2,GO:0016020,membrane,cellular_component,1,MEMBRANE,18066,1994,809,1291,1150,0
5.2,GO:0016043,cellular component organization,biological_process,0,,,,,1225,,0
5.2,GO:0016740,transferase activity,molecular_function,0,,,,,582,,0
5.2,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,0,,,,,1103,,0
5.2,GO:0019222,regulation of metabolic process,biological_process,0,,,,,1741,,0
5.2,GO:0019538,protein metabolic process,biological_process,0,,,,,913,,0
5.2,GO:0023051,regulation of signaling,biological_process,0,,,,,957,,0
5.2,GO:0031323,regulation of cellular metabolic process,biological_process,0,,,,,1663,,0
5.2,GO:0031324,negative regulation of cellular metabolic process,biological_process,0,,,,,777,,0
5.2,GO:0031325,positive regulation of cellular metabolic process,biological_process,0,,,,,1155,,0
5.2,GO:0031326,regulation of cellular biosynthetic process,biological_process,0,,,,,1108,,0
5.2,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,0,,,,,761,,0
5.2,GO:0031399,regulation of protein modification process,biological_process,1,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS|REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,15481|18299,1710|44,951|37,624,341,0
5.2,GO:0031982,vesicle,cellular_component,1,VESICLE,18073,124,58,1042,1008,0
5.2,GO:0032268,regulation of cellular protein metabolic process,biological_process,1,REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,18653,162,120,819,803,0
5.2,GO:0032502,developmental process,biological_process,0,,,,,900,,0
5.2,GO:0032879,regulation of localization,biological_process,0,,,,,796,,0
5.2,GO:0032991,macromolecular complex,cellular_component,0,,,,,1253,,0
5.2,GO:0034641,cellular nitrogen compound metabolic process,biological_process,0,,,,,547,,0
5.2,GO:0036211,protein modification process,biological_process,0,,,,,742,,0
5.2,GO:0042221,response to chemical,biological_process,1,RESPONSE_TO_CHEMICAL_STIMULUS,18426,314,186,657,665,0
5.2,GO:0043170,macromolecule metabolic process,biological_process,0,,,,,1284,,0
5.2,GO:0043226,organelle,cellular_component,0,,,,,2603,,0
5.2,GO:0043227,membrane-bounded organelle,cellular_component,0,,,,,2437,,0
5.2,GO:0043228,non-membrane-bounded organelle,cellular_component,1,NON_MEMBRANE_BOUND_ORGANELLE,18071,631,272,597,567,0
5.2,GO:0043229,intracellular organelle,cellular_component,0,,,,,2101,,0
5.2,GO:0043230,extracellular organelle,cellular_component,0,,,,,948,,0
5.2,GO:0043231,intracellular membrane-bounded organelle,cellular_component,0,,,,,1893,,0
5.2,GO:0043232,intracellular non-membrane-bounded organelle,cellular_component,1,INTRACELLULAR_NON_MEMBRANE_BOUND_ORGANELLE,18145,631,272,597,567,0
5.2,GO:0043234,protein complex,cellular_component,0,,,,,1080,,0
5.2,GO:0043412,macromolecule modification,biological_process,0,,,,,757,,0
5.2,GO:0043933,macromolecular complex subunit organization,biological_process,0,,,,,604,,0
5.2,GO:0044237,cellular metabolic process,biological_process,0,,,,,1522,,0
5.2,GO:0044238,primary metabolic process,biological_process,0,,,,,1486,,0
5.2,GO:0044260,cellular macromolecule metabolic process,biological_process,0,,,,,1174,,0
5.2,GO:0044267,cellular protein metabolic process,biological_process,0,,,,,758,,0
5.2,GO:0044421,extracellular region part,cellular_component,1,EXTRACELLULAR_REGION_PART,18091,338,148,1117,1039,0
5.2,GO:0044422,organelle part,cellular_component,0,,,,,1737,,0
5.2,GO:0044424,intracellular part,cellular_component,0,,,,,2929,,0
5.2,GO:0044425,membrane part,cellular_component,1,MEMBRANE_PART,18059,1670,656,726,684,0
5.2,GO:0044428,nuclear part,cellular_component,0,,,,,1149,,0
5.2,GO:0044444,cytoplasmic part,cellular_component,0,,,,,1389,,0
5.2,GO:0044446,intracellular organelle part,cellular_component,0,,,,,1697,,0
5.2,GO:0044464,cell part,cellular_component,0,,,,,3252,,0
5.2,GO:0044699,single-organism process,biological_process,0,,,,,2406,,0
5.2,GO:0044710,single-organism metabolic process,biological_process,0,,,,,820,,0
5.2,GO:0044763,single-organism cellular process,biological_process,0,,,,,2043,,0
5.2,GO:0044765,single-organism transport,biological_process,0,,,,,536,,0
5.2,GO:0044767,single-organism developmental process,biological_process,0,,,,,864,,0
5.2,GO:0044822,poly(A) RNA binding,molecular_function,1,GO_POLY_A_RNA_BINDING,17813,1170,349,339,10,0
5.2,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,biological_process,0,,,,,748,,0
5.2,GO:0048518,positive regulation of biological process,biological_process,0,,,,,1829,,0
5.2,GO:0048519,negative regulation of biological process,biological_process,0,,,,,1450,,0
5.2,GO:0048522,positive regulation of cellular process,biological_process,0,,,,,1731,,0
5.2,GO:0048523,negative regulation of cellular process,biological_process,0,,,,,1378,,0
5.2,GO:0048583,regulation of response to stimulus,biological_process,1,REGULATION_OF_RESPONSE_TO_STIMULUS,18496,59,48,1164,1124,0
5.2,GO:0048584,positive regulation of response to stimulus,biological_process,1,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS|POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,12291|18202,1929|41,1112|36,702,418,0
5.2,GO:0050789,regulation of biological process,biological_process,0,,,,,2647,,0
5.2,GO:0050793,regulation of developmental process,biological_process,0,,,,,698,,0
5.2,GO:0050794,regulation of cellular process,biological_process,0,,,,,2534,,0
5.2,GO:0050896,response to stimulus,biological_process,0,,,,,1170,,0
5.2,GO:0051128,regulation of cellular component organization,biological_process,1,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,18365,125,87,746,713,0
5.2,GO:0051171,regulation of nitrogen compound metabolic process,biological_process,0,,,,,1159,,0
5.2,GO:0051173,positive regulation of nitrogen compound metabolic process,biological_process,0,,,,,773,,0
5.2,GO:0051179,localization,biological_process,0,,,,,808,,0
5.2,GO:0051234,establishment of localization,biological_process,0,,,,,668,,0
5.2,GO:0051239,regulation of multicellular organismal process,biological_process,1,REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,18650,151,103,845,812,0
5.2,GO:0051246,regulation of protein metabolic process,biological_process,1,REGULATION_OF_PROTEIN_METABOLIC_PROCESS,18329,173,130,882,818,0
5.2,GO:0051252,regulation of RNA metabolic process,biological_process,0,,,,,959,,0
5.2,GO:0051254,positive regulation of RNA metabolic process,biological_process,0,,,,,653,,0
5.2,GO:0051716,cellular response to stimulus,biological_process,0,,,,,762,,0
5.2,GO:0060255,regulation of macromolecule metabolic process,biological_process,0,,,,,1635,,0
5.2,GO:0065007,biological regulation,biological_process,0,,,,,2793,,0
5.2,GO:0065008,regulation of biological quality,biological_process,1,REGULATION_OF_BIOLOGICAL_QUALITY,18181,419,281,880,789,0
5.2,GO:0065009,regulation of molecular function,biological_process,0,,,,,794,,0
5.2,GO:0070062,extracellular exosome,cellular_component,0,,,,,943,,0
5.2,GO:0071704,organic substance metabolic process,biological_process,0,,,,,1577,,0
5.2,GO:0071840,cellular component organization or biogenesis,biological_process,0,,,,,1227,,0
5.2,GO:0080090,regulation of primary metabolic process,biological_process,0,,,,,1626,,0
5.2,GO:0097159,organic cyclic compound binding,molecular_function,0,,,,,961,,0
5.2,GO:1901360,organic cyclic compound metabolic process,biological_process,0,,,,,542,,0
5.2,GO:1901363,heterocyclic compound binding,molecular_function,0,,,,,935,,0
5.2,GO:1902578,single-organism localization,biological_process,0,,,,,613,,0
5.2,GO:1902589,single-organism organelle organization,biological_process,0,,,,,556,,0
5.2,GO:1903506,regulation of nucleic acid-templated transcription,biological_process,0,,,,,893,,0
5.2,GO:1903561,extracellular vesicle,cellular_component,0,,,,,948,,0
5.2,GO:2000112,regulation of cellular macromolecule biosynthetic process,biological_process,0,,,,,1017,,0
5.2,GO:2001141,regulation of RNA biosynthetic process,biological_process,0,,,,,900,,0
6.0,GO:0003674,molecular_function,molecular_function,0,,,,,2905,,0
6.0,GO:0003676,nucleic acid binding,molecular_function,0,,,,,749,,0
6.0,GO:0003723,RNA binding,molecular_function,1,GO_RNA_BINDING|RNA_BINDING,17735|18537,1598|259,465|90,395,70,0
6.0,GO:0003824,catalytic activity,molecular_function,0,,,,,1149,,0
6.0,GO:0005488,binding,molecular_function,0,,,,,2035,,0
6.0,GO:0005515,protein binding,molecular_function,0,,,,,1153,,0
6.0,GO:0005575,cellular_component,cellular_component,0,,,,,3612,,0
6.0,GO:0005634,nucleus,cellular_component,0,,,,,1208,,0
6.0,GO:0005654,nucleoplasm,cellular_component,0,,,,,692,,0
6.0,GO:0005737,cytoplasm,cellular_component,0,,,,,1307,,0
6.0,GO:0005886,plasma membrane,cellular_component,1,PLASMA_MEMBRANE,17926,1426,579,550,685,0
6.0,GO:0006355,"regulation of transcription, DNA-templated",biological_process,0,,,,,892,,0
6.0,GO:0006464,cellular protein modification process,biological_process,0,,,,,742,,0
6.0,GO:0006807,nitrogen compound metabolic process,biological_process,1,NITROGEN_COMPOUND_METABOLIC_PROCESS,18124,155,49,599,582,0
6.0,GO:0006810,transport,biological_process,0,,,,,610,,0
6.0,GO:0006950,response to stress,biological_process,1,RESPONSE_TO_STRESS,18168,508,335,658,599,0
6.0,GO:0006996,organelle organization,biological_process,1,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,18034,473,311,695,604,0
6.0,GO:0007165,signal transduction,biological_process,0,,,,,785,,0
6.0,GO:0008150,biological_process,biological_process,0,,,,,3696,,0
6.0,GO:0008152,metabolic process,biological_process,0,,,,,1657,,0
6.0,GO:0009889,regulation of biosynthetic process,biological_process,0,,,,,1124,,0
6.0,GO:0009891,positive regulation of biosynthetic process,biological_process,1,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,12721,1805,1031,774,265,0
6.0,GO:0009892,negative regulation of metabolic process,biological_process,0,,,,,819,,0
6.0,GO:0009893,positive regulation of metabolic process,biological_process,0,,,,,1207,,0
6.0,GO:0009966,regulation of signal transduction,biological_process,0,,,,,890,,0
6.0,GO:0009987,cellular process,biological_process,0,,,,,2816,,0
6.0,GO:0010468,regulation of gene expression,biological_process,0,,,,,1108,,0
6.0,GO:0010556,regulation of macromolecule biosynthetic process,biological_process,0,,,,,1054,,0
6.0,GO:0010557,positive regulation of macromolecule biosynthetic process,biological_process,0,,,,,721,,0
6.0,GO:0010604,positive regulation of macromolecule metabolic process,biological_process,0,,,,,1132,,0
6.0,GO:0010605,negative regulation of macromolecule metabolic process,biological_process,0,,,,,766,,0
6.0,GO:0010628,positive regulation of gene expression,biological_process,1,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,12968,1733,984,725,265,0
6.0,GO:0010646,regulation of cell communication,biological_process,0,,,,,977,,0
6.0,GO:0016020,membrane,cellular_component,1,MEMBRANE,17817,1994,809,1291,1150,0
6.0,GO:0016043,cellular component organization,biological_process,0,,,,,1225,,0
6.0,GO:0016740,transferase activity,molecular_function,0,,,,,582,,0
6.0,GO:0019219,regulation of nucleobase-containing compound metabolic process,biological_process,0,,,,,1103,,0
6.0,GO:0019222,regulation of metabolic process,biological_process,0,,,,,1741,,0
6.0,GO:0019538,protein metabolic process,biological_process,0,,,,,913,,0
6.0,GO:0023051,regulation of signaling,biological_process,0,,,,,957,,0
6.0,GO:0031323,regulation of cellular metabolic process,biological_process,0,,,,,1663,,0
6.0,GO:0031324,negative regulation of cellular metabolic process,biological_process,0,,,,,777,,0
6.0,GO:0031325,positive regulation of cellular metabolic process,biological_process,0,,,,,1155,,0
6.0,GO:0031326,regulation of cellular biosynthetic process,biological_process,0,,,,,1108,,0
6.0,GO:0031328,positive regulation of cellular biosynthetic process,biological_process,0,,,,,761,,0
6.0,GO:0031399,regulation of protein modification process,biological_process,1,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS|REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,15312|18050,1710|44,951|37,624,341,0
6.0,GO:0031982,vesicle,cellular_component,1,VESICLE,17824,124,58,1042,1008,0
6.0,GO:0032268,regulation of cellular protein metabolic process,biological_process,1,REGULATION_OF_CELLULAR_PROTEIN_METABOLIC_PROCESS,18404,162,120,819,803,0
6.0,GO:0032502,developmental process,biological_process,0,,,,,900,,0
6.0,GO:0032879,regulation of localization,biological_process,0,,,,,796,,0
6.0,GO:0032991,macromolecular complex,cellular_component,0,,,,,1253,,0
