sample	heldout	roleA	roleB	training	mean_wup	max_wup	row_overlap	unique_overlap	f1	role_min_f1
32	15|70|71|125	15|70	71|125	83|63|48|22|130|75|143|116|47|142|123|40|54|126|45|77|0|1|105|134	0.248213	0.666667	0.985554	0.962432	0.994268	0.991308
33	31|48|96|103	31|96	48|103	32|71|11|79|123|45|75|55|73|42|28|58|120|0|114|70|109|47|63|106	0.230954	0.727273	0.990099	0.97421	0.99578	0.995466
34	15|54|96|126	15|96	54|126	121|77|125|109|35|42|108|11|117|143|103|12|31|75|120|132|136|55|141|106	0.234917	0.5	0.975239	0.93867	0.990427	0.9872
35	15|47|54|96	15|47	54|96	107|141|120|109|55|83|48|127|82|81|0|117|136|116|134|40|7|1|77|32	0.240953	0.6	0.960851	0.908112	0.985159	0.981849
36	31|54|55|71	31|54	55|71	7|63|108|21|32|58|139|75|143|114|109|53|130|49|103|82|83|129|5|127	0.245372	0.666667	0.971175	0.927597	0.987544	0.985293
37	15|31|35|48	15|35	31|48	73|127|83|106|109|47|134|70|71|126|49|107|11|0|108|53|141|136|139|79	0.254195	0.727273	0.993945	0.983532	0.997995	0.997726
38	31|55|70|125	31|125	55|70	123|48|121|35|107|139|109|0|142|54|1|63|22|95|32|106|116|119|141|58	0.235792	0.615385	0.967213	0.915836	0.985142	0.977382
39	55|70|96|126	55|70	96|126	138|79|139|77|127|128|3|121|103|106|116|117|134|88|53|49|48|82|132|54	0.239106	0.666667	0.960396	0.903063	0.982619	0.978216
40	15|54|103|126	15|103	54|126	45|82|3|105|5|123|104|49|40|21|31|53|0|113|106|75|109|47|58|114	0.244562	0.533333	0.984526	0.957143	0.993628	0.992933
41	31|35|48|103	31|35	48|103	0|108|63|71|42|129|138|28|81|33|120|126|142|55|127|117|132|113|121|88	0.266983	0.75	0.984484	0.956617	0.99383	0.992938
42	15|55|71|125	15|55	71|125	82|12|48|40|139|126|32|109|70|142|79|108|75|96|129|11|83|113|47|132	0.254103	0.666667	0.987082	0.969027	0.994454	0.991085
43	35|54|55|103	35|103	54|55	77|136|42|58|123|107|31|75|12|105|142|0|40|117|49|134|63|81|28|132	0.240391	0.615385	0.969017	0.914325	0.987644	0.980926
44	15|47|109|110	15|109	47|110	58|120|103|127|32|125|126|54|132|28|116|53|83|33|1|63|31|108|79|142	0.252685	0.571429	0.967956	0.918869	0.987812	0.983371
45	48|70|71|109	48|70	71|109	63|54|4|47|79|83|12|116|95|82|110|107|128|121|114|77|138|126|22|11	0.261094	0.727273	0.989996	0.970588	0.996353	0.995472
46	35|71|109|110	35|71	109|110	33|141|108|47|63|96|73|88|79|4|48|128|104|113|3|77|123|7|58|95	0.267469	0.666667	0.990016	0.970755	0.996371	0.994654
47	55|70|103|126	55|70	103|126	31|32|15|42|127|40|123|4|104|121|12|114|119|138|53|108|134|125|63|0	0.245185	0.615385	0.958175	0.90095	0.981425	0.977503
48	15|47|70|96	15|47	70|96	138|132|116|11|55|83|134|77|109|33|128|113|28|45|21|3|117|7|22|104	0.236507	0.666667	0.948735	0.89098	0.980186	0.979197
49	15|35|71|125	15|35	71|125	123|58|32|114|79|108|83|81|11|110|33|117|55|70|63|138|105|119|3|49	0.267306	0.875	0.99413	0.983667	0.998031	0.997702
50	31|47|70|110	31|70	47|110	22|45|58|21|48|12|125|77|1|73|96|75|15|28|88|123|82|40|104|11	0.228094	0.6	0.95611	0.898592	0.983426	0.979955
51	31|35|48|96	31|48	35|96	108|110|53|54|5|120|113|95|136|79|123|129|132|58|83|126|130|3|77|139	0.260103	0.75	0.98561	0.960236	0.995083	0.994873
52	31|96|103|109	31|103	96|109	5|107|47|138|55|104|143|73|132|141|40|15|114|22|123|11|7|33|81|0	0.23421	0.6	0.980232	0.950657	0.992447	0.991329
53	54|71|109|110	54|71	109|110	82|121|5|139|119|47|0|136|143|12|48|22|32|125|128|120|77|28|129|134	0.26389	0.666667	0.976401	0.941893	0.990525	0.990061
54	35|96|103|126	35|103	96|126	32|70|21|54|127|75|123|11|53|129|58|22|33|107|71|109|136|119|77|143	0.238019	0.666667	0.982286	0.951156	0.992556	0.98869
55	31|71|109|110	31|71	109|110	7|33|32|28|49|81|141|138|54|21|83|107|79|139|103|132|123|48|143|108	0.252039	0.545455	0.982641	0.947999	0.99321	0.992284
56	47|55|71|103	47|71	55|103	79|82|95|73|35|63|11|4|88|77|123|70|31|7|129|0|105|53|107|126	0.24049	0.666667	0.973545	0.929941	0.991096	0.987522
57	15|31|70|110	15|70	31|110	77|113|32|121|104|58|107|105|141|108|83|45|120|96|40|128|47|42|79|5	0.247663	0.6	0.972823	0.934934	0.988853	0.988279
58	31|96|103|126	31|103	96|126	113|40|143|123|49|70|88|142|54|73|22|82|12|28|107|128|1|21|121|58	0.212147	0.6	0.976328	0.940722	0.989822	0.986927
59	15|54|55|126	15|126	54|55	143|121|119|40|138|125|105|81|49|22|114|12|139|104|132|5|117|88|82|71	0.247558	0.615385	0.944019	0.868875	0.9751	0.972863
60	15|55|71|125	15|125	55|71	70|42|28|82|48|107|49|127|45|96|130|12|40|81|54|5|138|103|139|114	0.253423	0.875	0.992366	0.981037	0.996864	0.995892
61	31|55|110|126	31|126	55|110	117|1|88|42|47|125|45|103|107|134|5|132|40|130|143|105|54|120|28|70	0.242427	0.615385	0.977818	0.940702	0.990442	0.98798
62	31|71|110|126	31|71	110|126	114|128|21|3|130|54|5|55|40|139|108|28|7|106|49|42|116|103|53|22	0.260519	0.666667	0.976463	0.941722	0.989979	0.985567
63	48|70|71|109	48|70	71|109	95|120|47|123|114|83|77|0|96|106|54|136|79|88|7|58|4|108|55|40	0.263272	0.727273	0.991604	0.977376	0.997153	0.996078
64	35|47|125|126	35|47	125|126	22|12|96|134|139|123|114|130|142|105|132|120|106|127|42|33|79|53|63|5	0.251164	0.8	0.957889	0.891427	0.982852	0.979837
65	15|54|71|125	15|125	54|71	28|103|95|1|32|126|21|77|58|123|132|108|106|81|55|139|40|127|129|114	0.244375	0.571429	0.972117	0.922771	0.989261	0.981834
66	35|54|103|110	35|54	103|110	15|120|109|32|88|127|113|47|42|75|40|4|58|12|128|114|132|107|31|53	0.255662	0.75	0.986428	0.961017	0.993635	0.993334
67	15|47|71|126	15|126	47|71	119|7|114|81|70|104|42|130|138|79|5|136|109|142|113|40|83|45|49|28	0.262541	0.8	0.96684	0.916711	0.986868	0.985597
68	15|48|54|125	15|48	54|125	28|96|116|119|141|107|49|63|110|0|81|127|71|88|4|5|126|136|58|55	0.271881	0.875	0.985014	0.959909	0.994531	0.992224
69	47|48|70|96	47|48	70|96	143|7|1|132|129|53|49|81|121|103|127|136|106|12|75|55|11|79|120|42	0.262276	0.8	0.941603	0.882046	0.97745	0.976993
70	47|70|110|126	47|70	110|126	106|114|1|77|45|4|32|117|132|103|48|130|107|49|128|58|138|7|54|3	0.242696	0.666667	0.956738	0.899331	0.981883	0.978338
71	48|55|103|125	48|55	103|125	77|126|143|95|138|88|15|79|53|107|31|128|40|123|1|33|21|119|108|7	0.240601	0.727273	0.981352	0.950588	0.992036	0.988897
72	55|71|96|109	55|71	96|109	33|40|15|142|116|81|1|47|113|127|139|134|88|42|73|22|53|3|117|79	0.241815	0.666667	0.981263	0.951254	0.992423	0.989356
73	55|70|109|110	55|70	109|110	136|12|121|130|105|119|49|48|88|31|106|11|1|139|132|142|75|107|79|42	0.269109	0.666667	0.954308	0.894047	0.980935	0.977034
74	35|71|125|126	35|126	71|125	58|54|129|110|117|63|128|70|103|22|83|96|114|81|11|73|141|119|77|48	0.256965	0.666667	0.992246	0.976139	0.997048	0.995148
75	35|96|125|126	35|96	125|126	48|0|95|129|49|105|138|42|32|55|104|139|73|136|107|141|110|109|88|3	0.241202	0.875	0.976141	0.932483	0.98986	0.987722
76	47|48|125|126	47|48	125|126	40|77|130|55|70|108|63|95|3|88|35|96|82|136|103|32|139|107|5|11	0.226979	0.666667	0.968652	0.923509	0.988806	0.986227
77	31|48|96|103	31|48	96|103	0|42|104|141|15|105|33|123|106|125|83|54|73|1|63|107|136|126|58|22	0.237454	0.666667	0.98778	0.967546	0.995602	0.994821
78	47|48|54|109	47|109	48|54	129|55|132|96|15|21|82|138|40|104|32|75|103|130|114|4|3|11|127|53	0.254094	0.727273	0.961992	0.916622	0.985619	0.981811
79	54|70|109|126	54|70	109|126	113|121|58|125|75|32|83|11|53|4|141|117|82|21|132|79|104|129|7|73	0.263562	0.666667	0.915241	0.859702	0.963804	0.962984
80	31|35|54|126	31|35	54|126	134|96|63|81|109|127|48|141|1|33|105|123|12|108|0|128|79|75|113|55	0.235746	0.615385	0.973851	0.934613	0.988366	0.983608
81	15|35|47|103	15|47	35|103	138|22|82|123|119|130|4|70|63|45|40|129|3|114|134|141|28|31|127|75	0.252397	0.666667	0.969928	0.916531	0.988894	0.982053
82	31|54|55|96	31|96	54|55	123|77|3|95|79|48|104|28|136|142|129|58|4|35|114|109|110|103|40|107	0.233711	0.666667	0.962884	0.906977	0.983624	0.978987
83	54|55|70|110	54|70	55|110	33|109|31|128|82|139|0|15|71|123|7|83|79|130|47|63|120|1|126|113	0.260468	0.571429	0.984382	0.961856	0.993042	0.990951
84	31|48|96|126	31|96	48|126	15|104|113|3|45|110|1|22|108|12|114|79|53|5|117|132|109|40|71|116	0.243854	0.727273	0.967943	0.920875	0.986185	0.98513
85	71|96|109|125	71|96	109|125	95|126|40|55|88|49|3|113|45|12|123|136|116|4|141|42|129|119|77|11	0.244749	0.875	0.96853	0.92439	0.987704	0.986049
86	15|31|35|55	15|31	35|55	5|22|42|54|47|58|95|125|32|1|114|119|81|75|49|105|116|123|126|106	0.232388	0.666667	0.988139	0.971898	0.994951	0.994779
87	35|47|96|109	35|47	96|109	71|138|126|129|95|114|21|134|128|49|123|79|107|48|105|3|104|116|42|63	0.241912	0.8	0.941872	0.879515	0.976105	0.975755
88	47|48|54|71	47|48	54|71	21|73|3|53|63|116|126|142|114|83|79|108|77|35|32|5|110|109|11|22	0.255717	0.727273	0.964459	0.914044	0.986956	0.984968
89	15|31|70|110	15|31	70|110	32|96|1|21|45|129|49|7|83|130|136|11|143|3|40|75|95|28|121|5	0.26309	0.6	0.961648	0.910081	0.984447	0.979908
90	103|109|110|125	103|110	109|125	31|138|53|88|108|47|5|113|32|81|73|71|0|42|143|114|15|4|48|134	0.240722	0.666667	0.989567	0.969244	0.995518	0.994
91	15|31|35|47	15|31	35|47	55|104|79|3|63|136|107|132|120|126|49|110|88|73|127|142|22|33|82|12	0.243966	0.75	0.963542	0.906545	0.986326	0.980396
92	15|35|70|71	15|35	70|71	83|88|7|141|5|31|47|119|128|110|53|121|49|105|103|142|114|120|130|134	0.26423	0.75	0.985788	0.962395	0.993846	0.991886
93	48|71|103|110	48|103	71|110	45|130|119|128|109|42|75|83|81|121|120|49|88|139|117|77|138|125|11|136	0.269022	0.666667	0.981995	0.947592	0.992369	0.992094
94	48|55|103|110	48|55	103|110	141|105|28|117|109|113|5|128|106|143|15|11|130|119|22|75|134|123|1|7	0.246381	0.666667	0.973589	0.927536	0.988815	0.98778
95	48|55|103|126	48|55	103|126	129|63|119|127|116|0|47|138|143|5|54|117|32|125|82|136|73|31|114|121	0.249715	0.727273	0.983488	0.951631	0.99266	0.991255
96	15|70|96|110	15|70	96|110	82|123|0|12|104|126|79|143|42|121|130|71|49|113|35|107|73|127|88|40	0.251456	0.444444	0.956925	0.899588	0.982966	0.98239
97	15|31|47|126	15|47	31|126	81|83|35|105|119|106|110|127|22|120|139|53|63|40|4|0|109|107|32|1	0.244233	0.615385	0.941733	0.87073	0.975657	0.973274
98	31|47|71|109	31|109	47|71	1|110|73|128|40|139|142|15|12|32|107|130|63|77|136|22|54|117|48|96	0.248095	0.666667	0.976125	0.932654	0.990561	0.986948
99	35|55|71|96	35|55	71|96	129|106|77|5|138|105|123|0|134|40|3|126|88|1|21|103|70|79|108|110	0.254375	0.666667	0.981471	0.952339	0.992862	0.992272
100	15|31|35|48	15|31	35|48	63|123|40|134|83|107|116|75|54|5|32|119|109|47|55|42|104|120|143|79	0.26011	0.75	0.992526	0.979872	0.997116	0.996264
101	54|96|109|126	54|96	109|126	70|119|107|55|132|49|22|121|11|127|28|104|110|95|4|71|125|138|7|88	0.248093	0.666667	0.964721	0.916944	0.985257	0.98443
102	35|48|55|110	35|48	55|110	107|45|109|5|143|121|31|125|4|108|73|47|83|134|75|53|136|117|63|95	0.263196	0.75	0.985333	0.957434	0.99376	0.988722
103	31|55|110|126	31|110	55|126	143|127|81|114|139|7|83|33|0|88|54|71|82|132|130|15|125|113|117|103	0.244956	0.615385	0.976636	0.939866	0.990589	0.990201
104	35|55|70|110	35|70	55|110	139|116|103|125|45|31|11|127|126|113|15|5|129|109|77|53|138|42|54|28	0.252088	0.666667	0.980452	0.951368	0.991479	0.987837
105	15|55|70|103	15|103	55|70	48|5|79|3|134|28|104|54|121|120|32|21|11|75|109|35|12|22|58|139	0.251695	0.666667	0.966896	0.921045	0.986065	0.981371
106	15|48|54|109	15|48	54|109	0|31|5|113|126|139|106|63|58|4|96|134|127|129|33|107|114|71|121|49	0.27725	0.727273	0.980075	0.949043	0.991788	0.989439
107	15|31|54|71	15|71	31|54	81|126|96|109|0|53|63|32|73|12|70|119|117|103|134|132|1|49|79|5	0.253716	0.5	0.989032	0.969861	0.995702	0.994815
108	55|70|109|125	55|70	109|125	33|45|0|121|132|105|110|47|1|126|58|108|4|128|48|106|113|12|138|96	0.256007	0.666667	0.986435	0.963035	0.993934	0.989565
109	35|70|109|126	35|126	70|109	33|103|106|7|129|128|108|141|127|125|22|81|32|58|117|12|0|31|11|5	0.246707	0.666667	0.965648	0.91525	0.98672	0.98343
110	15|47|70|96	15|47	70|96	136|121|83|104|21|142|53|28|88|143|73|4|45|139|126|32|125|127|103|1	0.224811	0.6	0.932805	0.864314	0.973034	0.972669
111	35|47|55|103	35|47	55|103	75|32|40|113|139|107|79|120|126|132|109|33|81|106|83|11|123|53|104|22	0.247806	0.75	0.971436	0.92122	0.989245	0.984806
112	48|70|96|110	48|96	70|110	104|139|134|77|88|128|33|130|143|15|132|21|95|55|32|116|4|127|31|109	0.247415	0.727273	0.969091	0.921986	0.987986	0.985641
113	31|54|70|109	31|54	70|109	79|117|3|75|119|130|49|81|48|139|143|107|103|142|96|123|141|5|0|121	0.264281	0.545455	0.9677	0.928969	0.986259	0.985751
114	55|103|125|126	55|103	125|126	42|141|33|130|138|139|32|142|95|31|121|108|109|48|4|40|96|114|83|45	0.244631	0.666667	0.97575	0.931005	0.988942	0.984623
115	35|48|70|103	35|70	48|103	82|110|138|123|77|53|129|120|12|128|40|105|71|54|141|33|119|79|15|143	0.261814	0.75	0.981886	0.951057	0.992633	0.991858
116	54|70|109|126	54|109	70|126	53|1|83|141|119|134|33|108|55|15|48|21|88|129|71|4|49|47|132|35	0.262119	0.666667	0.972473	0.937042	0.987974	0.986874
117	35|47|54|126	35|126	47|54	127|141|33|128|73|3|143|42|71|45|53|136|138|75|120|130|96|12|58|105	0.240983	0.8	0.950579	0.880671	0.980028	0.974424
118	47|70|71|103	47|71	70|103	73|123|142|121|96|132|108|12|117|55|127|129|105|7|83|22|119|45|126|130	0.252623	0.666667	0.969329	0.925053	0.989206	0.986146
119	35|55|71|125	35|55	71|125	129|11|32|136|54|48|103|21|63|110|123|119|73|88|105|128|75|53|3|12	0.252529	0.666667	0.990349	0.973913	0.996143	0.994849
120	47|55|70|126	47|126	55|70	139|83|81|128|127|88|142|119|123|1|106|117|31|54|95|104|77|113|22|35	0.233047	0.666667	0.957173	0.898396	0.983358	0.978755
121	48|55|109|125	48|109	55|125	127|142|77|81|79|123|15|132|119|138|53|143|42|12|58|134|49|141|11|35	0.275753	0.875	0.970564	0.915044	0.988073	0.980174
122	15|70|71|110	15|71	70|110	22|7|113|63|107|11|127|54|82|28|116|4|141|55|117|128|1|58|129|106	0.285976	0.571429	0.983923	0.95897	0.994203	0.991768
123	35|70|110|126	35|70	110|126	0|127|4|12|128|81|1|5|32|114|28|63|53|106|48|82|107|139|119|15	0.258065	0.615385	0.951423	0.883938	0.97901	0.978477
124	35|71|96|103	35|103	71|96	108|142|73|81|77|33|70|31|106|125|121|138|1|82|48|11|143|107|79|7	0.247067	0.75	0.988855	0.966407	0.995895	0.993623
125	47|48|103|125	47|103	48|125	15|31|32|3|35|128|141|114|75|109|70|105|45|1|5|136|42|81|117|96	0.222452	0.8	0.981154	0.950192	0.993619	0.989966
126	15|35|48|125	15|48	35|125	53|33|117|107|22|81|42|75|103|104|54|55|113|132|88|45|141|32|106|63	0.257577	0.666667	0.992355	0.980879	0.99759	0.996774
127	35|54|55|96	35|96	54|55	143|12|73|70|48|79|141|28|113|120|22|71|63|83|15|47|121|3|0|116	0.265437	0.75	0.985906	0.961071	0.994055	0.991869
128	35|47|110|125	35|125	47|110	33|104|0|55|103|28|128|113|119|53|141|77|22|73|3|121|63|12|96|40	0.250439	0.75	0.964871	0.907902	0.986687	0.977263
129	15|70|110|125	15|70	110|125	123|108|5|119|106|33|82|136|134|22|130|31|40|143|75|104|117|35|71|54	0.263073	0.666667	0.97324	0.935673	0.98935	0.9877
130	31|55|125|126	31|126	55|125	75|130|82|58|139|11|123|106|0|33|53|81|142|88|22|143|136|45|141|54	0.225471	0.666667	0.973093	0.932137	0.989112	0.983967
131	35|70|103|126	35|126	70|103	22|110|7|106|77|71|130|143|134|142|12|123|95|42|136|32|0|31|113|15	0.249822	0.666667	0.952389	0.899915	0.981062	0.979478
132	70|96|109|126	70|96	109|126	0|128|141|119|22|7|104|1|71|42|73|110|4|125|11|79|81|142|53|95	0.237745	0.666667	0.915064	0.855853	0.960941	0.958989
133	47|55|103|126	47|103	55|126	107|134|33|7|139|121|1|70|130|21|123|95|119|3|48|82|96|114|106|113	0.239669	0.666667	0.967723	0.916279	0.986421	0.985682
134	15|47|70|109	15|70	47|109	45|138|4|73|103|126|21|3|123|88|114|125|79|58|127|35|139|142|0|82	0.235464	0.666667	0.93801	0.87441	0.976147	0.971373
135	15|31|48|96	15|96	31|48	55|54|106|71|83|134|21|132|138|63|42|110|77|75|105|114|141|143|7|136	0.22865	0.615385	0.985288	0.959271	0.994644	0.994341
136	55|96|110|125	55|125	96|110	106|28|33|3|53|63|95|104|42|12|127|141|54|81|32|47|139|136|77|134	0.233387	0.666667	0.986176	0.961162	0.994645	0.993814
137	70|96|109|126	70|96	109|126	55|7|88|35|139|11|114|106|132|129|103|75|134|3|22|5|31|47|108|120	0.257584	0.666667	0.978316	0.951586	0.991495	0.990488
138	35|54|70|110	35|54	70|110	108|121|55|63|48|109|79|143|77|3|96|138|103|49|119|130|21|114|31|0	0.277941	0.75	0.981352	0.951807	0.99188	0.990045
139	31|71|109|126	31|109	71|126	0|134|1|48|88|119|55|141|127|123|143|82|35|117|32|7|103|114|81|12	0.251285	0.666667	0.964584	0.913923	0.985183	0.981932
140	47|55|96|110	47|110	55|96	77|12|132|40|5|31|113|4|22|75|128|63|49|71|141|88|45|121|123|95	0.233483	0.615385	0.927	0.84295	0.970355	0.96545
141	54|103|125|126	54|103	125|126	119|5|22|48|114|123|83|121|108|15|82|1|21|136|134|0|40|58|33|88	0.250305	0.666667	0.942981	0.882647	0.974343	0.966777
142	31|54|55|70	31|70	54|55	5|139|33|49|75|40|127|48|141|103|104|58|95|142|63|12|132|47|125|81	0.230661	0.666667	0.974039	0.935649	0.988913	0.988649
143	31|35|71|110	31|110	35|71	73|79|45|3|123|132|5|53|103|95|11|141|134|42|136|138|55|7|121|128	0.254461	0.75	0.976833	0.931715	0.990387	0.984456
144	47|54|96|125	47|96	54|125	117|126|75|73|48|109|116|113|88|0|22|45|32|70|139|3|82|130|55|31	0.231427	0.615385	0.979512	0.947452	0.992881	0.989319
145	103|110|125|126	103|125	110|126	32|58|0|77|71|79|55|114|88|4|132|45|104|48|54|70|116|35|81|136	0.243863	0.727273	0.981805	0.952242	0.992115	0.987879
146	31|35|55|71	31|35	55|71	28|143|136|45|103|33|117|4|81|63|119|32|132|128|105|110|107|114|116|3	0.249155	0.545455	0.977449	0.93501	0.990611	0.990425
147	35|48|55|103	35|48	55|103	139|28|88|21|143|12|128|53|7|141|45|75|104|71|81|77|73|42|83|108	0.236773	0.666667	0.973709	0.921964	0.988631	0.983214
148	15|47|109|126	15|47	109|126	73|54|125|79|83|28|123|42|141|4|35|55|33|7|75|121|11|70|45|82	0.251864	0.8	0.974159	0.930483	0.989334	0.988853
149	55|71|96|109	55|71	96|109	129|0|138|5|21|83|75|40|139|141|117|4|70|15|7|3|95|142|125|22	0.241102	0.666667	0.976078	0.936431	0.990201	0.988977
150	55|96|109|126	55|96	109|126	54|82|79|4|22|108|119|125|21|110|15|48|103|130|106|31|33|107|3|123	0.243536	0.666667	0.98067	0.943842	0.991593	0.991095
151	15|71|96|125	15|96	71|125	12|31|123|54|109|108|141|116|105|73|110|121|132|126|136|7|129|70|95|21	0.245719	0.666667	0.990497	0.973404	0.996957	0.99663
152	48|70|103|110	48|103	70|110	136|130|28|63|15|106|129|125|77|11|120|40|4|54|31|55|0|71|117|109	0.268824	0.666667	0.986945	0.964844	0.994982	0.993169
153	47|55|96|125	47|125	55|96	12|107|75|49|139|141|110|136|79|45|104|42|129|103|105|5|54|114|106|63	0.222406	0.875	0.968779	0.919489	0.987515	0.987372
154	31|54|96|103	31|54	96|103	121|0|33|136|114|71|70|49|45|134|82|81|141|142|48|107|1|21|88|47	0.229295	0.6	0.98452	0.961386	0.993779	0.993711
155	54|55|109|125	54|109	55|125	53|33|88|49|128|121|58|104|107|95|1|83|28|110|0|48|127|113|3|143	0.254579	0.875	0.92246	0.838764	0.9661	0.948428
156	47|54|96|103	47|103	54|96	75|1|105|0|81|113|83|55|71|77|127|53|139|106|104|42|28|130|33|49	0.232827	0.8	0.908103	0.84599	0.959568	0.959425
157	47|70|71|125	47|70	71|125	142|141|31|79|113|11|81|3|120|107|33|143|82|32|96|114|134|103|138|73	0.230538	0.666667	0.965645	0.915873	0.987284	0.980746
