sample	heldout	roleA	roleB	training	mean_wup	max_wup	row_overlap	unique_overlap	f1	role_min_f1
24	35|70|71|103	35|70	71|103	0|32|123|40|143|106|45|12|119|75|63|108|42|3|11|82|96|110|54|31	0.255908	0.333333	0.989869	0.969776	0.995707	0.995122
25	15|35|54|55	15|35	54|55	1|123|53|116|143|142|113|45|139|119|75|104|3|71|42|82|109|110|96|70	0.257582	0.333333	0.986566	0.966685	0.994157	0.992121
26	55|71|96|103	55|96	71|103	32|40|53|28|58|4|136|143|107|63|49|132|3|42|21|35|125|15|47|109	0.219614	0.333333	0.980195	0.948466	0.991177	0.988389
27	47|48|70|96	47|48	70|96	138|128|28|83|143|113|141|4|139|107|104|63|3|82|71|11|15|103|54|55	0.225323	0.333333	0.966527	0.916754	0.987728	0.983426
28	15|47|48|109	15|47	48|109	114|95|32|83|4|143|106|12|104|119|7|108|81|71|129|11|55|110|70|96	0.234625	0.333333	0.973954	0.934649	0.990906	0.989026
29	15|55|70|103	15|55	70|103	0|1|123|53|130|58|142|4|121|22|119|107|82|127|21|120|125|54|31|96	0.237281	0.333333	0.970565	0.933408	0.987574	0.983236
30	31|47|96|125	31|47	96|125	28|138|116|95|5|141|142|130|107|139|104|7|11|82|3|71|109|15|54|110	0.205132	0.25	0.972178	0.929218	0.989637	0.984607
31	35|55|110|126	35|55	110|126	40|28|32|1|130|4|106|45|119|75|107|132|71|42|129|3|47|70|109|96	0.245025	0.333333	0.979735	0.943179	0.991026	0.989609
32	31|54|55|103	31|55	54|103	0|123|28|53|113|136|58|45|63|49|132|22|35|79|129|3|48|110|47|15	0.227362	0.333333	0.972063	0.932466	0.987293	0.987099
33	15|55|70|71	15|55	70|71	105|138|53|83|141|77|45|113|139|107|63|75|42|127|82|129|47|48|103|125	0.238269	0.333333	0.96879	0.934154	0.986032	0.982952
34	31|54|96|125	31|96	54|125	128|114|95|32|141|136|113|45|73|104|108|107|42|81|82|71|70|15|103|109	0.216409	0.333333	0.985297	0.960224	0.99501	0.994742
35	47|71|109|126	47|71	109|126	1|40|53|0|143|4|45|136|107|75|121|132|117|127|35|81|110|15|31|48	0.242687	0.333333	0.947814	0.877681	0.979452	0.977662
36	54|70|125|126	54|125	70|126	53|1|32|0|106|12|136|141|119|75|108|88|81|82|3|129|15|110|96|55	0.232311	0.333333	0.970304	0.927361	0.988319	0.984436
37	54|70|109|110	54|70	109|110	114|123|40|1|12|58|130|136|75|121|22|49|117|33|11|120|55|31|103|96	0.248384	0.333333	0.967625	0.928552	0.987271	0.985306
38	31|47|96|110	31|47	96|110	32|83|128|0|77|12|45|130|121|107|7|88|21|33|120|81|48|55|125|54	0.214883	0.333333	0.957922	0.895817	0.983099	0.97858
39	31|48|55|103	31|48	55|103	123|128|32|1|4|113|141|130|107|63|7|75|82|42|71|3|70|110|96|109	0.219518	0.25	0.985094	0.959584	0.993337	0.992483
40	55|71|96|109	55|71	96|109	114|116|105|53|4|58|143|136|63|132|119|139|79|35|3|21|110|48|15|126	0.232962	0.333333	0.95916	0.904219	0.982876	0.978026
41	35|70|103|109	35|70	103|109	123|40|0|53|141|12|45|4|88|119|107|63|11|81|129|3|31|96|15|47	0.246209	0.333333	0.989746	0.970868	0.99565	0.995157
42	15|47|110|126	15|47	110|126	32|40|128|123|130|113|106|5|73|88|7|75|129|71|79|33|31|70|96|55	0.232932	0.333333	0.96581	0.917837	0.986149	0.985724
43	15|109|110|125	15|109	110|125	116|83|0|105|12|143|106|45|73|7|139|75|71|3|129|42|54|103|70|47	0.237437	0.333333	0.991941	0.977174	0.996281	0.994692
44	31|35|103|109	31|35	103|109	1|53|128|28|4|142|141|136|108|88|75|107|3|42|11|71|47|70|96|55	0.230594	0.333333	0.990189	0.973366	0.995543	0.995371
45	15|55|70|103	15|55	70|103	32|0|1|123|143|141|77|130|119|7|107|121|127|21|71|3|96|47|31|110	0.242151	0.333333	0.982732	0.960101	0.991707	0.990156
46	31|55|110|126	31|55	110|126	128|28|32|123|106|58|4|136|132|121|107|22|127|120|82|129|96|48|47|70	0.223683	0.333333	0.975	0.934577	0.989349	0.98899
47	47|70|96|109	47|70	96|109	28|128|0|53|134|4|45|12|104|73|75|121|11|79|117|127|125|55|103|31	0.220461	0.333333	0.939384	0.882817	0.976968	0.97193
48	15|47|55|126	15|126	47|55	1|0|128|53|45|58|130|77|22|63|75|49|3|129|33|79|125|110|70|31	0.212276	0.333333	0.954634	0.893154	0.981967	0.976625
49	31|54|55|126	31|55	54|126	53|32|123|128|106|58|113|141|22|121|7|49|129|42|3|71|96|48|110|109	0.22129	0.333333	0.970115	0.927827	0.985807	0.98537
50	31|47|109|110	31|109	47|110	105|1|32|123|45|5|106|130|73|88|132|139|21|117|81|79|48|103|54|70	0.237747	0.333333	0.975238	0.932275	0.990277	0.98486
51	35|54|71|110	35|54	71|110	138|95|0|83|106|136|45|134|75|119|108|73|82|81|3|129|55|96|15|47	0.265221	0.333333	0.987535	0.963791	0.994694	0.994182
52	15|47|48|126	15|126	47|48	123|128|1|40|45|113|4|12|7|75|119|107|3|11|82|81|55|110|70|96	0.228147	0.333333	0.966446	0.916819	0.987231	0.985385
53	35|55|109|110	35|109	55|110	128|123|116|28|136|5|143|4|107|132|119|104|42|3|129|71|15|47|31|54	0.255598	0.333333	0.984007	0.958739	0.992515	0.988269
54	15|35|70|109	15|35	70|109	1|32|53|116|106|136|130|134|88|104|73|107|129|42|81|71|31|55|47|103	0.252839	0.333333	0.98311	0.958511	0.993567	0.990381
55	47|71|96|109	47|71	96|109	40|114|83|138|12|77|58|141|108|132|22|119|35|79|117|127|70|103|48|54	0.224863	0.333333	0.974996	0.933745	0.99012	0.985345
56	15|47|48|126	15|126	47|48	0|1|123|32|130|136|143|12|63|107|119|132|71|82|129|11|70|31|109|96	0.237016	0.333333	0.966446	0.916558	0.988257	0.985418
57	47|71|96|110	47|71	96|110	116|0|32|105|4|106|5|58|73|121|139|119|21|11|35|127|103|54|15|125	0.233179	0.333333	0.970701	0.925532	0.989233	0.986651
58	15|96|125|126	15|125	96|126	32|0|40|128|143|45|4|141|119|75|7|88|81|71|3|42|70|109|110|55	0.213951	0.333333	0.981284	0.946188	0.992506	0.988302
59	15|48|70|126	15|48	70|126	128|53|123|0|141|5|142|4|73|107|119|75|3|82|71|11|54|109|110|31	0.250441	0.333333	0.979548	0.941032	0.992238	0.98937
60	48|54|55|71	48|54	55|71	1|95|138|123|113|136|141|142|139|107|104|132|42|3|82|129|70|103|126|47	0.239648	0.333333	0.980072	0.948647	0.991911	0.988674
61	31|47|70|96	31|47	70|96	105|114|83|128|58|136|141|77|75|73|139|88|33|79|120|3|109|55|48|54	0.205123	0.333333	0.964357	0.914637	0.98655	0.983673
62	55|71|125|126	55|126	71|125	32|123|28|1|113|143|136|45|107|63|132|119|42|129|82|3|110|15|96|54	0.225989	0.333333	0.979176	0.942137	0.990689	0.985248
63	15|48|71|110	15|48	71|110	1|95|105|32|4|143|106|5|104|132|139|73|3|82|81|11|47|96|31|109	0.247692	0.333333	0.989521	0.969426	0.996106	0.995285
64	55|71|109|126	55|71	109|126	53|1|123|32|45|5|143|58|132|75|107|119|3|33|129|21|15|48|96|31	0.237615	0.333333	0.971309	0.921919	0.987351	0.987321
65	15|31|48|71	15|31	48|71	95|32|83|116|106|4|113|45|73|104|107|75|11|129|3|42|55|110|96|109	0.243892	0.333333	0.985409	0.96155	0.994449	0.993133
66	35|70|96|109	35|70	96|109	128|40|116|53|136|130|143|45|63|119|108|73|11|71|42|3|31|55|103|15	0.251869	0.333333	0.963719	0.923316	0.985565	0.982723
67	15|48|71|126	15|48	71|126	53|0|32|1|4|141|143|106|75|132|73|88|11|42|81|3|55|70|110|96	0.23878	0.333333	0.983469	0.953271	0.993656	0.990698
68	35|109|110|126	35|109	110|126	128|28|40|0|45|4|12|130|7|119|132|88|71|129|42|81|47|31|15|55	0.244552	0.333333	0.976647	0.940843	0.990388	0.987529
69	47|96|110|126	47|96	110|126	128|0|40|28|130|136|143|5|119|73|107|108|21|117|127|120|109|54|15|125	0.227971	0.333333	0.956871	0.895963	0.982792	0.982702
70	31|35|47|109	31|35	47|109	32|28|128|83|141|142|45|5|73|132|63|139|81|71|11|3|55|54|103|126	0.228014	0.333333	0.977922	0.93718	0.992093	0.988216
71	47|48|70|110	47|70	48|110	116|40|1|28|106|143|130|136|88|104|75|108|82|81|71|129|15|103|54|126	0.245563	0.333333	0.967864	0.924857	0.989399	0.987161
72	15|31|110|126	15|31	110|126	32|1|123|0|106|5|12|45|108|107|49|73|42|129|71|82|55|125|109|48	0.237308	0.333333	0.969636	0.927024	0.987571	0.984533
73	48|54|109|126	48|54	109|126	0|32|128|123|45|12|136|106|7|108|132|63|129|81|71|3|96|15|70|110	0.251162	0.333333	0.974573	0.93409	0.989709	0.987922
74	15|31|47|70	15|31	47|70	53|0|95|116|142|134|106|77|7|75|73|88|81|79|11|129|109|125|126|110	0.227249	0.333333	0.97156	0.930239	0.98953	0.983983
75	15|71|96|103	15|96	71|103	32|0|53|40|143|45|5|77|63|132|73|75|79|42|3|120|48|31|55|70	0.234196	0.333333	0.987262	0.963128	0.994991	0.993833
76	48|70|96|126	48|96	70|126	0|40|28|128|45|143|4|136|107|73|108|7|42|11|81|82|15|55|31|47	0.223065	0.333333	0.9764	0.942849	0.991323	0.989905
77	31|48|103|109	31|48	103|109	123|1|28|53|106|130|12|141|63|75|7|73|129|81|11|3|47|70|96|55	0.221465	0.333333	0.989283	0.970649	0.995451	0.995402
78	15|31|48|103	15|103	31|48	128|123|32|0|113|12|142|141|107|88|108|75|82|42|71|3|55|70|54|110	0.234317	0.333333	0.988149	0.968202	0.995039	0.993734
79	47|96|109|126	47|96	109|126	53|128|28|0|106|143|77|12|75|119|108|121|117|33|127|21|54|55|15|48	0.2175	0.333333	0.965316	0.911362	0.985622	0.983114
80	31|48|54|55	31|48	54|55	1|105|0|28|142|106|141|130|63|7|139|107|3|129|82|42|70|110|15|96	0.238048	0.333333	0.983383	0.954435	0.993298	0.992359
81	31|96|109|110	31|109	96|110	114|28|138|105|106|58|45|134|75|108|22|139|79|42|71|11|103|48|54|126	0.225026	0.333333	0.985687	0.959887	0.994672	0.992788
82	15|31|48|70	15|31	48|70	114|53|1|0|12|142|141|4|139|104|88|7|82|129|42|81|47|109|126|110	0.226947	0.333333	0.987365	0.966125	0.995597	0.994523
83	31|54|109|126	31|54	109|126	0|1|32|28|12|136|45|130|22|108|132|107|81|35|33|120|55|70|15|47	0.246551	0.333333	0.978967	0.948468	0.991117	0.990604
84	54|70|71|126	54|70	71|126	123|32|0|53|58|77|12|113|119|108|22|49|129|81|117|120|96|55|125|15	0.243718	0.333333	0.961974	0.906512	0.984259	0.982085
85	31|71|96|109	31|71	96|109	114|116|28|105|142|106|134|77|121|88|75|22|33|35|127|21|47|15|70|48	0.224925	0.333333	0.986211	0.963092	0.994312	0.993924
86	47|54|55|71	47|54	55|71	95|138|116|53|142|45|141|143|75|49|104|139|79|120|82|33|70|48|15|109	0.22804	0.333333	0.971201	0.925984	0.988791	0.986927
87	47|54|55|126	47|55	54|126	32|128|0|1|77|45|136|142|7|107|63|132|71|33|120|35|125|70|31|96	0.220711	0.333333	0.961694	0.903578	0.984507	0.980871
88	54|70|71|96	54|70	71|96	28|53|83|32|134|143|141|113|88|108|22|104|120|127|82|3|55|110|109|126	0.2529	0.333333	0.978226	0.949628	0.991449	0.989556
89	96|110|125|126	96|126	110|125	0|40|28|128|106|5|143|113|88|75|107|108|81|71|3|82|31|70|109|15	0.221515	0.333333	0.977356	0.93653	0.991041	0.989772
90	35|47|96|103	35|103	47|96	40|53|28|32|45|106|4|136|88|119|132|108|82|3|11|71|15|31|110|55	0.227258	0.285714	0.957802	0.899865	0.982976	0.972956
91	31|96|103|125	31|103	96|125	128|28|0|32|130|4|45|106|73|132|7|108|42|82|81|11|47|109|15|110	0.203248	0.25	0.986597	0.965992	0.995243	0.994319
92	48|54|96|110	48|54	96|110	105|114|32|83|113|143|130|45|88|107|75|108|81|82|71|42|47|70|55|15	0.24697	0.333333	0.982444	0.954508	0.993323	0.993294
93	48|55|109|110	48|109	55|110	83|128|116|40|136|134|45|143|104|7|75|139|129|42|71|3|70|103|126|47	0.22693	0.333333	0.982815	0.95379	0.992829	0.989902
94	54|71|109|126	54|71	109|126	28|53|1|0|136|141|77|142|132|22|108|75|3|129|35|120|96|125|55|110	0.254416	0.333333	0.964694	0.918436	0.985371	0.982909
95	47|55|70|125	47|55	70|125	123|114|32|138|4|5|136|143|119|107|104|139|71|82|129|3|96|110|31|15	0.215094	0.333333	0.966538	0.917291	0.986724	0.98192
96	15|55|109|110	15|55	109|110	123|138|40|128|130|4|134|58|139|7|121|132|35|129|120|42|70|54|126|31	0.247016	0.333333	0.981088	0.952968	0.991762	0.990088
97	15|48|55|96	15|48	55|96	138|0|116|128|134|141|142|4|139|7|132|107|71|82|3|42|109|54|47|70	0.23125	0.333333	0.985236	0.962334	0.993487	0.991532
98	31|71|103|110	31|71	103|110	123|28|1|32|136|106|77|5|75|121|49|132|120|11|33|21|109|54|70|125	0.235567	0.333333	0.980898	0.94802	0.992269	0.991625
99	15|47|96|126	15|126	47|96	32|53|128|40|45|106|142|130|22|119|7|49|21|120|117|11|70|109|48|110	0.225013	0.333333	0.962647	0.914822	0.984952	0.983923
100	55|71|96|126	55|96	71|126	53|0|40|32|58|143|141|5|63|75|107|121|117|3|127|82|31|70|48|54	0.226406	0.333333	0.970233	0.925905	0.987331	0.985781
101	31|47|71|96	31|47	71|96	105|114|53|0|134|12|5|45|73|22|63|132|79|81|82|3|109|55|126|125	0.215301	0.333333	0.967803	0.917827	0.988642	0.984734
102	15|31|125|126	15|125	31|126	123|0|1|128|4|106|130|141|132|108|63|7|71|42|129|11|47|109|110|55	0.217977	0.333333	0.983693	0.957151	0.99347	0.98958
103	31|71|110|125	31|71	110|125	105|116|28|114|106|12|4|45|88|107|75|73|81|42|11|129|70|109|15|126	0.22355	0.333333	0.98659	0.96125	0.995034	0.992621
104	15|31|35|71	15|31	35|71	114|95|1|32|136|4|141|142|75|73|108|104|82|42|81|129|55|96|47|110	0.23891	0.333333	0.990572	0.97309	0.996648	0.995666
105	47|55|70|71	47|70	55|71	32|138|123|83|143|4|106|134|75|121|104|107|117|120|127|79|48|15|126|96	0.228876	0.333333	0.961046	0.911273	0.983875	0.980031
106	31|55|70|109	31|70	55|109	95|32|116|83|58|106|130|77|104|22|75|107|127|3|35|33|126|54|47|96	0.228713	0.333333	0.981191	0.949008	0.991325	0.989038
107	15|96|103|125	15|125	96|103	0|32|40|128|45|12|4|5|107|63|132|88|11|81|71|3|109|47|55|31	0.211165	0.333333	0.990862	0.974344	0.996395	0.995012
108	15|54|71|125	15|54	71|125	105|0|114|95|136|106|141|12|119|88|104|132|129|81|11|82|110|126|103|47	0.234812	0.333333	0.988606	0.9682	0.996271	0.994946
109	15|48|55|109	15|48	55|109	116|138|83|105|5|45|143|142|107|119|104|7|3|42|71|129|54|103|126|70	0.237051	0.333333	0.984907	0.960507	0.993082	0.992
110	31|48|70|109	31|70	48|109	0|123|105|116|130|5|136|141|108|104|73|139|71|129|42|3|126|96|47|103	0.237249	0.333333	0.987867	0.965614	0.995253	0.993835
111	47|54|71|110	47|54	71|110	1|123|105|114|136|77|106|113|119|73|121|22|129|127|79|35|126|96|48|15	0.245135	0.333333	0.957245	0.901966	0.983978	0.978634
112	48|54|71|96	48|54	71|96	105|0|32|28|106|143|113|141|63|75|107|139|42|3|82|11|70|110|109|15	0.259309	0.333333	0.985928	0.964116	0.994897	0.994588
113	35|54|55|103	35|55	54|103	53|128|32|28|143|136|106|45|107|7|75|63|42|71|3|129|70|15|96|31	0.235789	0.333333	0.984645	0.956328	0.993338	0.992261
114	31|48|96|110	31|48	96|110	128|116|32|105|130|134|136|12|108|75|7|73|81|3|82|71|126|103|55|15	0.22339	0.333333	0.973565	0.928009	0.990345	0.987731
115	48|54|96|103	48|96	54|103	128|0|53|32|12|130|113|141|107|108|75|7|11|71|81|3|70|47|110|55	0.232512	0.333333	0.98476	0.961269	0.994135	0.993227
116	47|71|96|109	47|71	96|109	105|53|0|95|58|142|134|141|132|104|119|139|81|11|21|117|110|125|126|54	0.22915	0.333333	0.977868	0.941255	0.992697	0.989695
117	15|55|110|125	15|55	110|125	1|0|40|105|106|5|4|45|132|139|104|7|3|129|42|82|126|109|54|103	0.228779	0.333333	0.97338	0.936571	0.988456	0.984547
118	47|54|55|103	47|55	54|103	53|1|32|128|141|136|106|58|119|121|22|75|120|21|117|79|125|110|48|70	0.217164	0.333333	0.955397	0.889234	0.981282	0.975105
119	15|35|54|96	15|35	54|96	53|0|138|83|12|134|113|106|63|132|7|104|42|11|81|82|47|55|109|31	0.240956	0.333333	0.991103	0.975788	0.996579	0.99531
120	35|71|96|103	35|96	71|103	53|28|32|40|143|141|45|12|119|75|73|107|11|3|81|82|31|109|110|47	0.233102	0.333333	0.992444	0.978704	0.996979	0.996606
121	15|31|71|110	15|31	71|110	1|123|114|116|45|4|77|134|108|75|22|121|120|42|35|33|96|54|109|126	0.245627	0.333333	0.976531	0.941428	0.991247	0.990226
122	15|55|71|109	15|55	71|109	138|116|53|32|77|134|45|136|104|49|63|132|127|117|21|3|48|110|125|96	0.23929	0.333333	0.962585	0.917507	0.983776	0.977558
123	31|35|70|126	31|35	70|126	128|28|123|53|130|136|12|5|63|75|107|88|3|42|129|82|55|96|109|15	0.233546	0.333333	0.974468	0.937218	0.989094	0.985046
124	35|54|55|96	35|55	54|96	95|0|40|28|106|130|113|45|119|7|75|104|82|42|3|71|47|109|70|103	0.247098	0.333333	0.988901	0.969078	0.994872	0.992838
125	31|35|47|96	31|35	47|96	116|114|95|128|141|4|142|106|73|88|139|7|3|11|71|82|70|54|109|55	0.214542	0.285714	0.976427	0.936963	0.991291	0.98796
126	54|70|71|126	54|70	71|126	28|53|1|0|142|12|106|136|119|75|22|73|129|3|35|120|96|31|125|15	0.251122	0.333333	0.967551	0.918671	0.986333	0.984468
127	15|47|55|103	15|103	47|55	1|32|40|0|4|58|5|136|121|63|132|75|79|3|35|117|125|48|54|70	0.224566	0.333333	0.959004	0.904572	0.983448	0.976827
128	31|48|71|126	31|48	71|126	28|32|53|0|141|106|4|113|132|107|75|63|81|129|82|11|54|47|70|55	0.236136	0.333333	0.984009	0.958321	0.993734	0.992504
129	31|35|47|109	31|35	47|109	53|83|123|1|142|5|136|141|75|63|139|107|129|11|3|71|110|126|103|55	0.232406	0.333333	0.962434	0.908061	0.985643	0.977259
130	15|48|96|126	15|126	48|96	53|0|32|40|142|113|136|106|119|7|107|75|11|81|71|42|31|54|70|109	0.236475	0.333333	0.983726	0.953598	0.993896	0.992734
131	103|109|110|125	103|109	110|125	40|123|0|32|143|136|45|4|88|73|132|107|42|71|3|129|54|70|31|55	0.232821	0.333333	0.986959	0.963972	0.994344	0.992093
132	15|35|54|70	15|35	54|70	32|95|83|116|142|130|12|45|63|7|88|75|71|11|82|81|110|96|103|55	0.257573	0.333333	0.974052	0.941338	0.990694	0.986581
133	15|31|55|110	15|31	55|110	116|95|0|105|4|113|45|5|132|139|49|121|33|79|3|35|125|109|103|47	0.231532	0.333333	0.96794	0.927407	0.985923	0.981041
134	31|47|48|70	31|47	48|70	123|138|0|105|130|12|113|136|75|139|104|107|81|129|71|82|15|55|110|109	0.234632	0.333333	0.953297	0.894558	0.983183	0.978533
135	15|54|55|126	15|55	54|126	128|32|40|53|45|77|142|130|7|132|119|49|120|117|42|127|96|125|110|70	0.23068	0.333333	0.972531	0.929456	0.987713	0.986919
136	48|70|96|103	48|96	70|103	53|0|32|40|141|12|136|130|7|73|119|63|42|81|11|82|54|15|31|47	0.226168	0.333333	0.988897	0.968462	0.996051	0.995832
137	31|109|110|126	31|109	110|126	28|0|32|128|136|77|58|12|107|108|121|7|11|129|127|3|54|125|55|15	0.233921	0.333333	0.973635	0.930598	0.989206	0.984771
138	70|103|110|125	70|103	110|125	128|40|0|28|143|4|106|130|88|75|119|107|71|11|82|81|31|109|47|54	0.233643	0.333333	0.989195	0.970696	0.995663	0.994951
139	15|31|71|126	15|31	71|126	0|32|123|1|58|4|141|45|121|107|49|88|79|3|117|42|54|48|70|125	0.232983	0.333333	0.972811	0.93459	0.988854	0.987408
140	47|55|70|126	47|55	70|126	53|32|1|128|77|136|106|142|75|22|121|7|35|21|117|79|96|109|54|110	0.219657	0.333333	0.955878	0.896359	0.981034	0.977947
141	31|48|70|96	31|48	70|96	105|28|114|95|141|45|12|5|88|63|7|108|81|42|82|11|55|126|103|109	0.215456	0.333333	0.979451	0.944753	0.993269	0.991772
142	47|55|96|110	47|55	96|110	0|83|105|138|134|143|58|136|22|75|119|7|82|3|35|120|54|15|125|109	0.225187	0.333333	0.959949	0.899612	0.98456	0.979829
143	15|47|109|110	15|47	109|110	1|32|114|138|106|58|130|5|104|75|139|22|117|35|129|120|103|55|48|126	0.236184	0.333333	0.957419	0.902484	0.984314	0.981467
144	15|31|70|96	15|31	70|96	83|53|95|138|77|136|58|12|22|108|49|7|42|81|3|35|55|54|125|48	0.218289	0.333333	0.973925	0.938479	0.989536	0.987939
145	31|47|54|103	31|47	54|103	32|0|128|123|136|106|45|113|73|107|132|49|11|82|71|120|125|109|96|55	0.228351	0.333333	0.967517	0.919012	0.986521	0.980761
146	31|47|54|96	31|47	54|96	83|0|128|32|77|141|130|134|108|104|7|107|120|3|82|11|15|55|103|126	0.224615	0.333333	0.951504	0.904135	0.98098	0.979507
147	54|96|103|125	54|125	96|103	128|28|40|53|141|12|136|130|73|107|108|88|81|3|42|11|70|47|110|109	0.211674	0.333333	0.989844	0.971963	0.995631	0.995238
148	47|55|96|126	47|55	96|126	40|0|128|28|106|4|77|58|7|107|49|119|79|127|71|3|125|31|110|15	0.202023	0.25	0.942616	0.869543	0.976523	0.973336
149	31|54|103|110	31|54	103|110	32|28|128|1|58|77|12|136|108|132|22|107|35|129|42|117|15|70|47|96	0.234587	0.333333	0.983461	0.955287	0.992782	0.992343
150	15|31|96|125	15|125	31|96	105|114|32|128|136|113|4|142|63|88|7|108|81|3|11|82|126|70|110|55	0.214004	0.333333	0.987605	0.96515	0.996115	0.99459
151	31|35|96|109	31|35	96|109	28|128|105|114|106|45|4|142|7|108|88|73|71|42|3|81|70|15|47|110	0.232088	0.333333	0.98738	0.967213	0.994867	0.993708
152	15|31|47|103	15|103	31|47	123|128|53|0|12|130|77|113|132|49|88|75|33|71|35|81|109|70|55|54	0.22193	0.333333	0.97348	0.929225	0.989571	0.984313
153	15|48|70|103	15|48	70|103	40|123|32|53|106|45|4|113|119|75|108|107|129|3|81|11|110|109|54|47	0.255947	0.333333	0.990364	0.972238	0.996086	0.995153
154	15|31|55|125	15|125	31|55	53|95|105|0|134|141|106|142|75|63|7|139|3|129|82|71|47|96|54|103	0.21257	0.333333	0.984779	0.96046	0.993057	0.990251
155	15|48|71|126	15|48	71|126	53|123|1|0|106|143|113|4|88|63|108|75|82|42|11|3|110|109|96|31	0.247716	0.333333	0.982908	0.953563	0.99359	0.991271
156	71|109|110|126	71|109	110|126	123|0|40|1|77|143|106|136|75|121|49|22|33|35|11|120|15|70|31|96	0.246834	0.333333	0.97619	0.933126	0.989917	0.986024
157	55|96|110|125	55|96	110|125	114|83|40|128|5|136|113|45|104|107|119|75|71|42|82|3|70|54|109|126	0.219214	0.333333	0.979774	0.945236	0.991377	0.98966
