candidate_universe,candidate_method,heldout_tissues,null,candidate_metric,null_metric,value,midrank_percentile
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9930802114889826,0.1846275
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,row_overlap,row_overlap,0.973548016101,0.187847
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,unique_overlap,unique_overlap,0.964848041011,0.542382
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,lookup_micro_f1,f1,0.992260234961,0.319499
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9924601499420217,0.1587235
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,conditional_minimax_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,row_overlap,row_overlap,0.968874700718,0.12488
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,unique_overlap,unique_overlap,0.93949486539,0.2342405
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,lookup_micro_f1,f1,0.990382456403,0.213008
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9888903023364288,0.06788
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|fetus|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,row_overlap,row_overlap,0.973241590214,0.1829805
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,unique_overlap,unique_overlap,0.963503649635,0.5223915
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,lookup_micro_f1,f1,0.992162237829,0.3130415
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9922628043549282,0.1512635
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|forebrain|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,row_overlap,row_overlap,0.971038251366,0.1510005
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,unique_overlap,unique_overlap,0.938275251034,0.2231525
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,lookup_micro_f1,f1,0.990118717928,0.2010165
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9883249053999148,0.059626
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|liver|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,row_overlap,row_overlap,0.975283593102,0.2177845
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,unique_overlap,unique_overlap,0.952861952862,0.378484
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,lookup_micro_f1,f1,0.992587921503,0.3421465
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9930802114889826,0.1846275
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|pancreas|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,mean_wup,mean_wup,0.154348335488,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,max_wup,max_wup,0.181818181818,0.0
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,row_overlap,row_overlap,0.973548016101,0.187847
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,unique_overlap,unique_overlap,0.964848041011,0.542382
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,lookup_micro_f1,f1,0.992260234961,0.319499
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9920618507500676,0.471324
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9924601499420217,0.1587235
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_node_total,train_nodes,39197.0,0.010577
all144,ancestor_blocked_mean_wup,cerebellum|cerebral_cortex|telencephalon|temporal_lobe,uniform,training_edge_total,train_edges,521390.0,0.014653
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,mean_wup,mean_wup,0.16503816649,0.0
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,max_wup,max_wup,0.2,0.0
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,row_overlap,row_overlap,0.967924214725,0.114867
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,unique_overlap,unique_overlap,0.917517674784,0.092235
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,lookup_micro_f1,f1,0.988602266873,0.143151
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9888713818466248,0.2905175
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9883100480717454,0.0594245
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,training_node_total,train_nodes,39159.0,0.010082
all144,branch_distinct_mean_wup,colon|fetus|liver|temporal_lobe,uniform,training_edge_total,train_edges,521550.0,0.0148215
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,mean_wup,mean_wup,0.16503816649,0.0
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,max_wup,max_wup,0.2,0.0
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,row_overlap,row_overlap,0.97184164075,0.161933
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,unique_overlap,unique_overlap,0.926290580096,0.1359465
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,lookup_micro_f1,f1,0.990895186578,0.238123
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9888713818466248,0.2905175
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9931226802691384,0.1865675
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,training_node_total,train_nodes,39159.0,0.010082
all144,branch_distinct_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,training_edge_total,train_edges,521550.0,0.0148215
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,mean_wup,mean_wup,0.166816516817,0.0
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,max_wup,max_wup,0.181818181818,0.0
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,row_overlap,row_overlap,0.955112837894,0.038571
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,unique_overlap,unique_overlap,0.885355219287,0.0201135
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,lookup_micro_f1,f1,0.980444625969,0.026433
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,role_A_lookup_f1,role_min_f1,0.9871590788496233,0.2178965
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,role_B_lookup_f1,role_max_f1,0.9731768179274173,0.003735
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,training_node_total,train_nodes,41157.0,0.082271
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,training_edge_total,train_edges,559009.0,0.0989125
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,mean_wup,mean_wup,0.166816516817,0.0
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,max_wup,max_wup,0.181818181818,0.0
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,row_overlap,row_overlap,0.961705685619,0.0668625
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,unique_overlap,unique_overlap,0.898855954238,0.038709
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,lookup_micro_f1,f1,0.983832562837,0.051208
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,role_A_lookup_f1,role_min_f1,0.9871590788496233,0.2178965
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,role_B_lookup_f1,role_max_f1,0.9801915353722582,0.01152
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,training_node_total,train_nodes,41157.0,0.082271
all144,branch_distinct_minimax_wup,colon|fetus|hematopoietic_stem_cell|pancreas,uniform,training_edge_total,train_edges,559009.0,0.0989125
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,mean_wup,mean_wup,0.188327585405,0.0
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,max_wup,max_wup,0.25,1e-05
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,row_overlap,row_overlap,0.955376433439,0.039414
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,unique_overlap,unique_overlap,0.889761717727,0.024999
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,lookup_micro_f1,f1,0.982326798373,0.037768
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9790097098869683,0.0529075
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9859023617101667,0.0348125
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,training_node_total,train_nodes,36263.0,7.9e-05
all144,branch_distinct_coverall_mean_wup,colon|fetus|liver|temporal_lobe,uniform,training_edge_total,train_edges,464640.0,0.000124
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,mean_wup,mean_wup,0.188327585405,0.0
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,max_wup,max_wup,0.25,1e-05
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,row_overlap,row_overlap,0.95856098176,0.051208
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,unique_overlap,unique_overlap,0.898882384247,0.0387485
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,lookup_micro_f1,f1,0.983961556253,0.052613
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,role_A_lookup_f1,role_min_f1,0.9790097098869683,0.0529075
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,role_B_lookup_f1,role_max_f1,0.9893792131403911,0.0761425
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,training_node_total,train_nodes,36263.0,7.9e-05
all144,branch_distinct_coverall_mean_wup,colon|fetus|pancreas|temporal_lobe,uniform,training_edge_total,train_edges,464640.0,0.000124
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,mean_wup,mean_wup,0.169998334998,0.0
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,max_wup,max_wup,0.2,0.0
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,row_overlap,row_overlap,0.964536661982,0.08541
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,unique_overlap,unique_overlap,0.905360348807,0.0524305
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,lookup_micro_f1,f1,0.985017777004,0.065508
all144,branch_distinct_node_stratified_mean_wup,colon|fetus|hematopoietic_stem_cell|liver,uniform,role_A_lookup_f1,role_min_f1,0.9899210073588356,0.343556
