column,observed_positive_genes_topology_unique,best_mismatch_gene_count,best_agreement,observational_tie_count,unique_full_gene_set_count_among_exact_ties,chosen_name,chosen_collection,chosen_source_member,all_zero_column,identification_status,top_tied_names
11,113,0,1.0,1,1,chr19q13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr19q13
12,10,0,1.0,1,1,chr8p23,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr8p23
13,46,0,1.0,1,1,chr17p13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr17p13
14,21,0,1.0,1,1,chr14q32,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr14q32
15,52,0,1.0,1,1,chr3p21,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr3p21
16,37,0,1.0,1,1,chr21q22,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr21q22
17,48,0,1.0,1,1,chr9q34,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr9q34
18,74,0,1.0,1,1,chr11q13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr11q13
19,37,0,1.0,1,1,chr17q25,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr17q25
20,32,0,1.0,1,1,chrxp11,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chrxp11
21,82,0,1.0,1,1,chr1p36,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr1p36
22,76,0,1.0,1,1,chr17q21,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr17q21
23,63,0,1.0,1,1,chr11p15,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr11p15
24,39,0,1.0,1,1,chr20q13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr20q13
25,57,0,1.0,1,1,chr12q13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr12q13
26,51,0,1.0,1,1,chr16p13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr16p13
27,20,0,1.0,1,1,chr7q11,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr7q11
28,25,0,1.0,1,1,chr16p11,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr16p11
29,31,0,1.0,1,1,chr12p13,C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,False,exact_unique,chr12p13
30,128,0,1.0,1,1,AAAYRNCTG_UNKNOWN,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,AAAYRNCTG_UNKNOWN
31,87,0,1.0,1,1,V$MYOD_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$MYOD_01
32,94,0,1.0,1,1,V$E47_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$E47_01
33,91,0,1.0,1,1,V$CMYB_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$CMYB_01
34,97,0,1.0,1,1,V$AP4_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$AP4_01
35,666,0,1.0,1,1,AACTTT_UNKNOWN,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,AACTTT_UNKNOWN
36,100,0,1.0,1,1,V$ELK1_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$ELK1_01
37,87,0,1.0,1,1,V$SP1_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$SP1_01
38,86,0,1.0,1,1,V$ATF_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$ATF_01
39,67,0,1.0,1,1,V$ELK1_02,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$ELK1_02
40,82,0,1.0,1,1,V$RSRFC4_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$RSRFC4_01
41,86,0,1.0,1,1,V$CETS1P54_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$CETS1P54_01
42,98,0,1.0,1,1,V$P300_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$P300_01
43,96,0,1.0,1,1,V$NFE2_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$NFE2_01
44,84,0,1.0,1,1,V$CREB_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$CREB_01
45,84,0,1.0,1,1,V$CREBP1CJUN_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$CREBP1CJUN_01
46,93,0,1.0,1,1,V$SOX5_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$SOX5_01
47,68,0,1.0,1,1,V$E4BP4_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$E4BP4_01
48,83,0,1.0,1,1,V$E2F_02,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$E2F_02
49,95,0,1.0,1,1,V$NFKAPPAB65_01,C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,False,exact_unique,V$NFKAPPAB65_01
