collection,source_member,source_row_index_0based,source_row_index_1based,set_name,description,unique_entrez_count,raw_entrez_field_count,graphsage_feature_column,selection_threshold_min_unique_entrez,selection_global_cap,selected_rank_1based,resolved_unique_graph_genes_in_set,observed_positive_resolved_rows,expected_positive_resolved_rows,mismatch_resolved_rows,exact_on_all_resolved_rows,all_zero_on_all_graphsage_rows,all_zero_on_resolved_rows
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,205,206,chr21q22,http://www.broadinstitute.org/gsea/msigdb/cards/chr21q22,261,261,16,200,50,17,39,593,593,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,210,211,chr9q34,http://www.broadinstitute.org/gsea/msigdb/cards/chr9q34,267,267,17,200,50,18,49,712,712,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,222,223,chr11q13,http://www.broadinstitute.org/gsea/msigdb/cards/chr11q13,347,347,18,200,50,19,74,1142,1142,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,224,225,chr17q25,http://www.broadinstitute.org/gsea/msigdb/cards/chr17q25,218,218,19,200,50,20,37,535,535,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,228,229,chrxp11,http://www.broadinstitute.org/gsea/msigdb/cards/chrxp11,287,287,20,200,50,21,32,426,426,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,237,238,chr1p36,http://www.broadinstitute.org/gsea/msigdb/cards/chr1p36,504,504,21,200,50,22,82,1173,1173,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,244,245,chr17q21,http://www.broadinstitute.org/gsea/msigdb/cards/chr17q21,339,339,22,200,50,23,77,852,852,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,246,247,chr11p15,http://www.broadinstitute.org/gsea/msigdb/cards/chr11p15,456,456,23,200,50,24,64,866,866,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,262,263,chr20q13,http://www.broadinstitute.org/gsea/msigdb/cards/chr20q13,244,244,24,200,50,25,40,548,548,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,285,286,chr12q13,http://www.broadinstitute.org/gsea/msigdb/cards/chr12q13,311,311,25,200,50,26,58,799,799,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,292,293,chr16p13,http://www.broadinstitute.org/gsea/msigdb/cards/chr16p13,338,338,26,200,50,27,51,755,755,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,295,296,chr7q11,http://www.broadinstitute.org/gsea/msigdb/cards/chr7q11,208,208,27,200,50,28,20,301,301,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,297,298,chr16p11,http://www.broadinstitute.org/gsea/msigdb/cards/chr16p11,212,212,28,200,50,29,25,246,246,0,1,0,0
C1,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c1.all.v5.2.entrez.gmt,298,299,chr12p13,http://www.broadinstitute.org/gsea/msigdb/cards/chr12p13,270,270,29,200,50,30,32,424,424,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,1,2,AAAYRNCTG_UNKNOWN,http://www.broadinstitute.org/gsea/msigdb/cards/AAAYRNCTG_UNKNOWN,374,374,30,200,50,31,129,1771,1771,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,2,3,V$MYOD_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$MYOD_01,265,265,31,200,50,32,87,1164,1164,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,3,4,V$E47_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$E47_01,253,253,32,200,50,33,94,1405,1405,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,4,5,V$CMYB_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$CMYB_01,249,249,33,200,50,34,92,1387,1387,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,5,6,V$AP4_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$AP4_01,262,262,34,200,50,35,97,1209,1209,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,6,7,AACTTT_UNKNOWN,http://www.broadinstitute.org/gsea/msigdb/cards/AACTTT_UNKNOWN,1890,1890,35,200,50,36,670,8998,8998,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,8,9,V$ELK1_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$ELK1_01,269,269,36,200,50,37,101,1432,1432,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,9,10,V$SP1_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$SP1_01,237,237,37,200,50,38,88,1335,1335,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,11,12,V$ATF_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$ATF_01,259,259,38,200,50,39,86,1278,1278,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,14,15,V$ELK1_02,http://www.broadinstitute.org/gsea/msigdb/cards/V$ELK1_02,248,248,39,200,50,40,68,1087,1087,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,15,16,V$RSRFC4_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$RSRFC4_01,245,245,40,200,50,41,84,933,933,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,16,17,V$CETS1P54_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$CETS1P54_01,258,258,41,200,50,42,86,1310,1310,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,18,19,V$P300_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$P300_01,249,249,42,200,50,43,98,1411,1411,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,19,20,V$NFE2_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$NFE2_01,272,272,43,200,50,44,99,1324,1324,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,20,21,V$CREB_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$CREB_01,262,262,44,200,50,45,84,1185,1185,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,22,23,V$CREBP1CJUN_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$CREBP1CJUN_01,259,259,45,200,50,46,84,1160,1160,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,23,24,V$SOX5_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$SOX5_01,265,265,46,200,50,47,94,1349,1349,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,24,25,V$E4BP4_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$E4BP4_01,223,223,47,200,50,48,68,1076,1076,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,25,26,V$E2F_02,http://www.broadinstitute.org/gsea/msigdb/cards/V$E2F_02,235,235,48,200,50,49,83,1247,1247,0,1,0,0
C3,msigdb_v5.2_files_to_download_locally/msigdb_v5.2_GMTs/c3.all.v5.2.entrez.gmt,26,27,V$NFKAPPAB65_01,http://www.broadinstitute.org/gsea/msigdb/cards/V$NFKAPPAB65_01,237,237,49,200,50,50,95,1233,1233,0,1,0,0
