event_time_utc,release,event_type,status,details
2026-08-29T12:05:29.516464Z,166,source_integrity,passed,gaf=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.166.gz;gpi=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.166.gz
2026-08-29T12:05:31.693129Z,166,analysis,passed,output=C:\Users\agitter\Desktop\ppi\goa_date_screen_results\goa_release_166_screen.json; mismatches=8484; order_lcs=94
2026-08-29T12:05:31.696125Z,166,download_cleanup,deleted_after_success,C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.166.gz|C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.166.gz
2026-08-29T12:05:43.597843Z,167,source_integrity,passed,gaf=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.167.gz;gpi=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.167.gz
2026-08-29T12:05:45.354810Z,167,analysis,passed,output=C:\Users\agitter\Desktop\ppi\goa_date_screen_results\goa_release_167_screen.json; mismatches=8777; order_lcs=93
2026-08-29T12:05:45.355813Z,167,download_cleanup,deleted_after_success,C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.167.gz|C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.167.gz
2026-08-29T12:05:55.783027Z,168,source_integrity,passed,gaf=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.168.gz;gpi=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.168.gz
2026-08-29T12:05:57.540218Z,168,analysis,passed,output=C:\Users\agitter\Desktop\ppi\goa_date_screen_results\goa_release_168_screen.json; mismatches=9225; order_lcs=93
2026-08-29T12:05:57.541219Z,168,download_cleanup,deleted_after_success,C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.168.gz|C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.168.gz
2026-08-29T12:06:13.115613Z,169,source_integrity,passed,gaf=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.169.gz;gpi=C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.169.gz
2026-08-29T12:06:14.948209Z,169,analysis,passed,output=C:\Users\agitter\Desktop\ppi\goa_date_screen_results\goa_release_169_screen.json; mismatches=9782; order_lcs=93
2026-08-29T12:06:14.949279Z,169,download_cleanup,deleted_after_success,C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gaf.169.gz|C:\Users\agitter\Desktop\ppi\goa_date_screen_cache\goa_human.gpi.169.gz
